event,formula,a,b,c
TRACK_50,IAAF_hungarian,33.0462434523,-12.0979307449,-0.2321096149
TRACK_50H,IAAF_hungarian,16.2126653261,-15.2953835346,-0.1053761359
TRACK_55,IAAF_hungarian,27.6922288869,-13.1481380284,-0.3043705117
TRACK_55H,IAAF_hungarian,13.1982215478,-16.7954274775,-0.0911772754
TRACK_60,IAAF_hungarian,24.9117754427,-13.9976515376,-0.2293776923
TRACK_60H,IAAF_hungarian,11.1682818890,-18.1940019446,0.0085061498
TRACK_200,IAAF_hungarian,1.9616411646,-47.4976950867,-0.0697455752
TRACK_300,IAAF_hungarian,0.6595165231,-78.9940494903,0.0176083216
TRACK_400,IAAF_hungarian,0.3223966170,-111.9954899416,-0.0058333313
TRACK_500,IAAF_hungarian,0.1713990152,-150.4950203151,0.0051908612
TRACK_600,IAAF_hungarian,0.1063013220,-190.3440098081,0.0091340263
TRACK_800,IAAF_hungarian,0.0572001165,-263.9946646628,0.0030507986
TRACK_1000,IAAF_hungarian,0.0347303143,-340.3940084944,0.0038176306
TRACK_1500,IAAF_hungarian,0.0136499412,-539.9956644344,-0.0008961974
TRACK_1MILE,IAAF_hungarian,0.0115400273,-585.4943375501,0.0016038837
TRACK_2000,IAAF_hungarian,0.0068499998,-752.1949210708,0.0002786803
TRACK_3000,IAAF_hungarian,0.0025900009,-1199.9946258953,0.0005730322
TRACK_2MILES,IAAF_hungarian,0.0022019898,-1296.2971509252,-0.0015550154
TRACK_5000,IAAF_hungarian,0.0008250002,-2099.9945836524,0.0004364654
TRACK_4x200,IAAF_hungarian,0.0825999218,-211.9949807338,0.0007540780
TRACK_4x400,IAAF_hungarian,0.0155000012,-483.9954080687,-0.0021634214
HIGH_JUMP,IAAF_hungarian,39.5579087445,10.5082093421,-4969.5880642855
LONG_JUMP,IAAF_hungarian,1.9581140326,49.4597044183,-5024.0505434215
TRIPLE_JUMP,IAAF_hungarian,0.4296645887,105.1320544518,-4980.6423815636
POLE_VAULT,IAAF_hungarian,3.9325797501,35.0265857026,-5029.8531935972
SHOT_PUT,IAAF_hungarian,0.0462143876,657.3172794694,-19993.5978247992
PENTATHLON,IAAF_hungarian,0.0000029452,41021.7737084897,-4998.5983727330
