event,formula,a,b,c
TRACK_50,IAAF_hungarian,95.8223538630,-9.1994010874,-0.3765978316
TRACK_50H,IAAF_hungarian,34.2123772242,-12.3484992509,-0.2978589247
TRACK_55,IAAF_hungarian,78.9227608846,-9.9991682963,-0.3262593216
TRACK_55H,IAAF_hungarian,30.0853077082,-13.3476676416,-0.2329919571
TRACK_60,IAAF_hungarian,68.6203220047,-10.6992800164,-0.3594275681
TRACK_60H,IAAF_hungarian,23.9163242706,-14.5966339421,-0.1644943777
TRACK_200,IAAF_hungarian,5.0432159856,-35.9910107213,0.1193936923
TRACK_300,IAAF_hungarian,1.8029166507,-57.9959412461,-0.0339878087
TRACK_400,IAAF_hungarian,0.9810343085,-80.5943092492,0.0100805172
TRACK_500,IAAF_hungarian,0.5649640314,-105.9967162205,-0.0223133096
TRACK_600,IAAF_hungarian,0.3899861153,-130.9961383961,-0.0107176039
TRACK_800,IAAF_hungarian,0.1973925611,-183.9969956062,-0.0163487860
TRACK_1000,IAAF_hungarian,0.1138977865,-239.9960148998,-0.0046409292
TRACK_1500,IAAF_hungarian,0.0419999885,-385.9950544882,-0.0003541283
TRACK_1MILE,IAAF_hungarian,0.0369000074,-414.9952787475,-0.0011489453
TRACK_2000,IAAF_hungarian,0.0226000035,-527.9948971024,0.0000435776
TRACK_3000,IAAF_hungarian,0.0083219192,-839.9970746667,-0.0027639444
TRACK_2MILES,IAAF_hungarian,0.0072099692,-906.9958053163,-0.0012099440
TRACK_5000,IAAF_hungarian,0.0029000031,-1439.9944442896,0.0004079214
TRACK_4x200,IAAF_hungarian,0.3119844823,-143.9971416694,-0.0252237437
TRACK_4x400,IAAF_hungarian,0.0489005767,-339.9937188583,0.0054240683
HIGH_JUMP,IAAF_hungarian,32.1457081634,11.5936889433,-5026.0808417004
LONG_JUMP,IAAF_hungarian,1.9310928730,48.3486190515,-4993.8077931235
TRIPLE_JUMP,IAAF_hungarian,0.4603666024,98.8014630138,-5008.9686647032
POLE_VAULT,IAAF_hungarian,3.0457199209,39.3358603090,-4993.2138282251
SHOT_PUT,IAAF_hungarian,0.0423461436,684.8281542324,-19915.7245727669
HEPTATHLON,IAAF_hungarian,0.0000017511,53203.5391079802,-5002.8876894102
