performance,points
81.81,1400
81.85,1399
81.90,1398
81.95,1397
81.99,1396
82.04,1395
82.09,1394
82.13,1393
82.18,1392
82.23,1391
82.27,1390
82.32,1389
82.37,1388
82.41,1387
82.46,1386
82.51,1385
82.55,1384
82.60,1383
82.65,1382
82.69,1381
82.74,1380
82.79,1379
82.83,1378
82.88,1377
82.93,1376
82.97,1375
83.02,1374
83.07,1373
83.11,1372
83.16,1371
83.21,1370
83.26,1369
83.30,1368
83.35,1367
83.40,1366
83.44,1365
83.49,1364
83.54,1363
83.59,1362
83.63,1361
83.68,1360
83.73,1359
83.77,1358
83.82,1357
83.87,1356
83.92,1355
83.96,1354
84.01,1353
84.06,1352
84.10,1351
84.15,1350
84.20,1349
84.25,1348
84.29,1347
84.34,1346
84.39,1345
84.44,1344
84.48,1343
84.53,1342
84.58,1341
84.63,1340
84.67,1339
84.72,1338
84.77,1337
84.82,1336
84.86,1335
84.91,1334
84.96,1333
85.01,1332
85.05,1331
85.10,1330
85.15,1329
85.20,1328
85.25,1327
85.29,1326
85.34,1325
85.39,1324
85.44,1323
85.48,1322
85.53,1321
85.58,1320
85.63,1319
85.68,1318
85.72,1317
85.77,1316
85.82,1315
85.87,1314
85.92,1313
85.96,1312
86.01,1311
86.06,1310
86.11,1309
86.16,1308
86.20,1307
86.25,1306
86.30,1305
86.35,1304
86.40,1303
86.45,1302
86.49,1301
86.54,1300
86.59,1299
86.64,1298
86.69,1297
86.73,1296
86.78,1295
86.83,1294
86.88,1293
86.93,1292
86.98,1291
87.03,1290
87.07,1289
87.12,1288
87.17,1287
87.22,1286
87.27,1285
87.32,1284
87.36,1283
87.41,1282
87.46,1281
87.51,1280
87.56,1279
87.61,1278
87.66,1277
87.71,1276
87.75,1275
87.80,1274
87.85,1273
87.90,1272
87.95,1271
88.00,1270
88.05,1269
88.10,1268
88.14,1267
88.19,1266
88.24,1265
88.29,1264
88.34,1263
88.39,1262
88.44,1261
88.49,1260
88.54,1259
88.59,1258
88.63,1257
88.68,1256
88.73,1255
88.78,1254
88.83,1253
88.88,1252
88.93,1251
88.98,1250
89.03,1249
89.08,1248
89.13,1247
89.18,1246
89.22,1245
89.27,1244
89.32,1243
89.37,1242
89.42,1241
89.47,1240
89.52,1239
89.57,1238
89.62,1237
89.67,1236
89.72,1235
89.77,1234
89.82,1233
89.87,1232
89.92,1231
89.97,1230
90.02,1229
90.07,1228
90.12,1227
90.16,1226
90.21,1225
90.26,1224
90.31,1223
90.36,1222
90.41,1221
90.46,1220
90.51,1219
90.56,1218
90.61,1217
90.66,1216
90.71,1215
90.76,1214
90.81,1213
90.86,1212
90.91,1211
90.96,1210
91.01,1209
91.06,1208
91.11,1207
91.16,1206
91.21,1205
91.26,1204
91.31,1203
91.36,1202
91.41,1201
91.46,1200
91.51,1199
91.56,1198
91.61,1197
91.66,1196
91.71,1195
91.77,1194
91.82,1193
91.87,1192
91.92,1191
91.97,1190
92.02,1189
92.07,1188
92.12,1187
92.17,1186
92.22,1185
92.27,1184
92.32,1183
92.37,1182
92.42,1181
92.47,1180
92.52,1179
92.57,1178
92.62,1177
92.67,1176
92.73,1175
92.78,1174
92.83,1173
92.88,1172
92.93,1171
92.98,1170
93.03,1169
93.08,1168
93.13,1167
93.18,1166
93.23,1165
93.29,1164
93.34,1163
93.39,1162
93.44,1161
93.49,1160
93.54,1159
93.59,1158
93.64,1157
93.69,1156
93.75,1155
93.80,1154
93.85,1153
93.90,1152
93.95,1151
94.00,1150
94.05,1149
94.10,1148
94.16,1147
94.21,1146
94.26,1145
94.31,1144
94.36,1143
94.41,1142
94.46,1141
94.52,1140
94.57,1139
94.62,1138
94.67,1137
94.72,1136
94.77,1135
94.82,1134
94.88,1133
94.93,1132
94.98,1131
95.03,1130
95.08,1129
95.14,1128
95.19,1127
95.24,1126
95.29,1125
95.34,1124
95.39,1123
95.45,1122
95.50,1121
95.55,1120
95.60,1119
95.65,1118
95.71,1117
95.76,1116
95.81,1115
95.86,1114
95.91,1113
95.97,1112
96.02,1111
96.07,1110
96.12,1109
96.18,1108
96.23,1107
96.28,1106
96.33,1105
96.39,1104
96.44,1103
96.49,1102
96.54,1101
96.59,1100
96.65,1099
96.70,1098
96.75,1097
96.80,1096
96.86,1095
96.91,1094
96.96,1093
97.02,1092
97.07,1091
97.12,1090
97.17,1089
97.23,1088
97.28,1087
97.33,1086
97.38,1085
97.44,1084
97.49,1083
97.54,1082
97.60,1081
97.65,1080
97.70,1079
97.75,1078
97.81,1077
97.86,1076
97.91,1075
97.97,1074
98.02,1073
98.07,1072
98.13,1071
98.18,1070
98.23,1069
98.29,1068
98.34,1067
98.39,1066
98.45,1065
98.50,1064
98.55,1063
98.61,1062
98.66,1061
98.71,1060
98.77,1059
98.82,1058
98.87,1057
98.93,1056
98.98,1055
99.03,1054
99.09,1053
99.14,1052
99.19,1051
99.25,1050
99.30,1049
99.36,1048
99.41,1047
99.46,1046
99.52,1045
99.57,1044
99.62,1043
99.68,1042
99.73,1041
99.79,1040
99.84,1039
99.89,1038
99.95,1037
100.00,1036
100.06,1035
100.11,1034
100.16,1033
100.22,1032
100.27,1031
100.33,1030
100.38,1029
100.44,1028
100.49,1027
100.54,1026
100.60,1025
100.65,1024
100.71,1023
100.76,1022
100.82,1021
100.87,1020
100.92,1019
100.98,1018
101.03,1017
101.09,1016
101.14,1015
101.20,1014
101.25,1013
101.31,1012
101.36,1011
101.42,1010
101.47,1009
101.53,1008
101.58,1007
101.64,1006
101.69,1005
101.75,1004
101.80,1003
101.86,1002
101.91,1001
101.97,1000
102.02,999
102.08,998
102.13,997
102.19,996
102.24,995
102.30,994
102.35,993
102.41,992
102.46,991
102.52,990
102.57,989
102.63,988
102.68,987
102.74,986
102.79,985
102.85,984
102.90,983
102.96,982
103.02,981
103.07,980
103.13,979
103.18,978
103.24,977
103.29,976
103.35,975
103.41,974
103.46,973
103.52,972
103.57,971
103.63,970
103.68,969
103.74,968
103.80,967
103.85,966
103.91,965
103.96,964
104.02,963
104.08,962
104.13,961
104.19,960
104.24,959
104.30,958
104.36,957
104.41,956
104.47,955
104.53,954
104.58,953
104.64,952
