performance,points
6.50,1399
6.51,1396
6.52,1393
6.53,1391
6.54,1388
6.55,1385
6.56,1383
6.57,1380
6.58,1377
6.59,1374
6.60,1372
6.61,1369
6.62,1366
6.63,1364
6.64,1361
6.65,1358
6.66,1356
6.67,1353
6.68,1350
6.69,1348
6.70,1345
6.71,1342
6.72,1340
6.73,1337
6.74,1334
6.75,1332
6.76,1329
6.77,1326
6.78,1324
6.79,1321
6.80,1319
6.81,1316
6.82,1313
6.83,1311
6.84,1308
6.85,1305
6.86,1303
6.87,1300
6.88,1297
6.89,1295
6.90,1292
6.91,1290
6.92,1287
6.93,1284
6.94,1282
6.95,1279
6.96,1277
6.97,1274
6.98,1271
6.99,1269
7.00,1266
7.01,1264
7.02,1261
7.03,1259
7.04,1256
7.05,1253
7.06,1251
7.07,1248
7.08,1246
7.09,1243
7.10,1241
7.11,1238
7.12,1235
7.13,1233
7.14,1230
7.15,1228
7.16,1225
7.17,1223
7.18,1220
7.19,1218
7.20,1215
7.21,1213
7.22,1210
7.23,1208
7.24,1205
7.25,1202
7.26,1200
7.27,1197
7.28,1195
7.29,1192
7.30,1190
7.31,1187
7.32,1185
7.33,1182
7.34,1180
7.35,1177
7.36,1175
7.37,1172
7.38,1170
7.39,1167
7.40,1165
7.41,1162
7.42,1160
7.43,1158
7.44,1155
7.45,1153
7.46,1150
7.47,1148
7.48,1145
7.49,1143
7.50,1140
7.51,1138
7.52,1135
7.53,1133
7.54,1131
7.55,1128
7.56,1126
7.57,1123
7.58,1121
7.59,1118
7.60,1116
7.61,1113
7.62,1111
7.63,1109
7.64,1106
7.65,1104
7.66,1101
7.67,1099
7.68,1097
7.69,1094
7.70,1092
7.71,1089
7.72,1087
7.73,1085
7.74,1082
7.75,1080
7.76,1077
7.77,1075
7.78,1073
7.79,1070
7.80,1068
7.81,1066
7.82,1063
7.83,1061
7.84,1058
7.85,1056
7.86,1054
7.87,1051
7.88,1049
7.89,1047
7.90,1044
7.91,1042
7.92,1040
7.93,1037
7.94,1035
7.95,1033
7.96,1030
7.97,1028
7.98,1026
7.99,1023
8.00,1021
8.01,1019
8.02,1016
8.03,1014
8.04,1012
8.05,1009
8.06,1007
8.07,1005
8.08,1002
8.09,1000
8.10,998
8.11,996
8.12,993
8.13,991
8.14,989
8.15,986
8.16,984
8.17,982
8.18,980
8.19,977
8.20,975
8.21,973
8.22,971
8.23,968
8.24,966
8.25,964
8.26,961
8.27,959
8.28,957
8.29,955
8.30,952
8.31,950
8.32,948
8.33,946
8.34,944
8.35,941
8.36,939
8.37,937
8.38,935
8.39,932
8.40,930
8.41,928
8.42,926
8.43,924
8.44,921
8.45,919
8.46,917
8.47,915
8.48,913
8.49,910
8.50,908
8.51,906
8.52,904
8.53,902
8.54,899
8.55,897
8.56,895
8.57,893
8.58,891
8.59,889
8.60,886
8.61,884
8.62,882
8.63,880
8.64,878
8.65,876
8.66,873
8.67,871
8.68,869
8.69,867
8.70,865
8.71,863
8.72,861
8.73,858
8.74,856
8.75,854
8.76,852
8.77,850
8.78,848
8.79,846
8.80,844
8.81,842
8.82,839
8.83,837
8.84,835
8.85,833
8.86,831
8.87,829
8.88,827
8.89,825
8.90,823
8.91,821
8.92,819
8.93,816
8.94,814
8.95,812
8.96,810
8.97,808
8.98,806
8.99,804
9.00,802
9.01,800
9.02,798
9.03,796
9.04,794
9.05,792
9.06,790
9.07,788
9.08,786
9.09,784
9.10,782
9.11,780
9.12,777
9.13,775
9.14,773
9.15,771
9.16,769
9.17,767
9.18,765
9.19,763
9.20,761
9.21,759
9.22,757
9.23,755
9.24,753
9.25,751
9.26,749
9.27,747
9.28,745
9.29,743
9.30,741
9.31,739
9.32,737
9.33,736
9.34,734
9.35,732
9.36,730
9.37,728
9.38,726
9.39,724
9.40,722
9.41,720
9.42,718
9.43,716
9.44,714
9.45,712
9.46,710
9.47,708
9.48,706
9.49,704
9.50,702
9.51,700
9.52,699
9.53,697
9.54,695
9.55,693
9.56,691
9.57,689
9.58,687
9.59,685
9.60,683
9.61,681
9.62,679
9.63,678
9.64,676
9.65,674
9.66,672
9.67,670
9.68,668
9.69,666
9.70,664
9.71,663
9.72,661
9.73,659
9.74,657
9.75,655
9.76,653
9.77,651
9.78,650
9.79,648
9.80,646
9.81,644
9.82,642
9.83,640
9.84,638
9.85,637
9.86,635
9.87,633
9.88,631
9.89,629
9.90,627
9.91,626
9.92,624
9.93,622
9.94,620
9.95,618
9.96,617
9.97,615
9.98,613
9.99,611
10.00,609
10.01,608
10.02,606
10.03,604
10.04,602
10.05,600
10.06,599
10.07,597
10.08,595
10.09,593
10.10,592
10.11,590
10.12,588
10.13,586
10.14,585
10.15,583
10.16,581
10.17,579
10.18,578
10.19,576
10.20,574
10.21,572
10.22,571
10.23,569
10.24,567
10.25,565
10.26,564
10.27,562
10.28,560
10.29,558
10.30,557
10.31,555
10.32,553
10.33,552
10.34,550
10.35,548
10.36,547
10.37,545
10.38,543
10.39,541
10.40,540
10.41,538
10.42,536
10.43,535
10.44,533
10.45,531
10.46,530
10.47,528
10.48,526
10.49,525
10.50,523
10.51,521
10.52,520
10.53,518
10.54,516
10.55,515
10.56,513
10.57,511
10.58,510
10.59,508
10.60,507
10.61,505
10.62,503
10.63,502
10.64,500
10.65,498
10.66,497
10.67,495
10.68,494
10.69,492
10.70,490
10.71,489
10.72,487
10.73,485
10.74,484
10.75,482
10.76,481
10.77,479
10.78,478
10.79,476
10.80,474
10.81,473
10.82,471
10.83,470
10.84,468
10.85,466
10.86,465
10.87,463
10.88,462
10.89,460
10.90,459
10.91,457
10.92,456
10.93,454
10.94,452
10.95,451
10.96,449
10.97,448
10.98,446
10.99,445
11.00,443
11.01,442
11.02,440
11.03,439
11.04,437
11.05,436
11.06,434
11.07,433
11.08,431
11.09,430
11.10,428
11.11,427
11.12,425
11.13,424
11.14,422
11.15,421
11.16,419
11.17,418
11.18,416
11.19,415
11.20,413
11.21,412
11.22,410
11.23,409
11.24,407
11.25,406
11.26,404
11.27,403
11.28,401
11.29,400
11.30,398
11.31,397
11.32,396
11.33,394
11.34,393
11.35,391
11.36,390
11.37,388
11.38,387
11.39,386
11.40,384
11.41,383
11.42,381
11.43,380
11.44,378
11.45,377
11.46,376
11.47,374
11.48,373
11.49,371
11.50,370
11.51,369
11.52,367
11.53,366
11.54,364
11.55,363
11.56,362
11.57,360
11.58,359
11.59,358
11.60,356
11.61,355
11.62,353
11.63,352
11.64,351
11.65,349
11.66,348
11.67,347
11.68,345
11.69,344
11.70,343
11.71,341
11.72,340
11.73,339
11.74,337
11.75,336
11.76,335
11.77,333
11.78,332
11.79,331
11.80,329
11.81,328
11.82,327
11.83,325
11.84,324
11.85,323
11.86,321
11.87,320
11.88,319
11.89,317
11.90,316
11.91,315
11.92,314
11.93,312
11.94,311
11.95,310
11.96,308
11.97,307
11.98,306
11.99,305
12.00,303
12.01,302
12.02,301
12.03,300
12.04,298
12.05,297
12.06,296
12.07,295
12.08,293
12.09,292
12.10,291
12.11,290
12.12,288
12.13,287
12.14,286
12.15,285
12.16,283
12.17,282
12.18,281
12.19,280
12.20,279
12.21,277
12.22,276
12.23,275
12.24,274
12.25,273
12.26,271
12.27,270
12.28,269
12.29,268
12.30,267
12.31,265
12.32,264
12.33,263
12.34,262
12.35,261
12.36,260
12.37,258
12.38,257
12.39,256
12.40,255
12.41,254
12.42,253
12.43,251
12.44,250
12.45,249
12.46,248
12.47,247
12.48,246
12.49,245
12.50,243
12.51,242
12.52,241
12.53,240
12.54,239
12.55,238
12.56,237
12.57,236
12.58,234
12.59,233
12.60,232
12.61,231
12.62,230
12.63,229
12.64,228
12.65,227
