performance,points
75.58,1400
75.62,1399
75.67,1398
75.71,1397
75.75,1396
75.79,1395
75.83,1394
75.87,1393
75.91,1392
75.95,1391
75.99,1390
76.03,1389
76.08,1388
76.12,1387
76.16,1386
76.20,1385
76.24,1384
76.28,1383
76.32,1382
76.36,1381
76.41,1380
76.45,1379
76.49,1378
76.53,1377
76.57,1376
76.61,1375
76.65,1374
76.70,1373
76.74,1372
76.78,1371
76.82,1370
76.86,1369
76.90,1368
76.94,1367
76.99,1366
77.03,1365
77.07,1364
77.11,1363
77.15,1362
77.19,1361
77.23,1360
77.28,1359
77.32,1358
77.36,1357
77.40,1356
77.44,1355
77.48,1354
77.53,1353
77.57,1352
77.61,1351
77.65,1350
77.69,1349
77.73,1348
77.78,1347
77.82,1346
77.86,1345
77.90,1344
77.94,1343
77.99,1342
78.03,1341
78.07,1340
78.11,1339
78.15,1338
78.20,1337
78.24,1336
78.28,1335
78.32,1334
78.36,1333
78.40,1332
78.45,1331
78.49,1330
78.53,1329
78.57,1328
78.62,1327
78.66,1326
78.70,1325
78.74,1324
78.78,1323
78.83,1322
78.87,1321
78.91,1320
78.95,1319
78.99,1318
79.04,1317
79.08,1316
79.12,1315
79.16,1314
79.21,1313
79.25,1312
79.29,1311
79.33,1310
79.38,1309
79.42,1308
79.46,1307
79.50,1306
79.55,1305
79.59,1304
79.63,1303
79.67,1302
79.72,1301
79.76,1300
79.80,1299
79.84,1298
79.89,1297
79.93,1296
79.97,1295
80.01,1294
80.06,1293
80.10,1292
80.14,1291
80.18,1290
80.23,1289
80.27,1288
80.31,1287
80.35,1286
80.40,1285
80.44,1284
80.48,1283
80.53,1282
80.57,1281
80.61,1280
80.65,1279
80.70,1278
80.74,1277
80.78,1276
80.83,1275
80.87,1274
80.91,1273
80.96,1272
81.00,1271
81.04,1270
81.08,1269
81.13,1268
81.17,1267
81.21,1266
81.26,1265
81.30,1264
81.34,1263
81.39,1262
81.43,1261
81.47,1260
81.52,1259
81.56,1258
81.60,1257
81.65,1256
81.69,1255
81.73,1254
81.78,1253
81.82,1252
81.86,1251
81.91,1250
81.95,1249
81.99,1248
82.04,1247
82.08,1246
82.12,1245
82.17,1244
82.21,1243
82.25,1242
82.30,1241
82.34,1240
82.38,1239
82.43,1238
82.47,1237
82.51,1236
82.56,1235
82.60,1234
82.65,1233
82.69,1232
82.73,1231
82.78,1230
82.82,1229
82.86,1228
82.91,1227
82.95,1226
83.00,1225
83.04,1224
83.08,1223
83.13,1222
83.17,1221
83.21,1220
83.26,1219
83.30,1218
83.35,1217
83.39,1216
83.43,1215
83.48,1214
83.52,1213
83.57,1212
83.61,1211
83.65,1210
83.70,1209
83.74,1208
83.79,1207
83.83,1206
83.88,1205
83.92,1204
83.96,1203
84.01,1202
84.05,1201
84.10,1200
84.14,1199
84.18,1198
84.23,1197
84.27,1196
84.32,1195
84.36,1194
84.41,1193
84.45,1192
84.50,1191
84.54,1190
84.58,1189
84.63,1188
84.67,1187
84.72,1186
84.76,1185
84.81,1184
84.85,1183
84.90,1182
84.94,1181
84.99,1180
85.03,1179
85.07,1178
85.12,1177
85.16,1176
85.21,1175
85.25,1174
85.30,1173
85.34,1172
85.39,1171
85.43,1170
85.48,1169
85.52,1168
85.57,1167
85.61,1166
85.66,1165
85.70,1164
85.75,1163
85.79,1162
85.84,1161
85.88,1160
85.93,1159
85.97,1158
86.02,1157
86.06,1156
86.11,1155
86.15,1154
86.20,1153
86.24,1152
86.29,1151
86.33,1150
86.38,1149
86.42,1148
86.47,1147
86.51,1146
86.56,1145
86.60,1144
86.65,1143
86.70,1142
86.74,1141
86.79,1140
86.83,1139
86.88,1138
86.92,1137
86.97,1136
87.01,1135
87.06,1134
87.10,1133
87.15,1132
87.20,1131
87.24,1130
87.29,1129
87.33,1128
87.38,1127
87.42,1126
87.47,1125
87.52,1124
87.56,1123
87.61,1122
87.65,1121
87.70,1120
87.74,1119
87.79,1118
87.84,1117
87.88,1116
87.93,1115
87.97,1114
88.02,1113
88.07,1112
88.11,1111
88.16,1110
88.20,1109
88.25,1108
88.30,1107
88.34,1106
88.39,1105
88.43,1104
88.48,1103
88.53,1102
88.57,1101
88.62,1100
88.67,1099
88.71,1098
88.76,1097
88.80,1096
88.85,1095
88.90,1094
88.94,1093
88.99,1092
89.04,1091
89.08,1090
89.13,1089
89.18,1088
89.22,1087
89.27,1086
89.32,1085
89.36,1084
89.41,1083
89.46,1082
89.50,1081
89.55,1080
89.60,1079
89.64,1078
89.69,1077
89.74,1076
89.78,1075
89.83,1074
89.88,1073
89.92,1072
89.97,1071
90.02,1070
90.06,1069
90.11,1068
90.16,1067
90.20,1066
90.25,1065
90.30,1064
90.34,1063
90.39,1062
90.44,1061
90.49,1060
90.53,1059
90.58,1058
90.63,1057
90.67,1056
90.72,1055
90.77,1054
90.82,1053
90.86,1052
90.91,1051
90.96,1050
91.01,1049
91.05,1048
91.10,1047
91.15,1046
91.20,1045
91.24,1044
91.29,1043
91.34,1042
91.39,1041
91.43,1040
91.48,1039
91.53,1038
91.58,1037
91.62,1036
91.67,1035
91.72,1034
91.77,1033
91.81,1032
91.86,1031
91.91,1030
91.96,1029
92.01,1028
92.05,1027
92.10,1026
92.15,1025
92.20,1024
92.24,1023
92.29,1022
92.34,1021
92.39,1020
92.44,1019
92.48,1018
92.53,1017
92.58,1016
92.63,1015
92.68,1014
92.73,1013
92.77,1012
92.82,1011
92.87,1010
92.92,1009
92.97,1008
93.01,1007
93.06,1006
93.11,1005
93.16,1004
93.21,1003
93.26,1002
93.31,1001
93.35,1000
93.40,999
93.45,998
93.50,997
93.55,996
93.60,995
93.64,994
93.69,993
93.74,992
93.79,991
93.84,990
93.89,989
93.94,988
93.99,987
94.03,986
94.08,985
94.13,984
94.18,983
94.23,982
94.28,981
94.33,980
94.38,979
94.43,978
94.48,977
94.52,976
94.57,975
94.62,974
94.67,973
94.72,972
94.77,971
94.82,970
94.87,969
94.92,968
94.97,967
95.02,966
95.07,965
95.12,964
95.16,963
95.21,962
95.26,961
95.31,960
95.36,959
95.41,958
95.46,957
95.51,956
95.56,955
95.61,954
95.66,953
95.71,952
95.76,951
95.81,950
95.86,949
95.91,948
95.96,947
96.01,946
96.06,945
96.11,944
96.16,943
96.21,942
96.26,941
96.31,940
96.36,939
96.41,938
96.46,937
96.51,936
96.56,935
96.61,934
96.66,933
96.71,932
96.76,931
96.81,930
96.86,929
96.91,928
96.96,927
97.01,926
97.06,925
97.11,924
97.16,923
97.21,922
97.26,921
97.31,920
97.36,919
97.42,918
97.47,917
97.52,916
97.57,915
97.62,914
97.67,913
97.72,912
97.77,911
97.82,910
97.87,909
97.92,908
97.97,907
98.02,906
98.08,905
98.13,904
98.18,903
98.23,902
98.28,901
98.33,900
98.38,899
98.43,898
98.48,897
98.54,896
98.59,895
98.64,894
98.69,893
98.74,892
98.79,891
98.84,890
98.89,889
98.95,888
99.00,887
99.05,886
99.10,885
99.15,884
99.20,883
99.26,882
99.31,881
99.36,880
99.41,879
99.46,878
99.51,877
99.57,876
99.62,875
99.67,874
99.72,873
99.77,872
99.83,871
99.88,870
99.93,869
99.98,868
100.03,867
100.09,866
100.14,865
100.19,864
100.24,863
100.29,862
100.35,861
100.40,860
100.45,859
100.50,858
100.56,857
100.61,856
100.66,855
100.71,854
100.77,853
100.82,852
100.87,851
100.92,850
100.98,849
101.03,848
101.08,847
101.13,846
101.19,845
101.24,844
101.29,843
101.35,842
101.40,841
101.45,840
101.50,839
101.56,838
101.61,837
101.66,836
101.72,835
101.77,834
101.82,833
101.88,832
101.93,831
101.98,830
102.03,829
102.09,828
102.14,827
102.19,826
102.25,825
102.30,824
102.36,823
102.41,822
102.46,821
102.52,820
102.57,819
102.62,818
102.68,817
102.73,816
102.78,815
102.84,814
102.89,813
102.95,812
103.00,811
103.05,810
103.11,809
103.16,808
103.21,807
103.27,806
103.32,805
103.38,804
103.43,803
103.48,802
103.54,801
103.59,800
103.65,799
103.70,798
103.76,797
103.81,796
103.86,795
103.92,794
103.97,793
104.03,792
104.08,791
104.14,790
104.19,789
104.25,788
104.30,787
104.36,786
104.41,785
104.47,784
104.52,783
104.57,782
104.63,781
104.68,780
104.74,779
104.79,778
104.85,777
104.90,776
104.96,775
105.01,774
105.07,773
105.12,772
105.18,771
105.24,770
105.29,769
105.35,768
105.40,767
105.46,766
105.51,765
105.57,764
105.62,763
105.68,762
105.73,761
105.79,760
105.85,759
105.90,758
105.96,757
106.01,756
106.07,755
106.12,754
106.18,753
106.24,752
106.29,751
106.35,750
106.40,749
106.46,748
106.52,747
106.57,746
106.63,745
106.68,744
106.74,743
106.80,742
106.85,741
106.91,740
106.97,739
107.02,738
107.08,737
107.14,736
107.19,735
107.25,734
107.31,733
107.36,732
107.42,731
107.48,730
107.53,729
107.59,728
107.65,727
107.70,726
107.76,725
107.82,724
107.87,723
107.93,722
107.99,721
108.05,720
108.10,719
108.16,718
108.22,717
108.27,716
108.33,715
108.39,714
108.45,713
108.50,712
108.56,711
108.62,710
108.68,709
108.73,708
108.79,707
108.85,706
108.91,705
108.96,704
109.02,703
109.08,702
109.14,701
109.20,700
109.25,699
109.31,698
109.37,697
109.43,696
109.49,695
109.54,694
109.60,693
109.66,692
109.72,691
109.78,690
109.84,689
109.89,688
109.95,687
110.01,686
110.07,685
110.13,684
110.19,683
110.25,682
110.31,681
110.36,680
110.42,679
110.48,678
110.54,677
110.60,676
110.66,675
110.72,674
110.78,673
110.84,672
110.89,671
110.95,670
111.01,669
111.07,668
111.13,667
111.19,666
111.25,665
111.31,664
111.37,663
111.43,662
111.49,661
111.55,660
111.61,659
111.67,658
111.73,657
111.79,656
111.85,655
111.91,654
111.97,653
112.03,652
112.09,651
112.15,650
112.21,649
112.27,648
112.33,647
112.39,646
112.45,645
112.51,644
112.57,643
112.63,642
112.69,641
112.75,640
112.81,639
112.87,638
112.93,637
112.99,636
113.06,635
113.12,634
113.18,633
113.24,632
113.30,631
113.36,630
113.42,629
113.48,628
113.54,627
113.61,626
113.67,625
113.73,624
113.79,623
113.85,622
113.91,621
113.97,620
114.04,619
114.10,618
114.16,617
114.22,616
114.28,615
114.34,614
114.41,613
114.47,612
114.53,611
114.59,610
114.65,609
114.72,608
114.78,607
114.84,606
114.90,605
114.97,604
115.03,603
115.09,602
115.15,601
115.22,600
115.28,599
115.34,598
115.40,597
115.47,596
115.53,595
115.59,594
115.66,593
115.72,592
115.78,591
115.84,590
115.91,589
115.97,588
116.03,587
116.10,586
116.16,585
116.22,584
116.29,583
116.35,582
116.41,581
116.48,580
116.54,579
116.61,578
116.67,577
116.73,576
116.80,575
116.86,574
116.93,573
116.99,572
117.05,571
117.12,570
117.18,569
117.25,568
117.31,567
117.38,566
117.44,565
117.50,564
117.57,563
117.63,562
117.70,561
117.76,560
117.83,559
117.89,558
117.96,557
118.02,556
118.09,555
118.15,554
118.22,553
118.28,552
118.35,551
118.41,550
118.48,549
118.55,548
118.61,547
118.68,546
118.74,545
118.81,544
118.87,543
118.94,542
119.01,541
119.07,540
119.14,539
119.20,538
119.27,537
119.34,536
119.40,535
119.47,534
119.53,533
119.60,532
119.67,531
119.73,530
119.80,529
119.87,528
119.93,527
120.00,526
120.07,525
120.13,524
120.20,523
120.27,522
120.34,521
120.40,520
120.47,519
120.54,518
120.61,517
120.67,516
120.74,515
120.81,514
120.88,513
120.94,512
121.01,511
121.08,510
121.15,509
121.22,508
121.28,507
121.35,506
121.42,505
121.49,504
121.56,503
121.62,502
121.69,501
121.76,500
121.83,499
121.90,498
121.97,497
122.04,496
122.11,495
122.17,494
122.24,493
122.31,492
122.38,491
122.45,490
122.52,489
122.59,488
122.66,487
122.73,486
122.80,485
122.87,484
122.94,483
123.01,482
123.08,481
123.15,480
123.22,479
123.29,478
123.36,477
123.43,476
123.50,475
123.57,474
123.64,473
123.71,472
123.78,471
123.85,470
123.92,469
123.99,468
124.06,467
124.13,466
124.21,465
124.28,464
124.35,463
124.42,462
124.49,461
124.56,460
124.63,459
124.71,458
124.78,457
124.85,456
124.92,455
124.99,454
125.06,453
125.14,452
125.21,451
125.28,450
125.35,449
125.43,448
125.50,447
125.57,446
125.64,445
125.72,444
125.79,443
125.86,442
125.94,441
126.01,440
126.08,439
126.15,438
126.23,437
126.30,436
126.37,435
126.45,434
126.52,433
126.60,432
126.67,431
126.74,430
126.82,429
126.89,428
126.97,427
127.04,426
127.11,425
127.19,424
127.26,423
127.34,422
127.41,421
127.49,420
127.56,419
127.64,418
127.71,417
127.79,416
127.86,415
127.94,414
128.01,413
128.09,412
128.16,411
128.24,410
128.32,409
128.39,408
128.47,407
128.54,406
128.62,405
128.70,404
128.77,403
128.85,402
128.93,401
129.00,400
129.08,399
129.16,398
129.23,397
129.31,396
129.39,395
129.46,394
129.54,393
129.62,392
129.70,391
129.77,390
129.85,389
129.93,388
130.01,387
130.09,386
130.16,385
130.24,384
130.32,383
130.40,382
130.48,381
130.56,380
130.63,379
130.71,378
130.79,377
130.87,376
130.95,375
131.03,374
131.11,373
131.19,372
131.27,371
131.35,370
131.43,369
131.51,368
131.59,367
131.67,366
131.75,365
131.83,364
131.91,363
131.99,362
132.07,361
132.15,360
132.23,359
132.31,358
132.39,357
132.47,356
132.56,355
132.64,354
132.72,353
132.80,352
132.88,351
132.96,350
133.05,349
133.13,348
133.21,347
133.29,346
133.38,345
133.46,344
133.54,343
133.62,342
133.71,341
133.79,340
133.87,339
133.96,338
134.04,337
134.12,336
134.21,335
134.29,334
134.37,333
134.46,332
134.54,331
134.63,330
134.71,329
134.80,328
134.88,327
134.97,326
135.05,325
135.14,324
135.22,323
135.31,322
135.39,321
135.48,320
135.56,319
135.65,318
135.74,317
135.82,316
135.91,315
136.00,314
136.08,313
136.17,312
136.26,311
136.34,310
136.43,309
136.52,308
136.60,307
136.69,306
136.78,305
136.87,304
136.96,303
137.04,302
137.13,301
137.22,300
137.31,299
137.40,298
137.49,297
137.58,296
137.67,295
137.75,294
137.84,293
137.93,292
138.02,291
138.11,290
138.20,289
138.29,288
138.38,287
138.47,286
138.57,285
138.66,284
138.75,283
138.84,282
138.93,281
139.02,280
139.11,279
139.21,278
139.30,277
139.39,276
139.48,275
139.57,274
139.67,273
139.76,272
139.85,271
139.95,270
140.04,269
140.13,268
140.23,267
140.32,266
140.42,265
140.51,264
140.60,263
140.70,262
140.79,261
140.89,260
140.98,259
141.08,258
141.18,257
141.27,256
141.37,255
141.46,254
141.56,253
141.66,252
141.75,251
141.85,250
141.95,249
142.04,248
142.14,247
142.24,246
142.34,245
142.43,244
142.53,243
142.63,242
142.73,241
142.83,240
142.93,239
143.03,238
143.13,237
143.23,236
143.33,235
143.43,234
143.53,233
143.63,232
143.73,231
143.83,230
143.93,229
144.03,228
144.13,227
144.24,226
144.34,225
144.44,224
144.54,223
144.65,222
144.75,221
144.85,220
144.96,219
145.06,218
145.16,217
145.27,216
145.37,215
145.48,214
145.58,213
145.69,212
145.79,211
145.90,210
146.00,209
146.11,208
