performance,points
0.71,9
0.72,17
0.73,26
0.74,35
0.75,44
0.76,53
0.77,62
0.78,71
0.79,80
0.80,89
0.81,98
0.82,107
0.83,116
0.84,125
0.85,134
0.86,143
0.87,152
0.88,161
0.89,170
0.90,179
0.91,188
0.92,197
0.93,206
0.94,215
0.95,224
0.96,233
0.97,242
0.98,251
0.99,260
1.00,269
1.01,278
1.02,288
1.03,297
1.04,306
1.05,315
1.06,324
1.07,333
1.08,342
1.09,352
1.10,361
1.11,370
1.12,379
1.13,388
1.14,398
1.15,407
1.16,416
1.17,425
1.18,435
1.19,444
1.20,453
1.21,462
1.22,472
1.23,481
1.24,490
1.25,500
1.26,509
1.27,518
1.28,527
1.29,537
1.30,546
1.31,555
1.32,565
1.33,574
1.34,584
1.35,593
1.36,602
1.37,612
1.38,621
1.39,631
1.40,640
1.41,649
1.42,659
1.43,668
1.44,678
1.45,687
1.46,697
1.47,706
1.48,716
1.49,725
1.50,735
1.51,744
1.52,754
1.53,763
1.54,773
1.55,782
1.56,792
1.57,801
1.58,811
1.59,820
1.60,830
1.61,840
1.62,849
1.63,859
1.64,868
1.65,878
1.66,888
1.67,897
1.68,907
1.69,916
1.70,926
1.71,936
1.72,945
1.73,955
1.74,965
1.75,974
1.76,984
1.77,994
1.78,1004
1.79,1013
1.80,1023
1.81,1033
1.82,1043
1.83,1052
1.84,1062
1.85,1072
1.86,1082
1.87,1091
1.88,1101
1.89,1111
1.90,1121
1.91,1131
1.92,1140
1.93,1150
1.94,1160
1.95,1170
1.96,1180
1.97,1190
1.98,1200
1.99,1209
2.00,1219
2.01,1229
2.02,1239
2.03,1249
2.04,1259
2.05,1269
2.06,1279
2.07,1289
2.08,1299
2.09,1309
2.10,1319
2.11,1329
2.12,1339
2.13,1349
2.14,1359
2.15,1369
2.16,1379
2.17,1389
2.18,1399
