performance,points
1.20,1
1.21,3
1.22,5
1.23,7
1.24,9
1.25,11
1.26,13
1.27,15
1.28,17
1.29,19
1.30,21
1.31,23
1.32,25
1.33,27
1.34,29
1.35,31
1.36,33
1.37,35
1.38,37
1.39,39
1.40,41
1.41,43
1.42,45
1.43,47
1.44,49
1.45,51
1.46,53
1.47,55
1.48,57
1.49,59
1.50,61
1.51,63
1.52,65
1.53,67
1.54,69
1.55,71
1.56,73
1.57,75
1.58,77
1.59,79
1.60,81
1.61,83
1.62,85
1.63,87
1.64,89
1.65,91
1.66,93
1.67,95
1.68,97
1.69,99
1.70,101
1.71,103
1.72,105
1.73,107
1.74,109
1.75,111
1.76,113
1.77,115
1.78,117
1.79,119
1.80,121
1.81,123
1.82,125
1.83,127
1.84,129
1.85,131
1.86,133
1.87,135
1.88,137
1.89,139
1.90,141
1.91,143
1.92,145
1.93,147
1.94,149
1.95,151
1.96,153
1.97,155
1.98,157
1.99,159
2.00,161
2.01,163
2.02,165
2.03,167
2.04,169
2.05,171
2.06,173
2.07,175
2.08,177
2.09,179
2.10,181
2.11,183
2.12,186
2.13,188
2.14,190
2.15,192
2.16,194
2.17,196
2.18,198
2.19,200
2.20,202
2.21,204
2.22,206
2.23,208
2.24,210
2.25,212
2.26,214
2.27,216
2.28,218
2.29,220
2.30,222
2.31,224
2.32,226
2.33,228
2.34,230
2.35,232
2.36,234
2.37,236
2.38,238
2.39,240
2.40,242
2.41,244
2.42,246
2.43,248
2.44,250
2.45,252
2.46,254
2.47,256
2.48,258
2.49,261
2.50,263
2.51,265
2.52,267
2.53,269
2.54,271
2.55,273
2.56,275
2.57,277
2.58,279
2.59,281
2.60,283
2.61,285
2.62,287
2.63,289
2.64,291
2.65,293
2.66,295
2.67,297
2.68,299
2.69,301
2.70,303
2.71,305
2.72,307
2.73,309
2.74,311
2.75,314
2.76,316
2.77,318
2.78,320
2.79,322
2.80,324
2.81,326
2.82,328
2.83,330
2.84,332
2.85,334
2.86,336
2.87,338
2.88,340
2.89,342
2.90,344
2.91,346
2.92,348
2.93,350
2.94,352
2.95,354
2.96,357
2.97,359
2.98,361
2.99,363
3.00,365
3.01,367
3.02,369
3.03,371
3.04,373
3.05,375
3.06,377
3.07,379
3.08,381
3.09,383
3.10,385
3.11,387
3.12,389
3.13,391
3.14,394
3.15,396
3.16,398
3.17,400
3.18,402
3.19,404
3.20,406
3.21,408
3.22,410
3.23,412
3.24,414
3.25,416
3.26,418
3.27,420
3.28,422
3.29,424
3.30,427
3.31,429
3.32,431
3.33,433
3.34,435
3.35,437
3.36,439
3.37,441
3.38,443
3.39,445
3.40,447
3.41,449
3.42,451
3.43,453
3.44,456
3.45,458
3.46,460
3.47,462
3.48,464
3.49,466
3.50,468
3.51,470
3.52,472
3.53,474
3.54,476
3.55,478
3.56,480
3.57,482
3.58,485
3.59,487
3.60,489
3.61,491
3.62,493
3.63,495
3.64,497
3.65,499
3.66,501
3.67,503
3.68,505
3.69,507
3.70,509
3.71,512
3.72,514
3.73,516
3.74,518
3.75,520
3.76,522
3.77,524
3.78,526
3.79,528
3.80,530
3.81,532
3.82,535
3.83,537
3.84,539
3.85,541
3.86,543
3.87,545
3.88,547
3.89,549
3.90,551
3.91,553
3.92,555
3.93,557
3.94,560
3.95,562
3.96,564
3.97,566
3.98,568
3.99,570
4.00,572
4.01,574
4.02,576
4.03,578
4.04,580
4.05,583
4.06,585
4.07,587
4.08,589
4.09,591
4.10,593
4.11,595
4.12,597
4.13,599
4.14,601
4.15,604
4.16,606
4.17,608
4.18,610
4.19,612
4.20,614
4.21,616
4.22,618
4.23,620
4.24,622
4.25,625
4.26,627
4.27,629
4.28,631
4.29,633
4.30,635
4.31,637
4.32,639
4.33,641
4.34,644
4.35,646
4.36,648
4.37,650
4.38,652
4.39,654
4.40,656
4.41,658
4.42,660
4.43,663
4.44,665
4.45,667
4.46,669
4.47,671
4.48,673
4.49,675
4.50,677
4.51,679
4.52,682
4.53,684
4.54,686
4.55,688
4.56,690
4.57,692
4.58,694
4.59,696
4.60,698
4.61,701
4.62,703
4.63,705
4.64,707
4.65,709
4.66,711
4.67,713
4.68,715
4.69,718
4.70,720
4.71,722
4.72,724
4.73,726
4.74,728
4.75,730
4.76,732
4.77,734
4.78,737
4.79,739
4.80,741
4.81,743
4.82,745
4.83,747
4.84,749
4.85,751
4.86,754
4.87,756
4.88,758
4.89,760
4.90,762
4.91,764
4.92,766
4.93,769
4.94,771
4.95,773
4.96,775
4.97,777
4.98,779
4.99,781
5.00,783
5.01,786
5.02,788
5.03,790
5.04,792
5.05,794
5.06,796
5.07,798
5.08,801
5.09,803
5.10,805
5.11,807
5.12,809
5.13,811
5.14,813
5.15,815
5.16,818
5.17,820
5.18,822
5.19,824
5.20,826
5.21,828
5.22,830
5.23,833
5.24,835
5.25,837
5.26,839
5.27,841
5.28,843
5.29,845
5.30,848
5.31,850
5.32,852
5.33,854
5.34,856
5.35,858
5.36,860
5.37,863
5.38,865
5.39,867
5.40,869
5.41,871
5.42,873
5.43,875
5.44,878
5.45,880
5.46,882
5.47,884
5.48,886
5.49,888
5.50,891
5.51,893
5.52,895
5.53,897
5.54,899
5.55,901
5.56,903
5.57,906
5.58,908
5.59,910
5.60,912
5.61,914
5.62,916
5.63,919
5.64,921
5.65,923
5.66,925
5.67,927
5.68,929
5.69,932
5.70,934
5.71,936
5.72,938
5.73,940
5.74,942
5.75,944
5.76,947
5.77,949
5.78,951
5.79,953
5.80,955
5.81,957
5.82,960
5.83,962
5.84,964
5.85,966
5.86,968
5.87,970
5.88,973
5.89,975
5.90,977
5.91,979
5.92,981
5.93,983
5.94,986
5.95,988
5.96,990
5.97,992
5.98,994
5.99,996
6.00,999
6.01,1001
6.02,1003
6.03,1005
6.04,1007
6.05,1010
6.06,1012
6.07,1014
6.08,1016
6.09,1018
6.10,1020
6.11,1023
6.12,1025
6.13,1027
6.14,1029
6.15,1031
6.16,1033
6.17,1036
6.18,1038
6.19,1040
6.20,1042
6.21,1044
6.22,1047
6.23,1049
6.24,1051
6.25,1053
6.26,1055
6.27,1057
6.28,1060
6.29,1062
6.30,1064
6.31,1066
6.32,1068
6.33,1071
6.34,1073
6.35,1075
6.36,1077
6.37,1079
6.38,1081
6.39,1084
6.40,1086
6.41,1088
6.42,1090
6.43,1092
6.44,1095
6.45,1097
6.46,1099
6.47,1101
6.48,1103
6.49,1106
6.50,1108
6.51,1110
6.52,1112
6.53,1114
6.54,1117
6.55,1119
6.56,1121
6.57,1123
6.58,1125
6.59,1128
6.60,1130
6.61,1132
6.62,1134
6.63,1136
6.64,1138
6.65,1141
6.66,1143
6.67,1145
6.68,1147
6.69,1149
6.70,1152
6.71,1154
6.72,1156
6.73,1158
6.74,1160
6.75,1163
6.76,1165
6.77,1167
6.78,1169
6.79,1171
6.80,1174
6.81,1176
6.82,1178
6.83,1180
6.84,1183
6.85,1185
6.86,1187
6.87,1189
6.88,1191
6.89,1194
6.90,1196
6.91,1198
6.92,1200
6.93,1202
6.94,1205
6.95,1207
6.96,1209
6.97,1211
6.98,1213
6.99,1216
7.00,1218
7.01,1220
7.02,1222
7.03,1224
7.04,1227
7.05,1229
7.06,1231
7.07,1233
7.08,1236
7.09,1238
7.10,1240
7.11,1242
7.12,1244
7.13,1247
7.14,1249
7.15,1251
7.16,1253
7.17,1255
7.18,1258
7.19,1260
7.20,1262
7.21,1264
7.22,1267
7.23,1269
7.24,1271
7.25,1273
7.26,1275
7.27,1278
7.28,1280
7.29,1282
7.30,1284
7.31,1287
7.32,1289
7.33,1291
7.34,1293
7.35,1295
7.36,1298
7.37,1300
7.38,1302
7.39,1304
7.40,1307
7.41,1309
7.42,1311
7.43,1313
7.44,1316
7.45,1318
7.46,1320
7.47,1322
7.48,1324
7.49,1327
7.50,1329
7.51,1331
7.52,1333
7.53,1336
7.54,1338
7.55,1340
7.56,1342
7.57,1345
7.58,1347
7.59,1349
7.60,1351
7.61,1353
7.62,1356
7.63,1358
7.64,1360
7.65,1362
7.66,1365
