performance,points
237.19,1400
237.31,1399
237.44,1398
237.56,1397
237.69,1396
237.81,1395
237.94,1394
238.06,1393
238.19,1392
238.31,1391
238.44,1390
238.56,1389
238.68,1388
238.81,1387
238.93,1386
239.06,1385
239.18,1384
239.31,1383
239.44,1382
239.56,1381
239.69,1380
239.81,1379
239.94,1378
240.06,1377
240.19,1376
240.31,1375
240.44,1374
240.56,1373
240.69,1372
240.82,1371
240.94,1370
241.07,1369
241.19,1368
241.32,1367
241.44,1366
241.57,1365
241.70,1364
241.82,1363
241.95,1362
242.07,1361
242.20,1360
242.33,1359
242.45,1358
242.58,1357
242.71,1356
242.83,1355
242.96,1354
243.09,1353
243.21,1352
243.34,1351
243.47,1350
243.59,1349
243.72,1348
243.85,1347
243.97,1346
244.10,1345
244.23,1344
244.35,1343
244.48,1342
244.61,1341
244.73,1340
244.86,1339
244.99,1338
245.12,1337
245.24,1336
245.37,1335
245.50,1334
245.63,1333
245.75,1332
245.88,1331
246.01,1330
246.14,1329
246.26,1328
246.39,1327
246.52,1326
246.65,1325
246.77,1324
246.90,1323
247.03,1322
247.16,1321
247.29,1320
247.41,1319
247.54,1318
247.67,1317
247.80,1316
247.93,1315
248.06,1314
248.18,1313
248.31,1312
248.44,1311
248.57,1310
248.70,1309
248.83,1308
248.96,1307
249.09,1306
249.21,1305
249.34,1304
249.47,1303
249.60,1302
249.73,1301
249.86,1300
249.99,1299
250.12,1298
250.25,1297
250.38,1296
250.50,1295
250.63,1294
250.76,1293
250.89,1292
251.02,1291
251.15,1290
251.28,1289
251.41,1288
251.54,1287
251.67,1286
251.80,1285
251.93,1284
252.06,1283
252.19,1282
252.32,1281
252.45,1280
252.58,1279
252.71,1278
252.84,1277
252.97,1276
253.10,1275
253.23,1274
253.36,1273
253.49,1272
253.62,1271
253.75,1270
253.88,1269
254.02,1268
254.15,1267
254.28,1266
254.41,1265
254.54,1264
254.67,1263
254.80,1262
254.93,1261
255.06,1260
255.19,1259
255.33,1258
255.46,1257
255.59,1256
255.72,1255
255.85,1254
255.98,1253
256.11,1252
256.25,1251
256.38,1250
256.51,1249
256.64,1248
256.77,1247
256.90,1246
257.04,1245
257.17,1244
257.30,1243
257.43,1242
257.56,1241
257.70,1240
257.83,1239
257.96,1238
258.09,1237
258.22,1236
258.36,1235
258.49,1234
258.62,1233
258.75,1232
258.89,1231
259.02,1230
259.15,1229
259.29,1228
259.42,1227
259.55,1226
259.68,1225
259.82,1224
259.95,1223
260.08,1222
260.22,1221
260.35,1220
260.48,1219
260.62,1218
260.75,1217
260.88,1216
261.02,1215
261.15,1214
261.28,1213
261.42,1212
261.55,1211
261.69,1210
261.82,1209
261.95,1208
262.09,1207
262.22,1206
262.36,1205
262.49,1204
262.62,1203
262.76,1202
262.89,1201
263.03,1200
263.16,1199
263.30,1198
263.43,1197
263.56,1196
263.70,1195
263.83,1194
263.97,1193
264.10,1192
264.24,1191
264.37,1190
264.51,1189
264.64,1188
264.78,1187
264.91,1186
