performance,points
179.00,1
184.00,2
188.00,3
192.00,4
196.00,5
200.00,6
204.00,7
208.00,8
212.00,9
216.00,10
221.00,11
225.00,12
229.00,13
233.00,14
237.00,15
241.00,16
245.00,17
249.00,18
254.00,19
258.00,20
262.00,21
266.00,22
270.00,23
274.00,24
278.00,25
282.00,26
286.00,27
291.00,28
295.00,29
299.00,30
303.00,31
307.00,32
311.00,33
315.00,34
319.00,35
323.00,36
327.00,37
332.00,38
336.00,39
340.00,40
344.00,41
348.00,42
352.00,43
356.00,44
360.00,45
364.00,46
369.00,47
373.00,48
377.00,49
381.00,50
385.00,51
389.00,52
393.00,53
397.00,54
401.00,55
405.00,56
409.00,57
414.00,58
418.00,59
422.00,60
426.00,61
430.00,62
434.00,63
438.00,64
442.00,65
446.00,66
450.00,67
455.00,68
459.00,69
463.00,70
467.00,71
471.00,72
475.00,73
479.00,74
483.00,75
487.00,76
491.00,77
495.00,78
500.00,79
504.00,80
508.00,81
512.00,82
516.00,83
520.00,84
524.00,85
528.00,86
532.00,87
536.00,88
540.00,89
544.00,90
549.00,91
553.00,92
557.00,93
561.00,94
565.00,95
569.00,96
573.00,97
577.00,98
581.00,99
585.00,100
589.00,101
593.00,102
598.00,103
602.00,104
606.00,105
610.00,106
614.00,107
618.00,108
622.00,109
626.00,110
630.00,111
634.00,112
638.00,113
642.00,114
646.00,115
651.00,116
655.00,117
659.00,118
663.00,119
667.00,120
671.00,121
675.00,122
679.00,123
683.00,124
687.00,125
691.00,126
695.00,127
699.00,128
703.00,129
708.00,130
712.00,131
716.00,132
720.00,133
724.00,134
728.00,135
732.00,136
736.00,137
740.00,138
744.00,139
748.00,140
752.00,141
756.00,142
760.00,143
764.00,144
769.00,145
773.00,146
777.00,147
781.00,148
785.00,149
789.00,150
793.00,151
797.00,152
801.00,153
805.00,154
809.00,155
813.00,156
817.00,157
821.00,158
825.00,159
829.00,160
833.00,161
838.00,162
842.00,163
846.00,164
850.00,165
854.00,166
858.00,167
862.00,168
866.00,169
870.00,170
874.00,171
878.00,172
882.00,173
886.00,174
890.00,175
894.00,176
898.00,177
902.00,178
906.00,179
910.00,180
915.00,181
919.00,182
923.00,183
927.00,184
931.00,185
935.00,186
939.00,187
943.00,188
947.00,189
951.00,190
955.00,191
959.00,192
963.00,193
967.00,194
971.00,195
975.00,196
979.00,197
983.00,198
987.00,199
991.00,200
995.00,201
999.00,202
1003.00,203
1008.00,204
1012.00,205
1016.00,206
1020.00,207
1024.00,208
1028.00,209
1032.00,210
1036.00,211
1040.00,212
1044.00,213
1048.00,214
1052.00,215
1056.00,216
1060.00,217
1064.00,218
1068.00,219
1072.00,220
1076.00,221
1080.00,222
1084.00,223
1088.00,224
1092.00,225
1096.00,226
1100.00,227
1104.00,228
1108.00,229
1112.00,230
1116.00,231
1120.00,232
1124.00,233
1129.00,234
1133.00,235
1137.00,236
1141.00,237
1145.00,238
1149.00,239
1153.00,240
1157.00,241
1161.00,242
1165.00,243
1169.00,244
1173.00,245
1177.00,246
1181.00,247
1185.00,248
1189.00,249
1193.00,250
1197.00,251
1201.00,252
1205.00,253
1209.00,254
1213.00,255
1217.00,256
1221.00,257
1225.00,258
1229.00,259
1233.00,260
1237.00,261
1241.00,262
1245.00,263
1249.00,264
1253.00,265
1257.00,266
1261.00,267
1265.00,268
1269.00,269
1273.00,270
1277.00,271
1281.00,272
1285.00,273
1289.00,274
1293.00,275
1297.00,276
1301.00,277
1305.00,278
1309.00,279
1313.00,280
1317.00,281
1321.00,282
1325.00,283
1329.00,284
1333.00,285
1337.00,286
1341.00,287
1345.00,288
1349.00,289
1353.00,290
1357.00,291
1361.00,292
1365.00,293
1369.00,294
1373.00,295
1377.00,296
1381.00,297
1386.00,298
1390.00,299
1394.00,300
1398.00,301
1402.00,302
1406.00,303
1410.00,304
1414.00,305
1418.00,306
1422.00,307
1426.00,308
1430.00,309
1434.00,310
1438.00,311
1442.00,312
1446.00,313
1450.00,314
1454.00,315
1457.00,316
1461.00,317
1465.00,318
1469.00,319
1473.00,320
1477.00,321
1481.00,322
1485.00,323
1489.00,324
1493.00,325
1497.00,326
1501.00,327
1505.00,328
1509.00,329
1513.00,330
1517.00,331
1521.00,332
1525.00,333
1529.00,334
1533.00,335
1537.00,336
1541.00,337
1545.00,338
1549.00,339
1553.00,340
1557.00,341
1561.00,342
1565.00,343
1569.00,344
1573.00,345
1577.00,346
1581.00,347
1585.00,348
1589.00,349
1593.00,350
1597.00,351
1601.00,352
1605.00,353
1609.00,354
1613.00,355
1617.00,356
1621.00,357
1625.00,358
1629.00,359
1633.00,360
1637.00,361
1641.00,362
1645.00,363
1649.00,364
1653.00,365
1657.00,366
1661.00,367
1665.00,368
1669.00,369
1673.00,370
1677.00,371
1681.00,372
1685.00,373
1689.00,374
1693.00,375
1697.00,376
1701.00,377
1705.00,378
1709.00,379
1713.00,380
1716.00,381
1720.00,382
1724.00,383
1728.00,384
1732.00,385
1736.00,386
1740.00,387
1744.00,388
1748.00,389
1752.00,390
1756.00,391
1760.00,392
1764.00,393
1768.00,394
1772.00,395
1776.00,396
1780.00,397
1784.00,398
1788.00,399
1792.00,400
1796.00,401
1800.00,402
1804.00,403
1808.00,404
1812.00,405
1816.00,406
1820.00,407
1824.00,408
1828.00,409
1832.00,410
1835.00,411
1839.00,412
1843.00,413
1847.00,414
1851.00,415
1855.00,416
1859.00,417
1863.00,418
1867.00,419
1871.00,420
1875.00,421
1879.00,422
1883.00,423
1887.00,424
1891.00,425
1895.00,426
1899.00,427
1903.00,428
1907.00,429
1911.00,430
1915.00,431
1919.00,432
1923.00,433
1926.00,434
1930.00,435
1934.00,436
1938.00,437
1942.00,438
1946.00,439
1950.00,440
1954.00,441
1958.00,442
1962.00,443
1966.00,444
1970.00,445
1974.00,446
1978.00,447
1982.00,448
1986.00,449
1990.00,450
1994.00,451
1998.00,452
2002.00,453
2005.00,454
2009.00,455
2013.00,456
2017.00,457
2021.00,458
2025.00,459
2029.00,460
2033.00,461
2037.00,462
2041.00,463
2045.00,464
2049.00,465
2053.00,466
2057.00,467
2061.00,468
2065.00,469
2069.00,470
2072.00,471
2076.00,472
2080.00,473
2084.00,474
2088.00,475
2092.00,476
2096.00,477
2100.00,478
2104.00,479
2108.00,480
2112.00,481
2116.00,482
2120.00,483
2124.00,484
2128.00,485
2132.00,486
2135.00,487
2139.00,488
2143.00,489
2147.00,490
2151.00,491
2155.00,492
2159.00,493
2163.00,494
2167.00,495
2171.00,496
2175.00,497
2179.00,498
2183.00,499
2187.00,500
2191.00,501
2194.00,502
2198.00,503
2202.00,504
2206.00,505
2210.00,506
2214.00,507
2218.00,508
2222.00,509
2226.00,510
2230.00,511
2234.00,512
2238.00,513
2242.00,514
2245.00,515
2249.00,516
2253.00,517
2257.00,518
2261.00,519
2265.00,520
2269.00,521
2273.00,522
2277.00,523
2281.00,524
2285.00,525
2289.00,526
2293.00,527
2296.00,528
2300.00,529
2304.00,530
2308.00,531
2312.00,532
2316.00,533
2320.00,534
2324.00,535
2328.00,536
2332.00,537
2336.00,538
2340.00,539
2343.00,540
2347.00,541
2351.00,542
2355.00,543
2359.00,544
2363.00,545
2367.00,546
2371.00,547
2375.00,548
2379.00,549
2383.00,550
2387.00,551
2390.00,552
2394.00,553
2398.00,554
2402.00,555
2406.00,556
2410.00,557
2414.00,558
2418.00,559
2422.00,560
2426.00,561
2430.00,562
2433.00,563
2437.00,564
2441.00,565
2445.00,566
2449.00,567
2453.00,568
2457.00,569
2461.00,570
2465.00,571
2469.00,572
2472.00,573
2476.00,574
2480.00,575
2484.00,576
2488.00,577
2492.00,578
2496.00,579
2500.00,580
2504.00,581
2508.00,582
2511.00,583
2515.00,584
2519.00,585
2523.00,586
2527.00,587
2531.00,588
2535.00,589
2539.00,590
2543.00,591
2547.00,592
2550.00,593
2554.00,594
2558.00,595
2562.00,596
2566.00,597
2570.00,598
2574.00,599
2578.00,600
2582.00,601
2586.00,602
2589.00,603
2593.00,604
2597.00,605
2601.00,606
2605.00,607
2609.00,608
2613.00,609
2617.00,610
2621.00,611
2624.00,612
2628.00,613
2632.00,614
2636.00,615
2640.00,616
2644.00,617
2648.00,618
2652.00,619
2656.00,620
2659.00,621
2663.00,622
2667.00,623
2671.00,624
2675.00,625
2679.00,626
2683.00,627
2687.00,628
2690.00,629
2694.00,630
2698.00,631
2702.00,632
2706.00,633
2710.00,634
2714.00,635
2718.00,636
2722.00,637
2725.00,638
2729.00,639
2733.00,640
2737.00,641
2741.00,642
2745.00,643
2749.00,644
2753.00,645
2756.00,646
2760.00,647
2764.00,648
2768.00,649
2772.00,650
2776.00,651
2780.00,652
2784.00,653
2787.00,654
2791.00,655
2795.00,656
2799.00,657
2803.00,658
2807.00,659
2811.00,660
2815.00,661
2818.00,662
2822.00,663
2826.00,664
2830.00,665
2834.00,666
2838.00,667
2842.00,668
2846.00,669
2849.00,670
2853.00,671
2857.00,672
2861.00,673
2865.00,674
2869.00,675
2873.00,676
2877.00,677
2880.00,678
2884.00,679
2888.00,680
2892.00,681
2896.00,682
2900.00,683
2904.00,684
2907.00,685
2911.00,686
2915.00,687
2919.00,688
2923.00,689
2927.00,690
2931.00,691
2934.00,692
2938.00,693
2942.00,694
2946.00,695
2950.00,696
2954.00,697
2958.00,698
2962.00,699
2965.00,700
2969.00,701
2973.00,702
2977.00,703
2981.00,704
2985.00,705
2989.00,706
2992.00,707
2996.00,708
3000.00,709
3004.00,710
3008.00,711
3012.00,712
3016.00,713
3019.00,714
3023.00,715
3027.00,716
3031.00,717
3035.00,718
3039.00,719
3042.00,720
3046.00,721
3050.00,722
3054.00,723
3058.00,724
3062.00,725
3066.00,726
3069.00,727
3073.00,728
3077.00,729
3081.00,730
3085.00,731
3089.00,732
3093.00,733
3096.00,734
3100.00,735
3104.00,736
3108.00,737
3112.00,738
3116.00,739
3119.00,740
3123.00,741
3127.00,742
3131.00,743
3135.00,744
3139.00,745
3143.00,746
3146.00,747
3150.00,748
3154.00,749
3158.00,750
3162.00,751
3166.00,752
3169.00,753
3173.00,754
3177.00,755
3181.00,756
3185.00,757
3189.00,758
3192.00,759
3196.00,760
3200.00,761
3204.00,762
3208.00,763
3212.00,764
3216.00,765
3219.00,766
3223.00,767
3227.00,768
3231.00,769
3235.00,770
3239.00,771
3242.00,772
3246.00,773
3250.00,774
3254.00,775
3258.00,776
3262.00,777
3265.00,778
3269.00,779
3273.00,780
3277.00,781
3281.00,782
3285.00,783
3288.00,784
3292.00,785
3296.00,786
3300.00,787
3304.00,788
3308.00,789
3311.00,790
3315.00,791
3319.00,792
3323.00,793
3327.00,794
3331.00,795
3334.00,796
3338.00,797
3342.00,798
3346.00,799
3350.00,800
3353.00,801
3357.00,802
3361.00,803
3365.00,804
3369.00,805
3373.00,806
3376.00,807
3380.00,808
3384.00,809
3388.00,810
3392.00,811
3396.00,812
3399.00,813
3403.00,814
3407.00,815
3411.00,816
3415.00,817
3418.00,818
3422.00,819
3426.00,820
3430.00,821
3434.00,822
3438.00,823
3441.00,824
3445.00,825
3449.00,826
3453.00,827
3457.00,828
3460.00,829
3464.00,830
3468.00,831
3472.00,832
3476.00,833
3480.00,834
3483.00,835
3487.00,836
3491.00,837
3495.00,838
3499.00,839
3502.00,840
3506.00,841
3510.00,842
3514.00,843
3518.00,844
3521.00,845
3525.00,846
3529.00,847
3533.00,848
3537.00,849
3541.00,850
3544.00,851
3548.00,852
3552.00,853
3556.00,854
3560.00,855
3563.00,856
3567.00,857
3571.00,858
3575.00,859
3579.00,860
3582.00,861
3586.00,862
3590.00,863
3594.00,864
3598.00,865
3601.00,866
3605.00,867
3609.00,868
3613.00,869
3617.00,870
3620.00,871
3624.00,872
3628.00,873
3632.00,874
3636.00,875
3639.00,876
3643.00,877
3647.00,878
3651.00,879
3655.00,880
3658.00,881
3662.00,882
3666.00,883
3670.00,884
3674.00,885
3677.00,886
3681.00,887
3685.00,888
3689.00,889
3693.00,890
3696.00,891
3700.00,892
3704.00,893
3708.00,894
3712.00,895
3715.00,896
3719.00,897
3723.00,898
3727.00,899
3731.00,900
3734.00,901
3738.00,902
3742.00,903
3746.00,904
3750.00,905
3753.00,906
3757.00,907
3761.00,908
3765.00,909
3769.00,910
3772.00,911
3776.00,912
3780.00,913
3784.00,914
3787.00,915
3791.00,916
3795.00,917
3799.00,918
3803.00,919
3806.00,920
3810.00,921
3814.00,922
3818.00,923
3822.00,924
3825.00,925
3829.00,926
3833.00,927
3837.00,928
3840.00,929
3844.00,930
3848.00,931
3852.00,932
3856.00,933
3859.00,934
3863.00,935
3867.00,936
3871.00,937
3875.00,938
3878.00,939
3882.00,940
3886.00,941
3890.00,942
3893.00,943
3897.00,944
