performance,points
0.44,1
0.46,2
0.48,3
0.49,4
0.51,5
0.53,6
0.54,7
0.56,8
0.57,9
0.59,10
0.61,11
0.62,12
0.64,13
0.66,14
0.67,15
0.69,16
0.71,17
0.72,18
0.74,19
0.76,20
0.77,21
0.79,22
0.80,23
0.82,24
0.84,25
0.85,26
0.87,27
0.89,28
0.90,29
0.92,30
0.94,31
0.95,32
0.97,33
0.99,34
1.00,35
1.02,36
1.04,37
1.05,38
1.07,39
1.08,40
1.10,41
1.12,42
1.13,43
1.15,44
1.17,45
1.18,46
1.20,47
1.22,48
1.23,49
1.25,50
1.27,51
1.28,52
1.30,53
1.31,54
1.33,55
1.35,56
1.36,57
1.38,58
1.40,59
1.41,60
1.43,61
1.45,62
1.46,63
1.48,64
1.49,65
1.51,66
1.53,67
1.54,68
1.56,69
1.58,70
1.59,71
1.61,72
1.63,73
1.64,74
1.66,75
1.68,76
1.69,77
1.71,78
1.72,79
1.74,80
1.76,81
1.77,82
1.79,83
1.81,84
1.82,85
1.84,86
1.86,87
1.87,88
1.89,89
1.91,90
1.92,91
1.94,92
1.95,93
1.97,94
1.99,95
2.00,96
2.02,97
2.04,98
2.05,99
2.07,100
2.09,101
2.10,102
2.12,103
2.14,104
2.15,105
2.17,106
2.18,107
2.20,108
2.22,109
2.23,110
2.25,111
2.27,112
2.28,113
2.30,114
2.32,115
2.33,116
2.35,117
2.36,118
2.38,119
2.40,120
2.41,121
2.43,122
2.45,123
2.46,124
2.48,125
2.50,126
2.51,127
2.53,128
2.55,129
2.56,130
2.58,131
2.59,132
2.61,133
2.63,134
2.64,135
2.66,136
2.68,137
2.69,138
2.71,139
2.73,140
2.74,141
2.76,142
2.77,143
2.79,144
2.81,145
2.82,146
2.84,147
2.86,148
2.87,149
2.89,150
2.91,151
2.92,152
2.94,153
2.95,154
2.97,155
2.99,156
3.00,157
3.02,158
3.04,159
3.05,160
3.07,161
3.09,162
3.10,163
3.12,164
3.14,165
3.15,166
3.17,167
3.18,168
3.20,169
3.22,170
3.23,171
3.25,172
3.27,173
3.28,174
3.30,175
3.32,176
3.33,177
3.35,178
3.36,179
3.38,180
3.40,181
3.41,182
3.43,183
3.45,184
3.46,185
3.48,186
3.50,187
3.51,188
3.53,189
3.54,190
3.56,191
3.58,192
3.59,193
3.61,194
3.63,195
3.64,196
3.66,197
3.68,198
3.69,199
3.71,200
3.72,201
3.74,202
3.76,203
3.77,204
3.79,205
3.81,206
3.82,207
3.84,208
3.86,209
3.87,210
3.89,211
3.90,212
3.92,213
3.94,214
3.95,215
3.97,216
3.99,217
4.00,218
4.02,219
4.04,220
4.05,221
4.07,222
4.08,223
4.10,224
4.12,225
4.13,226
4.15,227
4.17,228
4.18,229
4.20,230
4.22,231
4.23,232
4.25,233
4.26,234
4.28,235
4.30,236
4.31,237
4.33,238
4.35,239
4.36,240
4.38,241
4.40,242
4.41,243
4.43,244
4.44,245
4.46,246
4.48,247
4.49,248
4.51,249
4.53,250
4.54,251
4.56,252
4.58,253
4.59,254
4.61,255
4.62,256
4.64,257
4.66,258
4.67,259
4.69,260
4.71,261
4.72,262
4.74,263
4.75,264
4.77,265
4.79,266
4.80,267
4.82,268
4.84,269
4.85,270
4.87,271
4.89,272
4.90,273
4.92,274
4.93,275
4.95,276
4.97,277
4.98,278
5.00,279
5.02,280
5.03,281
5.05,282
5.07,283
5.08,284
5.10,285
5.11,286
5.13,287
5.15,288
5.16,289
5.18,290
5.20,291
5.21,292
5.23,293
5.24,294
5.26,295
5.28,296
5.29,297
5.31,298
5.33,299
5.34,300
5.36,301
5.38,302
5.39,303
5.41,304
5.42,305
5.44,306
5.46,307
5.47,308
5.49,309
5.51,310
5.52,311
5.54,312
5.56,313
5.57,314
5.59,315
5.60,316
5.62,317
5.64,318
5.65,319
5.67,320
5.69,321
5.70,322
5.72,323
5.73,324
5.75,325
5.77,326
5.78,327
5.80,328
5.82,329
5.83,330
5.85,331
5.87,332
5.88,333
5.90,334
5.91,335
5.93,336
5.95,337
5.96,338
5.98,339
6.00,340
6.01,341
6.03,342
6.04,343
6.06,344
6.08,345
6.09,346
6.11,347
6.13,348
6.14,349
6.16,350
6.18,351
6.19,352
6.21,353
6.22,354
6.24,355
6.26,356
6.27,357
6.29,358
6.31,359
6.32,360
6.34,361
6.35,362
6.37,363
6.39,364
6.40,365
6.42,366
6.44,367
6.45,368
6.47,369
6.48,370
6.50,371
6.52,372
6.53,373
6.55,374
6.57,375
6.58,376
6.60,377
6.62,378
6.63,379
6.65,380
6.66,381
6.68,382
6.70,383
6.71,384
6.73,385
6.75,386
6.76,387
6.78,388
6.79,389
6.81,390
6.83,391
6.84,392
6.86,393
6.88,394
6.89,395
6.91,396
6.92,397
6.94,398
6.96,399
6.97,400
6.99,401
7.01,402
7.02,403
7.04,404
7.06,405
7.07,406
7.09,407
7.10,408
7.12,409
7.14,410
7.15,411
7.17,412
7.19,413
7.20,414
7.22,415
7.23,416
7.25,417
7.27,418
7.28,419
7.30,420
7.32,421
7.33,422
7.35,423
7.36,424
7.38,425
7.40,426
7.41,427
7.43,428
7.45,429
7.46,430
7.48,431
7.49,432
7.51,433
7.53,434
7.54,435
7.56,436
7.58,437
7.59,438
7.61,439
7.62,440
7.64,441
7.66,442
7.67,443
7.69,444
7.71,445
7.72,446
7.74,447
7.75,448
7.77,449
7.79,450
7.80,451
7.82,452
7.84,453
7.85,454
7.87,455
7.89,456
7.90,457
7.92,458
7.93,459
7.95,460
7.97,461
7.98,462
8.00,463
8.02,464
8.03,465
8.05,466
8.06,467
8.08,468
8.10,469
8.11,470
8.13,471
8.15,472
8.16,473
8.18,474
8.19,475
8.21,476
8.23,477
8.24,478
8.26,479
8.28,480
8.29,481
8.31,482
8.32,483
8.34,484
8.36,485
8.37,486
8.39,487
8.41,488
8.42,489
8.44,490
8.45,491
8.47,492
8.49,493
8.50,494
8.52,495
8.54,496
8.55,497
8.57,498
8.58,499
8.60,500
8.62,501
8.63,502
8.65,503
8.67,504
8.68,505
8.70,506
8.71,507
8.73,508
8.75,509
8.76,510
8.78,511
8.80,512
8.81,513
8.83,514
8.84,515
8.86,516
8.88,517
8.89,518
8.91,519
8.93,520
8.94,521
8.96,522
8.97,523
8.99,524
9.01,525
9.02,526
9.04,527
9.06,528
9.07,529
9.09,530
9.10,531
9.12,532
9.14,533
9.15,534
9.17,535
9.18,536
9.20,537
9.22,538
9.23,539
9.25,540
9.27,541
9.28,542
9.30,543
9.31,544
9.33,545
9.35,546
9.36,547
9.38,548
9.40,549
9.41,550
9.43,551
9.44,552
9.46,553
9.48,554
9.49,555
9.51,556
9.53,557
9.54,558
9.56,559
9.57,560
9.59,561
9.61,562
9.62,563
9.64,564
9.66,565
9.67,566
9.69,567
9.70,568
9.72,569
9.74,570
9.75,571
9.77,572
9.79,573
9.80,574
9.82,575
9.83,576
9.85,577
9.87,578
9.88,579
9.90,580
9.92,581
9.93,582
9.95,583
9.96,584
9.98,585
10.00,586
10.01,587
10.03,588
10.04,589
10.06,590
10.08,591
10.09,592
10.11,593
10.13,594
10.14,595
10.16,596
10.17,597
10.19,598
10.21,599
10.22,600
10.24,601
10.26,602
10.27,603
10.29,604
10.30,605
10.32,606
10.34,607
10.35,608
10.37,609
10.39,610
10.40,611
10.42,612
10.43,613
10.45,614
10.47,615
10.48,616
10.50,617
10.51,618
10.53,619
10.55,620
10.56,621
10.58,622
10.60,623
10.61,624
10.63,625
10.64,626
10.66,627
10.68,628
10.69,629
10.71,630
10.73,631
10.74,632
10.76,633
10.77,634
10.79,635
10.81,636
10.82,637
10.84,638
10.85,639
10.87,640
10.89,641
10.90,642
10.92,643
10.94,644
10.95,645
10.97,646
10.98,647
11.00,648
11.02,649
11.03,650
11.05,651
11.07,652
11.08,653
11.10,654
11.11,655
11.13,656
11.15,657
11.16,658
11.18,659
11.19,660
11.21,661
11.23,662
11.24,663
11.26,664
11.28,665
11.29,666
11.31,667
11.32,668
11.34,669
11.36,670
11.37,671
11.39,672
11.41,673
11.42,674
11.44,675
11.45,676
11.47,677
11.49,678
11.50,679
11.52,680
11.53,681
11.55,682
11.57,683
11.58,684
11.60,685
11.62,686
11.63,687
11.65,688
11.66,689
11.68,690
11.70,691
11.71,692
11.73,693
11.74,694
11.76,695
11.78,696
11.79,697
11.81,698
11.83,699
11.84,700
11.86,701
11.87,702
11.89,703
11.91,704
11.92,705
11.94,706
11.95,707
11.97,708
11.99,709
12.00,710
12.02,711
12.04,712
12.05,713
12.07,714
12.08,715
12.10,716
12.12,717
12.13,718
12.15,719
12.17,720
12.18,721
12.20,722
12.21,723
12.23,724
12.25,725
12.26,726
12.28,727
12.29,728
12.31,729
12.33,730
12.34,731
12.36,732
12.38,733
12.39,734
12.41,735
12.42,736
12.44,737
12.46,738
12.47,739
12.49,740
12.50,741
12.52,742
12.54,743
12.55,744
12.57,745
12.59,746
12.60,747
12.62,748
12.63,749
12.65,750
12.67,751
12.68,752
12.70,753
12.71,754
12.73,755
12.75,756
12.76,757
12.78,758
12.80,759
12.81,760
12.83,761
12.84,762
12.86,763
12.88,764
12.89,765
12.91,766
12.92,767
12.94,768
12.96,769
12.97,770
12.99,771
13.00,772
13.02,773
13.04,774
13.05,775
13.07,776
13.09,777
13.10,778
13.12,779
13.13,780
13.15,781
13.17,782
13.18,783
13.20,784
13.21,785
13.23,786
13.25,787
13.26,788
13.28,789
13.30,790
13.31,791
13.33,792
13.34,793
13.36,794
13.38,795
13.39,796
13.41,797
13.42,798
13.44,799
13.46,800
13.47,801
13.49,802
13.51,803
13.52,804
13.54,805
13.55,806
13.57,807
13.59,808
13.60,809
13.62,810
13.63,811
13.65,812
13.67,813
13.68,814
13.70,815
13.71,816
13.73,817
13.75,818
13.76,819
13.78,820
13.80,821
13.81,822
13.83,823
13.84,824
13.86,825
13.88,826
13.89,827
13.91,828
13.92,829
13.94,830
13.96,831
13.97,832
13.99,833
14.00,834
14.02,835
14.04,836
14.05,837
14.07,838
14.09,839
14.10,840
14.12,841
14.13,842
14.15,843
14.17,844
14.18,845
14.20,846
14.21,847
14.23,848
14.25,849
14.26,850
14.28,851
14.29,852
14.31,853
14.33,854
14.34,855
14.36,856
14.38,857
14.39,858
14.41,859
14.42,860
14.44,861
14.46,862
14.47,863
14.49,864
14.50,865
14.52,866
14.54,867
14.55,868
14.57,869
14.58,870
14.60,871
14.62,872
14.63,873
14.65,874
14.67,875
14.68,876
14.70,877
14.71,878
14.73,879
14.75,880
14.76,881
14.78,882
14.79,883
14.81,884
14.83,885
14.84,886
14.86,887
14.87,888
14.89,889
14.91,890
14.92,891
14.94,892
14.96,893
14.97,894
14.99,895
15.00,896
15.02,897
15.04,898
15.05,899
15.07,900
15.08,901
15.10,902
15.12,903
15.13,904
15.15,905
15.16,906
15.18,907
15.20,908
15.21,909
15.23,910
15.24,911
15.26,912
15.28,913
15.29,914
15.31,915
15.33,916
15.34,917
15.36,918
15.37,919
15.39,920
15.41,921
15.42,922
15.44,923
15.45,924
15.47,925
15.49,926
15.50,927
15.52,928
15.53,929
15.55,930
15.57,931
15.58,932
15.60,933
15.61,934
15.63,935
15.65,936
15.66,937
15.68,938
15.69,939
15.71,940
15.73,941
15.74,942
15.76,943
15.78,944
15.79,945
15.81,946
15.82,947
15.84,948
15.86,949
15.87,950
15.89,951
15.90,952
15.92,953
15.94,954
15.95,955
15.97,956
15.98,957
16.00,958
16.02,959
16.03,960
16.05,961
16.06,962
16.08,963
16.10,964
16.11,965
16.13,966
16.14,967
16.16,968
16.18,969
16.19,970
16.21,971
16.23,972
16.24,973
16.26,974
16.27,975
16.29,976
16.31,977
16.32,978
16.34,979
16.35,980
16.37,981
16.39,982
16.40,983
16.42,984
16.43,985
16.45,986
16.47,987
16.48,988
16.50,989
16.51,990
16.53,991
16.55,992
16.56,993
16.58,994
16.59,995
16.61,996
16.63,997
16.64,998
16.66,999
16.67,1000
16.69,1001
16.71,1002
16.72,1003
16.74,1004
16.76,1005
16.77,1006
16.79,1007
16.80,1008
16.82,1009
16.84,1010
16.85,1011
16.87,1012
16.88,1013
16.90,1014
16.92,1015
16.93,1016
16.95,1017
16.96,1018
16.98,1019
17.00,1020
17.01,1021
17.03,1022
17.04,1023
17.06,1024
17.08,1025
17.09,1026
17.11,1027
17.12,1028
17.14,1029
17.16,1030
17.17,1031
17.19,1032
17.20,1033
17.22,1034
17.24,1035
17.25,1036
17.27,1037
17.28,1038
17.30,1039
17.32,1040
17.33,1041
17.35,1042
17.36,1043
17.38,1044
17.40,1045
17.41,1046
17.43,1047
17.44,1048
17.46,1049
17.48,1050
17.49,1051
17.51,1052
17.53,1053
17.54,1054
17.56,1055
17.57,1056
17.59,1057
17.61,1058
17.62,1059
17.64,1060
17.65,1061
17.67,1062
17.69,1063
17.70,1064
17.72,1065
17.73,1066
17.75,1067
17.77,1068
17.78,1069
17.80,1070
17.81,1071
17.83,1072
17.85,1073
17.86,1074
17.88,1075
17.89,1076
17.91,1077
17.93,1078
17.94,1079
17.96,1080
17.97,1081
17.99,1082
18.01,1083
18.02,1084
18.04,1085
18.05,1086
18.07,1087
18.09,1088
18.10,1089
18.12,1090
18.13,1091
18.15,1092
18.17,1093
18.18,1094
18.20,1095
18.21,1096
18.23,1097
18.25,1098
18.26,1099
18.28,1100
18.29,1101
18.31,1102
18.33,1103
18.34,1104
18.36,1105
18.37,1106
18.39,1107
18.41,1108
18.42,1109
18.44,1110
18.45,1111
18.47,1112
18.49,1113
18.50,1114
18.52,1115
18.53,1116
18.55,1117
18.57,1118
18.58,1119
18.60,1120
18.61,1121
18.63,1122
18.65,1123
18.66,1124
18.68,1125
18.69,1126
18.71,1127
18.73,1128
18.74,1129
18.76,1130
18.77,1131
18.79,1132
18.81,1133
18.82,1134
18.84,1135
18.85,1136
18.87,1137
18.89,1138
18.90,1139
18.92,1140
18.93,1141
18.95,1142
18.97,1143
18.98,1144
19.00,1145
19.01,1146
19.03,1147
19.05,1148
19.06,1149
19.08,1150
19.09,1151
19.11,1152
19.13,1153
19.14,1154
19.16,1155
19.17,1156
19.19,1157
19.21,1158
19.22,1159
19.24,1160
19.25,1161
19.27,1162
19.29,1163
19.30,1164
19.32,1165
19.33,1166
19.35,1167
19.37,1168
19.38,1169
19.40,1170
19.41,1171
19.43,1172
19.45,1173
19.46,1174
19.48,1175
19.49,1176
19.51,1177
19.53,1178
19.54,1179
19.56,1180
19.57,1181
19.59,1182
19.61,1183
19.62,1184
19.64,1185
19.65,1186
19.67,1187
19.69,1188
19.70,1189
19.72,1190
19.73,1191
19.75,1192
19.77,1193
19.78,1194
19.80,1195
19.81,1196
19.83,1197
19.85,1198
19.86,1199
19.88,1200
19.89,1201
19.91,1202
19.93,1203
19.94,1204
19.96,1205
19.97,1206
19.99,1207
20.01,1208
20.02,1209
20.04,1210
20.05,1211
20.07,1212
20.09,1213
20.10,1214
20.12,1215
20.13,1216
20.15,1217
20.17,1218
20.18,1219
20.20,1220
20.21,1221
20.23,1222
20.25,1223
20.26,1224
20.28,1225
20.29,1226
20.31,1227
20.32,1228
20.34,1229
20.36,1230
20.37,1231
20.39,1232
20.40,1233
20.42,1234
20.44,1235
20.45,1236
20.47,1237
20.48,1238
20.50,1239
20.52,1240
20.53,1241
20.55,1242
20.56,1243
20.58,1244
20.60,1245
20.61,1246
20.63,1247
20.64,1248
20.66,1249
20.68,1250
20.69,1251
20.71,1252
20.72,1253
20.74,1254
20.76,1255
20.77,1256
20.79,1257
20.80,1258
20.82,1259
20.84,1260
20.85,1261
20.87,1262
20.88,1263
20.90,1264
20.92,1265
20.93,1266
20.95,1267
20.96,1268
20.98,1269
21.00,1270
21.01,1271
21.03,1272
21.04,1273
21.06,1274
21.07,1275
21.09,1276
21.11,1277
21.12,1278
21.14,1279
21.15,1280
21.17,1281
21.19,1282
21.20,1283
21.22,1284
21.23,1285
21.25,1286
21.27,1287
21.28,1288
21.30,1289
21.31,1290
21.33,1291
21.35,1292
21.36,1293
21.38,1294
21.39,1295
21.41,1296
21.43,1297
21.44,1298
21.46,1299
21.47,1300
21.49,1301
21.51,1302
21.52,1303
21.54,1304
21.55,1305
21.57,1306
21.59,1307
21.60,1308
21.62,1309
21.63,1310
21.65,1311
21.66,1312
21.68,1313
21.70,1314
21.71,1315
21.73,1316
21.74,1317
21.76,1318
21.78,1319
21.79,1320
21.81,1321
21.82,1322
21.84,1323
21.86,1324
21.87,1325
21.89,1326
21.90,1327
21.92,1328
21.94,1329
21.95,1330
21.97,1331
21.98,1332
22.00,1333
22.02,1334
22.03,1335
22.05,1336
22.06,1337
22.08,1338
22.09,1339
22.11,1340
22.13,1341
22.14,1342
22.16,1343
22.17,1344
22.19,1345
22.21,1346
22.22,1347
22.24,1348
22.25,1349
22.27,1350
22.29,1351
22.30,1352
22.32,1353
22.33,1354
22.35,1355
22.37,1356
22.38,1357
22.40,1358
22.41,1359
22.43,1360
22.45,1361
22.46,1362
22.48,1363
22.49,1364
22.51,1365
22.52,1366
22.54,1367
22.56,1368
22.57,1369
22.59,1370
22.60,1371
22.62,1372
22.64,1373
22.65,1374
