performance,points
466.34,1400
466.50,1399
466.66,1398
466.81,1397
466.97,1396
467.13,1395
467.29,1394
467.45,1393
467.60,1392
467.76,1391
467.92,1390
468.08,1389
468.23,1388
468.39,1387
468.55,1386
468.71,1385
468.87,1384
469.03,1383
469.18,1382
469.34,1381
469.50,1380
469.66,1379
469.82,1378
469.98,1377
470.14,1376
470.29,1375
470.45,1374
470.61,1373
470.77,1372
470.93,1371
471.09,1370
471.25,1369
471.41,1368
471.57,1367
471.73,1366
471.89,1365
472.04,1364
472.20,1363
472.36,1362
472.52,1361
472.68,1360
472.84,1359
473.00,1358
473.16,1357
473.32,1356
473.48,1355
473.64,1354
473.80,1353
473.96,1352
474.12,1351
474.28,1350
474.44,1349
474.60,1348
474.76,1347
474.92,1346
475.08,1345
475.25,1344
475.41,1343
475.57,1342
475.73,1341
475.89,1340
476.05,1339
476.21,1338
476.37,1337
476.53,1336
476.69,1335
476.85,1334
477.02,1333
477.18,1332
477.34,1331
477.50,1330
477.66,1329
477.82,1328
477.98,1327
478.15,1326
478.31,1325
478.47,1324
478.63,1323
478.79,1322
478.96,1321
479.12,1320
479.28,1319
479.44,1318
479.60,1317
479.77,1316
479.93,1315
480.09,1314
480.25,1313
480.42,1312
480.58,1311
480.74,1310
480.90,1309
481.07,1308
481.23,1307
481.39,1306
481.56,1305
481.72,1304
481.88,1303
482.04,1302
482.21,1301
482.37,1300
482.53,1299
482.70,1298
482.86,1297
483.03,1296
483.19,1295
483.35,1294
483.52,1293
483.68,1292
483.84,1291
484.01,1290
484.17,1289
484.34,1288
484.50,1287
484.66,1286
484.83,1285
484.99,1284
485.16,1283
485.32,1282
485.49,1281
485.65,1280
485.82,1279
485.98,1278
486.14,1277
486.31,1276
486.47,1275
486.64,1274
486.80,1273
486.97,1272
487.13,1271
487.30,1270
487.46,1269
487.63,1268
487.80,1267
487.96,1266
488.13,1265
488.29,1264
488.46,1263
488.62,1262
488.79,1261
488.96,1260
489.12,1259
489.29,1258
489.45,1257
489.62,1256
