performance,points
77.01,1400
77.03,1399
77.06,1398
77.08,1397
77.10,1396
77.13,1395
77.15,1394
77.18,1393
77.20,1392
77.22,1391
77.25,1390
77.27,1389
77.30,1388
77.32,1387
77.34,1386
77.37,1385
77.39,1384
77.42,1383
77.44,1382
77.46,1381
77.49,1380
77.51,1379
77.54,1378
77.56,1377
77.59,1376
77.61,1375
77.63,1374
77.66,1373
77.68,1372
77.71,1371
77.73,1370
77.75,1369
77.78,1368
77.80,1367
77.83,1366
77.85,1365
77.88,1364
77.90,1363
77.92,1362
77.95,1361
77.97,1360
78.00,1359
78.02,1358
78.05,1357
78.07,1356
78.09,1355
78.12,1354
78.14,1353
78.17,1352
78.19,1351
78.22,1350
78.24,1349
78.26,1348
78.29,1347
78.31,1346
78.34,1345
78.36,1344
78.39,1343
78.41,1342
78.44,1341
78.46,1340
78.48,1339
78.51,1338
78.53,1337
78.56,1336
78.58,1335
78.61,1334
78.63,1333
78.66,1332
78.68,1331
78.70,1330
78.73,1329
78.75,1328
78.78,1327
78.80,1326
78.83,1325
78.85,1324
78.88,1323
78.90,1322
78.93,1321
78.95,1320
78.98,1319
79.00,1318
79.02,1317
79.05,1316
79.07,1315
79.10,1314
79.12,1313
79.15,1312
79.17,1311
79.20,1310
79.22,1309
79.25,1308
79.27,1307
79.30,1306
79.32,1305
79.35,1304
79.37,1303
79.40,1302
79.42,1301
79.45,1300
79.47,1299
79.49,1298
79.52,1297
79.54,1296
79.57,1295
79.59,1294
79.62,1293
79.64,1292
79.67,1291
79.69,1290
79.72,1289
79.74,1288
79.77,1287
79.79,1286
79.82,1285
79.84,1284
79.87,1283
79.89,1282
79.92,1281
79.94,1280
79.97,1279
79.99,1278
80.02,1277
80.04,1276
80.07,1275
80.09,1274
80.12,1273
80.14,1272
80.17,1271
80.19,1270
80.22,1269
80.24,1268
80.27,1267
80.29,1266
80.32,1265
80.35,1264
80.37,1263
80.40,1262
80.42,1261
80.45,1260
80.47,1259
80.50,1258
80.52,1257
80.55,1256
80.57,1255
80.60,1254
80.62,1253
80.65,1252
80.67,1251
80.70,1250
80.72,1249
80.75,1248
80.77,1247
80.80,1246
80.83,1245
80.85,1244
80.88,1243
80.90,1242
80.93,1241
80.95,1240
80.98,1239
81.00,1238
81.03,1237
81.05,1236
81.08,1235
81.11,1234
81.13,1233
81.16,1232
81.18,1231
81.21,1230
81.23,1229
81.26,1228
81.28,1227
81.31,1226
81.33,1225
81.36,1224
81.39,1223
81.41,1222
81.44,1221
81.46,1220
81.49,1219
81.51,1218
81.54,1217
81.57,1216
81.59,1215
81.62,1214
81.64,1213
81.67,1212
81.69,1211
81.72,1210
81.75,1209
81.77,1208
81.80,1207
81.82,1206
81.85,1205
81.87,1204
81.90,1203
81.93,1202
81.95,1201
81.98,1200
82.00,1199
82.03,1198
82.06,1197
82.08,1196
82.11,1195
82.13,1194
82.16,1193
82.18,1192
82.21,1191
82.24,1190
82.26,1189
82.29,1188
82.31,1187
82.34,1186
82.37,1185
82.39,1184
82.42,1183
82.44,1182
82.47,1181
82.50,1180
82.52,1179
82.55,1178
82.57,1177
82.60,1176
82.63,1175
82.65,1174
