performance,points
5.95,1400
5.96,1396
5.97,1392
5.98,1387
5.99,1383
6.00,1379
6.01,1374
6.02,1370
6.03,1366
6.04,1361
6.05,1357
6.06,1353
6.07,1348
6.08,1344
6.09,1340
6.10,1335
6.11,1331
6.12,1327
6.13,1323
6.14,1318
6.15,1314
6.16,1310
6.17,1306
6.18,1301
6.19,1297
6.20,1293
6.21,1289
6.22,1285
6.23,1280
6.24,1276
6.25,1272
6.26,1268
6.27,1264
6.28,1260
6.29,1255
6.30,1251
6.31,1247
6.32,1243
6.33,1239
6.34,1235
6.35,1231
6.36,1227
6.37,1223
6.38,1218
6.39,1214
6.40,1210
6.41,1206
6.42,1202
6.43,1198
6.44,1194
6.45,1190
6.46,1186
6.47,1182
6.48,1178
6.49,1174
6.50,1170
6.51,1166
6.52,1162
6.53,1158
6.54,1154
6.55,1150
6.56,1146
6.57,1142
6.58,1138
6.59,1134
6.60,1130
6.61,1126
6.62,1122
6.63,1118
6.64,1115
6.65,1111
6.66,1107
6.67,1103
6.68,1099
6.69,1095
6.70,1091
6.71,1087
6.72,1084
6.73,1080
6.74,1076
6.75,1072
6.76,1068
6.77,1064
6.78,1061
6.79,1057
6.80,1053
6.81,1049
6.82,1045
6.83,1042
6.84,1038
6.85,1034
6.86,1030
6.87,1027
6.88,1023
6.89,1019
6.90,1015
6.91,1012
6.92,1008
6.93,1004
6.94,1000
6.95,997
6.96,993
6.97,989
6.98,986
6.99,982
7.00,978
7.01,975
7.02,971
7.03,967
7.04,964
7.05,960
7.06,957
7.07,953
7.08,949
7.09,946
7.10,942
7.11,939
7.12,935
7.13,931
7.14,928
7.15,924
7.16,921
7.17,917
7.18,914
7.19,910
7.20,907
7.21,903
7.22,900
7.23,896
7.24,893
7.25,889
7.26,886
7.27,882
7.28,879
7.29,875
7.30,872
7.31,868
7.32,865
7.33,861
7.34,858
7.35,854
7.36,851
7.37,848
7.38,844
7.39,841
7.40,837
7.41,834
7.42,831
7.43,827
7.44,824
7.45,821
7.46,817
7.47,814
7.48,811
7.49,807
7.50,804
7.51,801
7.52,797
7.53,794
7.54,791
7.55,787
7.56,784
7.57,781
7.58,778
7.59,774
7.60,771
7.61,768
7.62,765
7.63,761
7.64,758
7.65,755
7.66,752
7.67,749
7.68,745
7.69,742
7.70,739
7.71,736
7.72,733
7.73,729
7.74,726
7.75,723
7.76,720
7.77,717
7.78,714
7.79,711
7.80,708
7.81,704
7.82,701
7.83,698
7.84,695
7.85,692
7.86,689
7.87,686
7.88,683
7.89,680
7.90,677
7.91,674
7.92,671
7.93,668
7.94,665
7.95,662
7.96,659
7.97,656
7.98,653
7.99,650
8.00,647
8.01,644
8.02,641
8.03,638
8.04,635
8.05,632
8.06,629
8.07,626
8.08,623
8.09,620
8.10,617
8.11,614
8.12,611
8.13,609
8.14,606
8.15,603
8.16,600
8.17,597
8.18,594
8.19,591
8.20,589
8.21,586
8.22,583
8.23,580
8.24,577
8.25,574
8.26,572
8.27,569
8.28,566
8.29,563
8.30,560
8.31,558
8.32,555
8.33,552
8.34,549
8.35,547
8.36,544
8.37,541
8.38,539
