performance,points
71.08,1400
71.10,1399
71.12,1398
71.14,1397
71.17,1396
71.19,1395
71.21,1394
71.23,1393
71.25,1392
71.27,1391
71.29,1390
71.32,1389
71.34,1388
71.36,1387
71.38,1386
71.40,1385
71.42,1384
71.45,1383
71.47,1382
71.49,1381
71.51,1380
71.53,1379
71.55,1378
71.57,1377
71.60,1376
71.62,1375
71.64,1374
71.66,1373
71.68,1372
71.70,1371
71.73,1370
71.75,1369
71.77,1368
71.79,1367
71.81,1366
71.83,1365
71.86,1364
71.88,1363
71.90,1362
71.92,1361
71.94,1360
71.96,1359
71.99,1358
72.01,1357
72.03,1356
72.05,1355
72.07,1354
72.09,1353
72.12,1352
72.14,1351
72.16,1350
72.18,1349
72.20,1348
72.23,1347
72.25,1346
72.27,1345
72.29,1344
72.31,1343
72.33,1342
72.36,1341
72.38,1340
72.40,1339
72.42,1338
72.44,1337
72.47,1336
72.49,1335
72.51,1334
72.53,1333
72.55,1332
72.58,1331
72.60,1330
72.62,1329
72.64,1328
72.66,1327
72.69,1326
72.71,1325
72.73,1324
72.75,1323
72.77,1322
72.80,1321
72.82,1320
72.84,1319
72.86,1318
72.88,1317
72.91,1316
72.93,1315
72.95,1314
72.97,1313
72.99,1312
73.02,1311
73.04,1310
73.06,1309
73.08,1308
73.10,1307
73.13,1306
73.15,1305
73.17,1304
73.19,1303
73.22,1302
73.24,1301
73.26,1300
73.28,1299
73.30,1298
73.33,1297
73.35,1296
73.37,1295
73.39,1294
73.42,1293
73.44,1292
73.46,1291
73.48,1290
73.50,1289
73.53,1288
73.55,1287
73.57,1286
73.59,1285
73.62,1284
73.64,1283
73.66,1282
73.68,1281
73.71,1280
73.73,1279
73.75,1278
73.77,1277
73.80,1276
73.82,1275
73.84,1274
73.86,1273
73.89,1272
73.91,1271
73.93,1270
73.95,1269
73.97,1268
74.00,1267
74.02,1266
74.04,1265
74.06,1264
74.09,1263
74.11,1262
74.13,1261
74.16,1260
74.18,1259
74.20,1258
74.22,1257
74.25,1256
74.27,1255
74.29,1254
74.31,1253
74.34,1252
74.36,1251
74.38,1250
74.40,1249
74.43,1248
74.45,1247
74.47,1246
74.49,1245
74.52,1244
74.54,1243
74.56,1242
74.59,1241
74.61,1240
74.63,1239
74.65,1238
74.68,1237
74.70,1236
74.72,1235
74.74,1234
74.77,1233
74.79,1232
74.81,1231
74.84,1230
74.86,1229
74.88,1228
74.90,1227
74.93,1226
74.95,1225
74.97,1224
75.00,1223
75.02,1222
75.04,1221
75.06,1220
75.09,1219
75.11,1218
75.13,1217
75.16,1216
75.18,1215
75.20,1214
75.23,1213
75.25,1212
75.27,1211
75.29,1210
75.32,1209
75.34,1208
75.36,1207
75.39,1206
75.41,1205
75.43,1204
75.46,1203
75.48,1202
75.50,1201
75.52,1200
75.55,1199
75.57,1198
75.59,1197
75.62,1196
75.64,1195
75.66,1194
75.69,1193
75.71,1192
75.73,1191
75.76,1190
75.78,1189
75.80,1188
75.83,1187
75.85,1186
75.87,1185
75.90,1184
75.92,1183
75.94,1182
75.97,1181
75.99,1180
76.01,1179
76.04,1178
76.06,1177
76.08,1176
76.11,1175
76.13,1174
76.15,1173
76.18,1172
76.20,1171
76.22,1170
76.25,1169
76.27,1168
76.29,1167
76.32,1166
76.34,1165
76.36,1164
76.39,1163
76.41,1162
76.43,1161
76.46,1160
76.48,1159
76.50,1158
76.53,1157
76.55,1156
76.57,1155
76.60,1154
76.62,1153
76.65,1152
76.67,1151
76.69,1150
76.72,1149
76.74,1148
76.76,1147
76.79,1146
76.81,1145
76.83,1144
76.86,1143
76.88,1142
76.91,1141
76.93,1140
76.95,1139
76.98,1138
77.00,1137
77.02,1136
77.05,1135
77.07,1134
77.10,1133
77.12,1132
77.14,1131
77.17,1130
77.19,1129
77.21,1128
77.24,1127
77.26,1126
77.29,1125
77.31,1124
77.33,1123
77.36,1122
77.38,1121
77.41,1120
77.43,1119
77.45,1118
77.48,1117
77.50,1116
77.53,1115
77.55,1114
77.57,1113
77.60,1112
77.62,1111
77.65,1110
77.67,1109
77.69,1108
77.72,1107
77.74,1106
77.77,1105
77.79,1104
77.81,1103
77.84,1102
77.86,1101
77.89,1100
77.91,1099
77.93,1098
77.96,1097
77.98,1096
78.01,1095
78.03,1094
78.06,1093
78.08,1092
78.10,1091
78.13,1090
78.15,1089
78.18,1088
78.20,1087
78.23,1086
78.25,1085
78.27,1084
78.30,1083
78.32,1082
78.35,1081
78.37,1080
78.40,1079
78.42,1078
78.44,1077
78.47,1076
78.49,1075
78.52,1074
78.54,1073
78.57,1072
78.59,1071
78.62,1070
78.64,1069
78.66,1068
78.69,1067
78.71,1066
78.74,1065
78.76,1064
78.79,1063
78.81,1062
78.84,1061
78.86,1060
78.89,1059
78.91,1058
78.93,1057
78.96,1056
78.98,1055
79.01,1054
79.03,1053
79.06,1052
