performance,points
0.92,8
0.93,16
0.94,24
0.95,32
0.96,40
0.97,48
0.98,56
0.99,64
1.00,72
1.01,80
1.02,88
1.03,97
1.04,105
1.05,113
1.06,121
1.07,129
1.08,137
1.09,145
1.10,154
1.11,162
1.12,170
1.13,178
1.14,186
1.15,194
1.16,203
1.17,211
1.18,219
1.19,227
1.20,235
1.21,244
1.22,252
1.23,260
1.24,268
1.25,277
1.26,285
1.27,293
1.28,301
1.29,310
1.30,318
1.31,326
1.32,335
1.33,343
1.34,351
1.35,360
1.36,368
1.37,376
1.38,385
1.39,393
1.40,401
1.41,410
1.42,418
1.43,426
1.44,435
1.45,443
1.46,451
1.47,460
1.48,468
1.49,477
1.50,485
1.51,494
1.52,502
1.53,510
1.54,519
1.55,527
1.56,536
1.57,544
1.58,553
1.59,561
1.60,570
1.61,578
1.62,587
1.63,595
1.64,604
1.65,612
1.66,621
1.67,629
1.68,638
1.69,646
1.70,655
1.71,663
1.72,672
1.73,680
1.74,689
1.75,698
1.76,706
1.77,715
1.78,723
1.79,732
1.80,741
1.81,749
1.82,758
1.83,766
1.84,775
1.85,784
1.86,792
1.87,801
1.88,810
1.89,818
1.90,827
1.91,836
1.92,844
1.93,853
1.94,862
1.95,870
1.96,879
1.97,888
1.98,897
1.99,905
2.00,914
2.01,923
2.02,932
2.03,940
2.04,949
2.05,958
2.06,967
2.07,975
2.08,984
2.09,993
2.10,1002
2.11,1011
2.12,1019
2.13,1028
2.14,1037
2.15,1046
2.16,1055
2.17,1064
2.18,1072
2.19,1081
2.20,1090
2.21,1099
2.22,1108
2.23,1117
2.24,1126
2.25,1135
2.26,1143
2.27,1152
2.28,1161
2.29,1170
2.30,1179
2.31,1188
2.32,1197
2.33,1206
2.34,1215
2.35,1224
2.36,1233
2.37,1242
2.38,1251
2.39,1260
2.40,1269
2.41,1278
2.42,1287
2.43,1296
2.44,1305
2.45,1314
2.46,1323
2.47,1332
2.48,1341
2.49,1350
2.50,1359
2.51,1368
2.52,1377
2.53,1386
2.54,1395
