performance,points
253.00,1
258.00,2
263.00,3
269.00,4
274.00,5
279.00,6
285.00,7
290.00,8
295.00,9
301.00,10
306.00,11
311.00,12
317.00,13
322.00,14
327.00,15
333.00,16
338.00,17
343.00,18
349.00,19
354.00,20
359.00,21
365.00,22
370.00,23
375.00,24
381.00,25
386.00,26
391.00,27
397.00,28
402.00,29
407.00,30
413.00,31
418.00,32
423.00,33
429.00,34
434.00,35
439.00,36
445.00,37
450.00,38
455.00,39
460.00,40
466.00,41
471.00,42
476.00,43
482.00,44
487.00,45
492.00,46
498.00,47
503.00,48
508.00,49
514.00,50
519.00,51
524.00,52
530.00,53
535.00,54
540.00,55
546.00,56
551.00,57
556.00,58
561.00,59
567.00,60
572.00,61
577.00,62
583.00,63
588.00,64
593.00,65
599.00,66
604.00,67
609.00,68
615.00,69
620.00,70
625.00,71
630.00,72
636.00,73
641.00,74
646.00,75
652.00,76
657.00,77
662.00,78
668.00,79
673.00,80
678.00,81
684.00,82
689.00,83
694.00,84
699.00,85
705.00,86
710.00,87
715.00,88
721.00,89
726.00,90
731.00,91
736.00,92
742.00,93
747.00,94
752.00,95
758.00,96
763.00,97
768.00,98
774.00,99
779.00,100
784.00,101
789.00,102
795.00,103
800.00,104
805.00,105
811.00,106
816.00,107
821.00,108
826.00,109
832.00,110
837.00,111
842.00,112
848.00,113
853.00,114
858.00,115
863.00,116
869.00,117
874.00,118
879.00,119
884.00,120
890.00,121
895.00,122
900.00,123
906.00,124
911.00,125
916.00,126
921.00,127
927.00,128
932.00,129
937.00,130
943.00,131
948.00,132
953.00,133
958.00,134
964.00,135
969.00,136
974.00,137
979.00,138
985.00,139
990.00,140
995.00,141
1001.00,142
1006.00,143
1011.00,144
1016.00,145
1022.00,146
1027.00,147
1032.00,148
1037.00,149
1043.00,150
1048.00,151
1053.00,152
1058.00,153
1064.00,154
1069.00,155
1074.00,156
1079.00,157
1085.00,158
1090.00,159
1095.00,160
1101.00,161
1106.00,162
1111.00,163
1116.00,164
1122.00,165
1127.00,166
1132.00,167
1137.00,168
1143.00,169
1148.00,170
1153.00,171
1158.00,172
1164.00,173
1169.00,174
1174.00,175
1179.00,176
1185.00,177
1190.00,178
1195.00,179
1200.00,180
1206.00,181
1211.00,182
1216.00,183
1221.00,184
1227.00,185
1232.00,186
1237.00,187
1242.00,188
1248.00,189
1253.00,190
1258.00,191
1263.00,192
1269.00,193
1274.00,194
1279.00,195
1284.00,196
1289.00,197
1295.00,198
1300.00,199
1305.00,200
1310.00,201
1316.00,202
1321.00,203
1326.00,204
1331.00,205
1337.00,206
1342.00,207
1347.00,208
1352.00,209
1358.00,210
1363.00,211
1368.00,212
1373.00,213
1378.00,214
1384.00,215
1389.00,216
1394.00,217
1399.00,218
1405.00,219
1410.00,220
1415.00,221
1420.00,222
1426.00,223
1431.00,224
1436.00,225
1441.00,226
1446.00,227
1452.00,228
1457.00,229
1462.00,230
1467.00,231
1473.00,232
1478.00,233
1483.00,234
1488.00,235
1493.00,236
1499.00,237
1504.00,238
1509.00,239
1514.00,240
1520.00,241
1525.00,242
1530.00,243
1535.00,244
1540.00,245
1546.00,246
1551.00,247
1556.00,248
1561.00,249
1566.00,250
1572.00,251
1577.00,252
1582.00,253
1587.00,254
1593.00,255
1598.00,256
1603.00,257
1608.00,258
1613.00,259
1619.00,260
1624.00,261
1629.00,262
1634.00,263
1639.00,264
1645.00,265
1650.00,266
1655.00,267
1660.00,268
1665.00,269
1671.00,270
1676.00,271
1681.00,272
1686.00,273
1691.00,274
1697.00,275
1702.00,276
1707.00,277
1712.00,278
1717.00,279
1723.00,280
1728.00,281
1733.00,282
1738.00,283
1743.00,284
1749.00,285
1754.00,286
1759.00,287
1764.00,288
1769.00,289
1775.00,290
1780.00,291
1785.00,292
1790.00,293
1795.00,294
1801.00,295
1806.00,296
1811.00,297
1816.00,298
1821.00,299
1827.00,300
1832.00,301
1837.00,302
1842.00,303
1847.00,304
1852.00,305
1858.00,306
1863.00,307
1868.00,308
1873.00,309
1878.00,310
1884.00,311
1889.00,312
1894.00,313
1899.00,314
1904.00,315
1909.00,316
1915.00,317
1920.00,318
1925.00,319
1930.00,320
1935.00,321
1941.00,322
1946.00,323
1951.00,324
1956.00,325
1961.00,326
1966.00,327
1972.00,328
1977.00,329
1982.00,330
1987.00,331
1992.00,332
1998.00,333
2003.00,334
2008.00,335
2013.00,336
2018.00,337
2023.00,338
2029.00,339
2034.00,340
2039.00,341
2044.00,342
2049.00,343
2054.00,344
2060.00,345
2065.00,346
2070.00,347
2075.00,348
2080.00,349
2085.00,350
2091.00,351
2096.00,352
2101.00,353
2106.00,354
2111.00,355
2116.00,356
2122.00,357
2127.00,358
2132.00,359
2137.00,360
2142.00,361
2147.00,362
2152.00,363
2158.00,364
2163.00,365
2168.00,366
2173.00,367
2178.00,368
2183.00,369
2189.00,370
2194.00,371
2199.00,372
2204.00,373
2209.00,374
2214.00,375
2219.00,376
2225.00,377
2230.00,378
2235.00,379
2240.00,380
2245.00,381
2250.00,382
2256.00,383
2261.00,384
2266.00,385
2271.00,386
2276.00,387
2281.00,388
2286.00,389
2292.00,390
2297.00,391
2302.00,392
2307.00,393
2312.00,394
2317.00,395
2322.00,396
2328.00,397
2333.00,398
2338.00,399
2343.00,400
2348.00,401
2353.00,402
2358.00,403
2364.00,404
2369.00,405
2374.00,406
2379.00,407
2384.00,408
2389.00,409
2394.00,410
2400.00,411
2405.00,412
2410.00,413
2415.00,414
2420.00,415
2425.00,416
2430.00,417
2435.00,418
2441.00,419
2446.00,420
2451.00,421
2456.00,422
2461.00,423
2466.00,424
2471.00,425
2476.00,426
2482.00,427
2487.00,428
2492.00,429
2497.00,430
2502.00,431
2507.00,432
2512.00,433
2517.00,434
2523.00,435
2528.00,436
2533.00,437
2538.00,438
2543.00,439
2548.00,440
2553.00,441
2558.00,442
2564.00,443
2569.00,444
2574.00,445
2579.00,446
2584.00,447
2589.00,448
2594.00,449
2599.00,450
2605.00,451
2610.00,452
2615.00,453
2620.00,454
2625.00,455
2630.00,456
2635.00,457
2640.00,458
2645.00,459
2651.00,460
2656.00,461
2661.00,462
2666.00,463
2671.00,464
2676.00,465
2681.00,466
2686.00,467
2691.00,468
2697.00,469
2702.00,470
2707.00,471
2712.00,472
2717.00,473
2722.00,474
2727.00,475
2732.00,476
2737.00,477
2743.00,478
2748.00,479
2753.00,480
2758.00,481
2763.00,482
2768.00,483
2773.00,484
2778.00,485
2783.00,486
2788.00,487
2794.00,488
2799.00,489
2804.00,490
2809.00,491
2814.00,492
2819.00,493
2824.00,494
2829.00,495
2834.00,496
2839.00,497
2844.00,498
2850.00,499
2855.00,500
2860.00,501
2865.00,502
2870.00,503
2875.00,504
2880.00,505
2885.00,506
2890.00,507
2895.00,508
2901.00,509
2906.00,510
2911.00,511
2916.00,512
2921.00,513
2926.00,514
2931.00,515
2936.00,516
2941.00,517
2946.00,518
2951.00,519
2956.00,520
2962.00,521
2967.00,522
2972.00,523
2977.00,524
2982.00,525
2987.00,526
2992.00,527
2997.00,528
3002.00,529
3007.00,530
3012.00,531
3017.00,532
3023.00,533
3028.00,534
3033.00,535
3038.00,536
3043.00,537
3048.00,538
3053.00,539
3058.00,540
3063.00,541
3068.00,542
3073.00,543
3078.00,544
3083.00,545
3088.00,546
3094.00,547
3099.00,548
3104.00,549
3109.00,550
3114.00,551
3119.00,552
3124.00,553
3129.00,554
3134.00,555
3139.00,556
3144.00,557
3149.00,558
3154.00,559
3159.00,560
3165.00,561
3170.00,562
3175.00,563
3180.00,564
3185.00,565
3190.00,566
3195.00,567
3200.00,568
3205.00,569
3210.00,570
3215.00,571
3220.00,572
3225.00,573
3230.00,574
3235.00,575
3240.00,576
3246.00,577
3251.00,578
3256.00,579
3261.00,580
3266.00,581
3271.00,582
3276.00,583
3281.00,584
3286.00,585
3291.00,586
3296.00,587
3301.00,588
3306.00,589
3311.00,590
3316.00,591
3321.00,592
3326.00,593
3331.00,594
3337.00,595
3342.00,596
3347.00,597
3352.00,598
3357.00,599
3362.00,600
3367.00,601
3372.00,602
3377.00,603
3382.00,604
3387.00,605
3392.00,606
3397.00,607
3402.00,608
3407.00,609
3412.00,610
3417.00,611
3422.00,612
3427.00,613
3432.00,614
3437.00,615
3442.00,616
3447.00,617
3453.00,618
3458.00,619
3463.00,620
3468.00,621
3473.00,622
3478.00,623
3483.00,624
3488.00,625
3493.00,626
3498.00,627
3503.00,628
3508.00,629
3513.00,630
3518.00,631
3523.00,632
3528.00,633
3533.00,634
3538.00,635
3543.00,636
3548.00,637
3553.00,638
3558.00,639
3563.00,640
3568.00,641
3573.00,642
3578.00,643
3583.00,644
3588.00,645
3593.00,646
3598.00,647
3604.00,648
3609.00,649
3614.00,650
3619.00,651
3624.00,652
3629.00,653
3634.00,654
3639.00,655
3644.00,656
3649.00,657
3654.00,658
3659.00,659
3664.00,660
3669.00,661
3674.00,662
3679.00,663
3684.00,664
3689.00,665
3694.00,666
3699.00,667
3704.00,668
3709.00,669
3714.00,670
3719.00,671
3724.00,672
3729.00,673
3734.00,674
3739.00,675
3744.00,676
3749.00,677
3754.00,678
3759.00,679
3764.00,680
3769.00,681
3774.00,682
3779.00,683
3784.00,684
3789.00,685
3794.00,686
3799.00,687
3804.00,688
3809.00,689
3814.00,690
3819.00,691
3824.00,692
3829.00,693
3834.00,694
3839.00,695
3844.00,696
3849.00,697
3854.00,698
3859.00,699
3864.00,700
3869.00,701
3874.00,702
3879.00,703
3884.00,704
3889.00,705
3894.00,706
3899.00,707
3904.00,708
3909.00,709
3914.00,710
3919.00,711
3924.00,712
3929.00,713
3934.00,714
3939.00,715
3944.00,716
3949.00,717
3954.00,718
3959.00,719
3964.00,720
3969.00,721
3974.00,722
3979.00,723
3984.00,724
3989.00,725
3994.00,726
3999.00,727
4004.00,728
4009.00,729
4014.00,730
4019.00,731
4024.00,732
4029.00,733
4034.00,734
4039.00,735
4044.00,736
4049.00,737
4054.00,738
4059.00,739
4064.00,740
4069.00,741
4074.00,742
4079.00,743
4084.00,744
4089.00,745
4094.00,746
4099.00,747
4104.00,748
4109.00,749
4114.00,750
4119.00,751
4124.00,752
4129.00,753
4134.00,754
4139.00,755
4144.00,756
4149.00,757
4154.00,758
4159.00,759
4164.00,760
4169.00,761
4174.00,762
4179.00,763
4184.00,764
4189.00,765
4194.00,766
4199.00,767
4204.00,768
4208.00,769
4213.00,770
4218.00,771
