performance,points
220.21,1400
220.28,1399
220.35,1398
220.42,1397
220.49,1396
220.56,1395
220.63,1394
220.70,1393
220.77,1392
220.84,1391
220.91,1390
220.98,1389
221.05,1388
221.12,1387
221.19,1386
221.26,1385
221.33,1384
221.40,1383
221.47,1382
221.54,1381
221.61,1380
221.68,1379
221.75,1378
221.82,1377
221.89,1376
221.96,1375
222.03,1374
222.10,1373
222.17,1372
222.24,1371
222.31,1370
222.38,1369
222.45,1368
222.52,1367
222.59,1366
222.66,1365
222.73,1364
222.80,1363
222.87,1362
222.94,1361
223.01,1360
223.09,1359
223.16,1358
223.23,1357
223.30,1356
223.37,1355
223.44,1354
223.51,1353
223.58,1352
223.65,1351
223.72,1350
223.79,1349
223.86,1348
223.93,1347
224.01,1346
224.08,1345
224.15,1344
224.22,1343
224.29,1342
224.36,1341
224.43,1340
224.50,1339
224.57,1338
224.65,1337
224.72,1336
224.79,1335
224.86,1334
224.93,1333
225.00,1332
225.07,1331
225.14,1330
225.22,1329
225.29,1328
225.36,1327
225.43,1326
225.50,1325
225.57,1324
225.64,1323
225.72,1322
225.79,1321
225.86,1320
225.93,1319
226.00,1318
226.07,1317
226.15,1316
226.22,1315
226.29,1314
226.36,1313
226.43,1312
226.51,1311
226.58,1310
226.65,1309
226.72,1308
226.79,1307
226.86,1306
226.94,1305
227.01,1304
227.08,1303
227.15,1302
227.23,1301
227.30,1300
227.37,1299
227.44,1298
227.51,1297
227.59,1296
227.66,1295
227.73,1294
227.80,1293
227.88,1292
227.95,1291
228.02,1290
228.09,1289
228.17,1288
228.24,1287
228.31,1286
228.38,1285
228.46,1284
228.53,1283
228.60,1282
228.67,1281
228.75,1280
228.82,1279
228.89,1278
228.97,1277
229.04,1276
229.11,1275
229.18,1274
229.26,1273
229.33,1272
229.40,1271
229.48,1270
229.55,1269
229.62,1268
229.70,1267
229.77,1266
229.84,1265
229.91,1264
229.99,1263
230.06,1262
230.13,1261
230.21,1260
230.28,1259
230.35,1258
230.43,1257
230.50,1256
230.57,1255
230.65,1254
230.72,1253
230.80,1252
230.87,1251
230.94,1250
231.02,1249
231.09,1248
231.16,1247
231.24,1246
231.31,1245
231.38,1244
231.46,1243
231.53,1242
231.61,1241
231.68,1240
231.75,1239
231.83,1238
231.90,1237
231.98,1236
232.05,1235
232.12,1234
232.20,1233
232.27,1232
232.35,1231
232.42,1230
232.50,1229
232.57,1228
232.64,1227
232.72,1226
232.79,1225
232.87,1224
232.94,1223
233.02,1222
233.09,1221
233.16,1220
233.24,1219
233.31,1218
233.39,1217
233.46,1216
233.54,1215
233.61,1214
233.69,1213
233.76,1212
233.84,1211
233.91,1210
233.99,1209
234.06,1208
234.14,1207
234.21,1206
234.29,1205
234.36,1204
234.44,1203
234.51,1202
234.59,1201
234.66,1200
234.74,1199
234.81,1198
234.89,1197
234.96,1196
235.04,1195
235.11,1194
235.19,1193
235.26,1192
235.34,1191
235.41,1190
235.49,1189
235.57,1188
235.64,1187
235.72,1186
235.79,1185
235.87,1184
235.94,1183
236.02,1182
236.09,1181
236.17,1180
236.25,1179
236.32,1178
236.40,1177
236.47,1176
236.55,1175
236.63,1174
236.70,1173
236.78,1172
236.85,1171
236.93,1170
237.01,1169
237.08,1168
237.16,1167
237.23,1166
237.31,1165
237.39,1164
237.46,1163
237.54,1162
237.62,1161
237.69,1160
237.77,1159
237.85,1158
237.92,1157
238.00,1156
238.07,1155
238.15,1154
238.23,1153
238.30,1152
238.38,1151
238.46,1150
238.53,1149
238.61,1148
238.69,1147
238.77,1146
238.84,1145
238.92,1144
239.00,1143
239.07,1142
239.15,1141
239.23,1140
239.30,1139
239.38,1138
239.46,1137
239.54,1136
239.61,1135
239.69,1134
239.77,1133
239.85,1132
239.92,1131
240.00,1130
240.08,1129
240.15,1128
240.23,1127
240.31,1126
240.39,1125
240.47,1124
240.54,1123
240.62,1122
240.70,1121
240.78,1120
240.85,1119
240.93,1118
241.01,1117
241.09,1116
241.17,1115
241.24,1114
241.32,1113
241.40,1112
241.48,1111
241.56,1110
241.63,1109
241.71,1108
241.79,1107
241.87,1106
241.95,1105
242.02,1104
242.10,1103
242.18,1102
242.26,1101
242.34,1100
242.42,1099
242.50,1098
242.57,1097
242.65,1096
242.73,1095
242.81,1094
242.89,1093
242.97,1092
243.05,1091
243.13,1090
243.20,1089
243.28,1088
243.36,1087
243.44,1086
243.52,1085
243.60,1084
243.68,1083
243.76,1082
243.84,1081
243.92,1080
243.99,1079
244.07,1078
244.15,1077
244.23,1076
244.31,1075
244.39,1074
244.47,1073
244.55,1072
244.63,1071
244.71,1070
244.79,1069
244.87,1068
244.95,1067
245.03,1066
245.11,1065
245.19,1064
245.27,1063
245.35,1062
245.43,1061
245.51,1060
245.59,1059
245.67,1058
245.75,1057
245.83,1056
245.91,1055
245.99,1054
246.07,1053
246.15,1052
246.23,1051
246.31,1050
246.39,1049
246.47,1048
246.55,1047
246.63,1046
246.71,1045
246.79,1044
246.87,1043
246.95,1042
247.03,1041
247.11,1040
247.19,1039
247.27,1038
247.36,1037
247.44,1036
247.52,1035
247.60,1034
247.68,1033
247.76,1032
247.84,1031
247.92,1030
248.00,1029
248.08,1028
248.17,1027
248.25,1026
248.33,1025
248.41,1024
248.49,1023
248.57,1022
248.65,1021
248.74,1020
248.82,1019
248.90,1018
248.98,1017
249.06,1016
249.14,1015
249.23,1014
249.31,1013
249.39,1012
249.47,1011
249.55,1010
249.63,1009
249.72,1008
249.80,1007
249.88,1006
249.96,1005
250.04,1004
250.13,1003
250.21,1002
250.29,1001
250.37,1000
250.46,999
250.54,998
250.62,997
250.70,996
250.79,995
250.87,994
250.95,993
251.03,992
251.12,991
251.20,990
251.28,989
251.36,988
251.45,987
251.53,986
251.61,985
251.70,984
251.78,983
251.86,982
251.94,981
252.03,980
252.11,979
252.19,978
252.28,977
252.36,976
252.44,975
252.53,974
252.61,973
252.69,972
252.78,971
252.86,970
252.95,969
253.03,968
253.11,967
253.20,966
253.28,965
253.36,964
253.45,963
253.53,962
253.62,961
253.70,960
253.78,959
253.87,958
253.95,957
254.04,956
254.12,955
254.20,954
254.29,953
254.37,952
254.46,951
254.54,950
254.63,949
254.71,948
254.80,947
254.88,946
254.96,945
255.05,944
255.13,943
255.22,942
255.30,941
255.39,940
255.47,939
255.56,938
255.64,937
255.73,936
255.81,935
255.90,934
255.98,933
256.07,932
256.15,931
256.24,930
256.33,929
256.41,928
256.50,927
256.58,926
256.67,925
256.75,924
256.84,923
256.92,922
257.01,921
257.10,920
257.18,919
257.27,918
257.35,917
257.44,916
257.53,915
257.61,914
257.70,913
257.78,912
257.87,911
257.96,910
258.04,909
258.13,908
258.22,907
258.30,906
258.39,905
258.47,904
258.56,903
258.65,902
258.73,901
258.82,900
258.91,899
258.99,898
259.08,897
259.17,896
259.26,895
259.34,894
259.43,893
259.52,892
259.60,891
259.69,890
259.78,889
259.87,888
259.95,887
260.04,886
260.13,885
260.22,884
260.30,883
260.39,882
260.48,881
260.57,880
260.65,879
260.74,878
260.83,877
260.92,876
261.01,875
261.09,874
261.18,873
261.27,872
261.36,871
261.45,870
261.53,869
261.62,868
261.71,867
261.80,866
261.89,865
261.98,864
262.07,863
262.15,862
262.24,861
262.33,860
262.42,859
262.51,858
262.60,857
262.69,856
262.78,855
262.86,854
262.95,853
263.04,852
263.13,851
263.22,850
263.31,849
263.40,848
263.49,847
263.58,846
263.67,845
263.76,844
263.85,843
263.94,842
264.03,841
264.12,840
264.21,839
264.30,838
264.39,837
264.48,836
264.57,835
264.66,834
264.75,833
264.84,832
264.93,831
265.02,830
265.11,829
265.20,828
265.29,827
265.38,826
265.47,825
265.56,824
265.65,823
265.74,822
265.83,821
265.92,820
266.01,819
266.11,818
266.20,817
266.29,816
266.38,815
266.47,814
266.56,813
266.65,812
266.74,811
266.84,810
266.93,809
267.02,808
267.11,807
267.20,806
267.29,805
267.39,804
267.48,803
267.57,802
267.66,801
267.75,800
267.85,799
267.94,798
268.03,797
268.12,796
268.21,795
268.31,794
268.40,793
268.49,792
268.58,791
268.68,790
268.77,789
268.86,788
268.95,787
269.05,786
269.14,785
269.23,784
269.33,783
269.42,782
269.51,781
269.61,780
269.70,779
269.79,778
269.89,777
269.98,776
270.07,775
270.17,774
270.26,773
270.35,772
270.45,771
270.54,770
270.63,769
270.73,768
270.82,767
270.92,766
271.01,765
271.10,764
271.20,763
271.29,762
271.39,761
271.48,760
271.58,759
271.67,758
271.76,757
271.86,756
271.95,755
272.05,754
272.14,753
272.24,752
272.33,751
272.43,750
272.52,749
272.62,748
272.71,747
272.81,746
272.90,745
273.00,744
273.10,743
273.19,742
273.29,741
273.38,740
273.48,739
273.57,738
273.67,737
273.77,736
273.86,735
273.96,734
274.05,733
274.15,732
274.25,731
274.34,730
274.44,729
274.54,728
274.63,727
274.73,726
274.82,725
274.92,724
275.02,723
275.12,722
275.21,721
275.31,720
275.41,719
275.50,718
275.60,717
275.70,716
275.79,715
275.89,714
275.99,713
276.09,712
276.18,711
276.28,710
276.38,709
276.48,708
276.58,707
276.67,706
276.77,705
276.87,704
276.97,703
277.07,702
277.16,701
277.26,700
277.36,699
277.46,698
277.56,697
277.66,696
277.76,695
277.85,694
277.95,693
278.05,692
278.15,691
278.25,690
278.35,689
278.45,688
278.55,687
278.65,686
278.75,685
278.85,684
278.95,683
279.05,682
279.14,681
279.24,680
279.34,679
279.44,678
279.54,677
279.64,676
279.74,675
279.84,674
279.95,673
