performance,points
5.52,1
5.53,2
5.54,3
5.55,4
5.56,5
5.57,6
5.58,7
5.59,8
5.60,9
5.61,10
5.62,11
5.63,12
5.64,13
5.65,14
5.66,15
5.67,16
5.68,17
5.70,18
5.71,19
5.72,20
5.73,21
5.74,22
5.75,23
5.76,24
5.77,25
5.78,26
5.79,27
5.80,28
5.81,29
5.82,30
5.83,31
5.84,32
5.85,33
5.86,34
5.87,35
5.88,36
5.89,37
5.90,38
5.91,39
5.92,40
5.93,41
5.94,42
5.95,43
5.96,44
5.98,45
5.99,46
6.00,47
6.01,48
6.02,49
6.03,50
6.04,51
6.05,52
6.06,53
6.07,54
6.08,55
6.09,56
6.10,57
6.11,58
6.12,59
6.13,60
6.14,61
6.15,62
6.16,63
6.17,64
6.18,65
6.19,66
6.20,67
6.21,68
6.22,69
6.23,70
6.24,71
6.25,72
6.27,73
6.28,74
6.29,75
6.30,76
6.31,77
6.32,78
6.33,79
6.34,80
6.35,81
6.36,82
6.37,83
6.38,84
6.39,85
6.40,86
6.41,87
6.42,88
6.43,89
6.44,90
6.45,91
6.46,92
6.47,93
6.48,94
6.49,95
6.50,96
6.51,97
6.52,98
6.53,99
6.54,100
6.55,101
6.56,102
6.57,103
6.59,104
6.60,105
6.61,106
6.62,107
6.63,108
6.64,109
6.65,110
6.66,111
6.67,112
6.68,113
6.69,114
6.70,115
6.71,116
6.72,117
6.73,118
6.74,119
6.75,120
6.76,121
6.77,122
6.78,123
6.79,124
6.80,125
6.81,126
6.82,127
6.83,128
6.84,129
6.85,130
6.86,131
6.87,132
6.88,133
6.89,134
6.90,135
6.91,136
6.92,137
6.94,138
6.95,139
6.96,140
6.97,141
6.98,142
6.99,143
7.00,144
7.01,145
7.02,146
7.03,147
7.04,148
7.05,149
7.06,150
7.07,151
7.08,152
7.09,153
7.10,154
7.11,155
7.12,156
7.13,157
7.14,158
7.15,159
7.16,160
7.17,161
7.18,162
7.19,163
7.20,164
7.21,165
7.22,166
7.23,167
7.24,168
7.25,169
7.26,170
7.27,171
7.28,172
7.29,173
7.30,174
7.31,175
7.32,176
7.33,177
7.35,178
7.36,179
7.37,180
7.38,181
7.39,182
7.40,183
7.41,184
7.42,185
7.43,186
7.44,187
7.45,188
7.46,189
7.47,190
7.48,191
7.49,192
7.50,193
7.51,194
7.52,195
7.53,196
7.54,197
7.55,198
7.56,199
7.57,200
7.58,201
7.59,202
7.60,203
7.61,204
7.62,205
7.63,206
7.64,207
7.65,208
7.66,209
7.67,210
7.68,211
7.69,212
7.70,213
7.71,214
7.72,215
7.73,216
7.74,217
7.75,218
7.76,219
7.77,220
7.78,221
7.79,222
7.80,223
7.81,224
7.82,225
7.84,226
7.85,227
7.86,228
7.87,229
7.88,230
7.89,231
7.90,232
7.91,233
7.92,234
7.93,235
7.94,236
7.95,237
7.96,238
7.97,239
7.98,240
7.99,241
8.00,242
8.01,243
8.02,244
8.03,245
8.04,246
8.05,247
8.06,248
8.07,249
8.08,250
8.09,251
8.10,252
8.11,253
8.12,254
8.13,255
8.14,256
8.15,257
8.16,258
8.17,259
8.18,260
8.19,261
8.20,262
8.21,263
8.22,264
8.23,265
8.24,266
8.25,267
8.26,268
8.27,269
8.28,270
8.29,271
8.30,272
8.31,273
8.32,274
8.33,275
8.34,276
8.35,277
8.36,278
8.37,279
8.38,280
8.39,281
8.40,282
8.41,283
8.42,284
8.43,285
8.44,286
8.45,287
8.46,288
8.47,289
8.49,290
8.50,291
8.51,292
8.52,293
8.53,294
8.54,295
8.55,296
8.56,297
8.57,298
8.58,299
8.59,300
8.60,301
8.61,302
8.62,303
8.63,304
8.64,305
8.65,306
8.66,307
8.67,308
8.68,309
8.69,310
8.70,311
8.71,312
8.72,313
8.73,314
8.74,315
8.75,316
8.76,317
8.77,318
8.78,319
8.79,320
8.80,321
8.81,322
8.82,323
8.83,324
8.84,325
8.85,326
8.86,327
8.87,328
8.88,329
8.89,330
8.90,331
8.91,332
8.92,333
8.93,334
8.94,335
8.95,336
8.96,337
8.97,338
8.98,339
8.99,340
9.00,341
9.01,342
9.02,343
9.03,344
9.04,345
9.05,346
9.06,347
9.07,348
9.08,349
9.09,350
9.10,351
9.11,352
9.12,353
9.13,354
9.14,355
9.15,356
9.16,357
9.17,358
9.18,359
9.19,360
9.20,361
9.21,362
9.22,363
9.23,364
9.24,365
9.25,366
9.26,367
9.27,368
9.28,369
9.29,370
9.30,371
9.31,372
9.32,373
9.33,374
9.34,375
9.35,376
9.36,377
9.37,378
9.38,379
9.39,380
9.40,381
9.41,382
9.42,383
9.43,384
9.44,385
9.45,386
9.46,387
9.47,388
9.48,389
9.49,390
9.50,391
9.51,392
9.52,393
9.53,394
9.54,395
9.55,396
9.56,397
9.57,398
9.58,399
9.59,400
9.60,401
9.61,402
9.62,403
9.63,404
9.64,405
9.65,406
9.66,407
9.67,408
9.68,409
9.69,410
9.70,411
9.71,412
9.72,413
9.73,414
