performance,points
127.80,1200
127.90,1198
128.00,1196
128.10,1194
128.20,1192
128.30,1190
128.40,1188
128.50,1186
128.60,1184
128.70,1183
128.80,1181
128.90,1179
129.00,1177
129.10,1175
129.20,1173
129.30,1171
129.40,1169
129.50,1167
129.60,1165
129.70,1163
129.80,1162
129.90,1160
130.00,1158
130.10,1156
130.20,1154
130.30,1152
130.40,1150
130.50,1148
130.60,1146
130.70,1145
130.80,1143
130.90,1141
131.00,1139
131.10,1137
131.20,1135
131.30,1134
131.40,1132
131.50,1130
131.60,1128
131.70,1126
131.80,1124
131.90,1123
132.00,1121
132.10,1119
132.20,1117
132.30,1115
132.40,1114
132.50,1112
132.60,1110
132.70,1108
132.80,1106
132.90,1104
133.00,1103
133.10,1101
133.20,1099
133.30,1097
133.40,1096
133.50,1094
133.60,1092
133.70,1090
133.80,1088
133.90,1087
134.00,1085
134.10,1083
134.20,1081
134.30,1080
134.40,1078
134.50,1076
134.60,1074
134.70,1073
134.80,1071
134.90,1069
135.00,1067
135.10,1066
135.20,1064
135.30,1062
135.40,1060
135.50,1059
135.60,1057
135.70,1055
135.80,1053
135.90,1052
136.00,1050
136.10,1048
136.20,1046
136.30,1045
136.40,1043
136.50,1041
136.60,1040
136.70,1038
136.80,1036
136.90,1035
137.00,1033
137.10,1031
137.20,1030
137.30,1028
137.40,1026
137.50,1024
137.60,1023
137.70,1021
137.80,1019
137.90,1018
138.00,1016
138.10,1014
138.20,1013
138.30,1011
138.40,1009
138.50,1008
138.60,1006
138.70,1004
138.80,1003
138.90,1001
139.00,999
139.10,998
139.20,996
139.30,995
139.40,993
139.50,991
139.60,990
139.70,988
139.80,986
139.90,985
140.00,983
140.10,982
140.20,980
140.30,978
140.40,977
140.50,975
140.60,973
140.70,972
140.80,970
140.90,969
141.00,967
141.10,965
141.20,964
141.30,962
141.40,961
141.50,959
141.60,957
141.70,956
141.80,954
141.90,953
142.00,951
142.10,950
142.20,948
142.30,946
142.40,945
142.50,943
142.60,942
142.70,940
142.80,939
142.90,937
143.00,936
143.10,934
143.20,932
143.30,931
143.40,929
143.50,928
143.60,926
143.70,925
143.80,923
143.90,922
144.00,920
144.10,919
144.20,917
144.30,916
144.40,914
144.50,912
144.60,911
144.70,909
144.80,908
144.90,906
145.00,905
145.10,903
145.20,902
145.30,900
145.40,899
145.50,897
145.60,896
145.70,894
145.80,893
