performance,points
220.40,1200
220.50,1199
220.60,1198
220.70,1197
220.80,1196
220.90,1195
221.00,1194
221.10,1193
221.20,1191
221.30,1190
221.40,1189
221.50,1188
221.60,1187
221.70,1186
221.80,1185
221.90,1184
222.00,1182
222.10,1181
222.20,1180
222.30,1179
222.40,1178
222.50,1177
222.60,1176
222.70,1175
222.80,1174
222.90,1172
223.00,1171
223.10,1170
223.20,1169
223.30,1168
223.40,1167
223.50,1166
223.60,1165
223.70,1164
223.80,1162
223.90,1161
224.00,1160
224.10,1159
224.20,1158
224.30,1157
224.40,1156
224.50,1155
224.60,1154
224.70,1152
224.80,1151
224.90,1150
225.00,1149
225.10,1148
225.20,1147
225.30,1146
225.40,1145
225.50,1144
225.60,1143
225.70,1142
225.80,1140
225.90,1139
226.00,1138
226.10,1137
226.20,1136
226.30,1135
226.40,1134
226.50,1133
226.60,1132
226.70,1131
226.80,1130
226.90,1129
227.00,1128
227.10,1127
227.20,1125
227.30,1124
227.40,1123
227.50,1122
227.60,1121
227.70,1120
227.80,1119
227.90,1118
228.00,1117
228.10,1116
228.20,1115
228.30,1114
228.40,1113
228.50,1112
228.60,1111
228.70,1110
228.80,1109
228.90,1107
229.00,1106
229.10,1105
229.20,1104
229.30,1103
229.40,1102
229.50,1101
229.60,1100
229.70,1099
229.80,1098
229.90,1097
230.00,1096
230.10,1095
230.20,1094
230.30,1093
230.40,1092
230.50,1091
230.60,1090
230.70,1089
230.80,1088
230.90,1087
231.00,1086
231.10,1085
231.20,1083
231.30,1082
231.40,1081
231.50,1080
231.60,1079
231.70,1078
231.80,1077
231.90,1076
232.00,1075
232.10,1074
232.20,1073
232.30,1072
232.40,1071
232.50,1070
232.60,1069
232.70,1068
232.80,1067
232.90,1066
233.00,1065
233.10,1064
233.20,1063
233.30,1062
233.40,1061
233.50,1060
233.60,1059
233.70,1058
233.80,1057
233.90,1056
234.00,1055
234.10,1054
234.20,1053
234.30,1052
234.40,1051
234.50,1050
234.60,1049
234.70,1048
234.80,1047
234.90,1046
235.00,1045
235.10,1044
235.20,1043
235.30,1042
235.40,1041
235.50,1040
235.60,1039
235.70,1038
235.80,1037
235.90,1036
236.00,1035
236.10,1034
236.20,1033
236.30,1032
236.40,1031
236.50,1030
236.60,1029
236.70,1028
236.80,1027
236.90,1026
237.00,1025
237.10,1024
237.20,1023
237.30,1022
237.40,1021
237.50,1020
237.60,1019
237.70,1018
237.80,1017
237.90,1016
238.00,1015
238.10,1014
238.20,1013
238.30,1012
238.40,1011
238.50,1010
238.60,1009
238.70,1008
238.80,1007
238.90,1006
239.00,1005
239.10,1004
239.20,1003
239.30,1002
239.40,1001
239.50,1000
239.60,999
239.70,998
239.80,997
239.90,996
240.00,995
240.10,994
240.20,993
240.30,992
240.40,991
240.50,990
240.60,989
240.70,988
240.80,987
240.90,986
241.00,985
241.10,984
241.30,983
241.40,982
241.50,981
241.60,980
241.70,979
241.80,978
241.90,977
242.00,976
242.10,975
242.20,974
242.30,973
242.40,972
242.50,971
242.60,970
242.70,969
242.80,968
243.00,967
243.10,966
243.20,965
243.30,964
243.40,963
243.50,962
243.60,961
243.70,960
243.80,959
243.90,958
244.00,957
244.10,956
244.20,955
244.30,954
244.50,953
244.60,952
244.70,951
244.80,950
244.90,949
245.00,948
245.10,947
245.20,946
245.30,945
245.40,944
245.50,943
245.70,942
245.80,941
245.90,940
246.00,939
246.10,938
246.20,937
246.30,936
246.40,935
246.50,934
246.60,933
246.80,932
246.90,931
247.00,930
247.10,929
247.20,928
247.30,927
247.40,926
247.50,925
247.60,924
247.70,923
247.90,922
248.00,921
248.10,920
248.20,919
248.30,918
248.40,917
248.50,916
248.60,915
248.80,914
248.90,913
249.00,912
249.10,911
249.20,910
249.30,909
249.40,908
249.50,907
249.70,906
249.80,905
249.90,904
250.00,903
250.10,902
250.20,901
250.30,900
250.40,899
250.60,898
250.70,897
250.80,896
250.90,895
251.00,894
251.10,893
251.20,892
251.40,891
251.50,890
251.60,889
251.70,888
251.80,887
251.90,886
252.00,885
252.20,884
252.30,883
252.40,882
252.50,881
252.60,880
252.70,879
252.90,878
253.00,877
253.10,876
253.20,875
253.30,874
253.40,873
253.50,872
253.70,871
253.80,870
253.90,869
254.00,868
254.10,867
254.20,866
254.40,865
254.50,864
254.60,863
254.70,862
254.80,861
254.90,860
255.10,859
255.20,858
255.30,857
255.40,856
255.50,855
255.70,854
255.80,853
255.90,852
256.00,851
256.10,850
256.30,849
256.40,848
256.50,847
256.60,846
256.70,845
256.90,844
257.00,843
257.10,842
257.20,841
257.30,840
257.50,839
257.60,838
257.70,837
257.80,836
257.90,835
258.10,834
258.20,833
258.30,832
258.40,831
258.50,830
258.70,829
258.80,828
258.90,827
259.00,826
259.20,825
259.30,824
259.40,823
259.50,822
259.60,821
259.80,820
259.90,819
260.00,818
260.10,817
260.20,816
260.40,815
260.50,814
260.60,813
260.70,812
260.90,811
261.00,810
261.10,809
261.20,808
261.40,807
261.50,806
261.60,805
261.70,804
261.80,803
262.00,802
262.10,801
262.20,800
262.30,799
262.50,798
262.60,797
262.70,796
262.90,795
263.00,794
263.10,793
263.20,792
263.40,791
263.50,790
263.60,789
263.70,788
263.90,787
264.00,786
264.10,785
264.20,784
264.40,783
264.50,782
264.60,781
264.70,780
264.90,779
265.00,778
265.10,777
265.30,776
265.40,775
265.50,774
265.60,773
265.80,772
265.90,771
266.00,770
266.10,769
266.30,768
266.40,767
266.50,766
266.70,765
266.80,764
266.90,763
267.10,762
267.20,761
267.30,760
267.40,759
267.60,758
267.70,757
267.80,756
268.00,755
268.10,754
268.20,753
268.40,752
268.50,751
268.60,750
268.70,749
268.90,748
269.00,747
269.10,746
269.30,745
269.40,744
269.50,743
269.70,742
269.80,741
269.90,740
270.10,739
270.20,738
270.30,737
270.50,736
270.60,735
270.70,734
270.90,733
271.00,732
271.10,731
271.30,730
271.40,729
271.50,728
271.70,727
271.80,726
271.90,725
272.10,724
272.20,723
272.30,722
272.50,721
272.60,720
272.70,719
272.90,718
273.00,717
273.10,716
273.30,715
273.40,714
273.50,713
273.70,712
273.80,711
273.90,710
274.10,709
274.20,708
274.30,707
274.50,706
274.60,705
274.80,704
274.90,703
275.00,702
275.20,701
275.30,700
275.40,699
275.60,698
275.70,697
275.90,696
276.00,695
276.10,694
276.30,693
276.40,692
276.60,691
276.70,690
276.80,689
277.00,688
277.10,687
277.20,686
277.40,685
277.50,684
277.70,683
277.80,682
277.90,681
278.10,680
278.20,679
278.40,678
278.50,677
278.60,676
278.80,675
278.90,674
279.10,673
279.20,672
279.30,671
279.50,670
279.60,669
279.80,668
279.90,667
280.10,666
280.20,665
280.30,664
280.50,663
280.60,662
280.80,661
280.90,660
281.10,659
281.20,658
281.30,657
281.50,656
281.60,655
281.80,654
281.90,653
282.10,652
282.20,651
282.40,650
282.50,649
282.60,648
282.80,647
282.90,646
283.10,645
283.20,644
283.40,643
283.50,642
283.70,641
283.80,640
283.90,639
284.10,638
284.20,637
284.40,636
284.50,635
284.70,634
284.80,633
285.00,632
285.10,631
285.30,630
285.40,629
285.60,628
285.70,627
285.90,626
286.00,625
286.20,624
286.30,623
286.50,622
286.60,621
286.80,620
286.90,619
287.10,618
287.20,617
287.40,616
287.50,615
287.70,614
287.80,613
288.00,612
288.10,611
288.30,610
288.40,609
288.60,608
288.70,607
288.90,606
289.00,605
289.20,604
289.30,603
289.50,602
289.60,601
289.80,600
289.90,599
290.10,598
290.20,597
290.40,596
290.50,595
290.70,594
290.80,593
291.00,592
291.10,591
291.30,590
291.40,589
291.60,588
291.70,587
291.90,586
292.00,585
292.20,584
292.30,583
292.50,582
292.60,581
292.80,580
293.00,579
293.10,578
293.30,577
293.50,576
293.60,575
293.80,574
293.90,573
294.10,572
294.20,571
294.40,570
294.50,569
294.70,568
294.90,567
295.00,566
295.20,565
295.30,564
295.50,563
295.70,562
295.80,561
296.00,560
296.10,559
296.30,558
296.50,557
296.60,556
296.80,555
296.90,554
297.10,553
297.30,552
297.40,551
297.60,550
297.70,549
297.90,548
298.10,547
298.20,546
298.40,545
298.50,544
298.70,543
298.90,542
299.00,541
299.20,540
299.40,539
299.50,538
299.70,537
299.80,536
300.00,535
300.20,534
300.30,533
300.50,532
300.70,531
300.80,530
301.00,529
301.20,528
301.30,527
301.50,526
301.60,525
301.80,524
302.00,523
302.10,522
302.30,521
302.50,520
302.60,519
302.80,518
303.00,517
303.10,516
303.30,515
303.50,514
303.60,513
303.80,512
304.00,511
304.10,510
304.30,509
304.50,508
304.60,507
304.80,506
305.00,505
305.10,504
305.30,503
305.50,502
305.70,501
305.80,500
306.00,499
306.20,498
306.30,497
306.50,496
306.70,495
306.80,494
307.00,493
307.20,492
307.40,491
307.50,490
307.70,489
307.90,488
308.00,487
308.20,486
308.40,485
308.60,484
308.70,483
308.90,482
309.10,481
309.20,480
309.40,479
309.60,478
309.80,477
309.90,476
310.10,475
310.30,474
310.50,473
310.60,472
310.80,471
311.00,470
311.20,469
311.30,468
311.50,467
311.70,466
311.90,465
312.00,464
312.20,463
312.40,462
312.60,461
312.80,460
312.90,459
313.10,458
313.30,457
313.50,456
313.60,455
313.80,454
314.00,453
314.20,452
314.40,451
314.50,450
314.70,449
314.90,448
315.10,447
315.30,446
315.40,445
315.60,444
315.80,443
316.00,442
316.20,441
316.30,440
316.50,439
316.70,438
316.90,437
317.10,436
317.30,435
317.40,434
317.60,433
317.80,432
318.00,431
318.20,430
318.30,429
318.50,428
318.70,427
318.90,426
319.10,425
319.30,424
319.40,423
319.60,422
319.80,421
320.00,420
320.20,419
320.40,418
320.60,417
320.70,416
320.90,415
321.10,414
321.30,413
321.50,412
321.70,411
321.90,410
322.10,409
322.20,408
322.40,407
322.60,406
322.80,405
323.00,404
323.20,403
323.40,402
323.60,401
323.80,400
324.00,399
324.10,398
324.30,397
324.50,396
324.70,395
324.90,394
325.10,393
325.30,392
325.50,391
325.70,390
325.90,389
326.10,388
326.20,387
326.40,386
326.60,385
326.80,384
327.00,383
327.20,382
327.40,381
327.60,380
327.80,379
328.00,378
328.20,377
328.40,376
328.60,375
328.80,374
329.00,373
329.20,372
329.40,371
329.60,370
329.70,369
329.90,368
330.10,367
330.30,366
330.50,365
330.70,364
330.90,363
331.10,362
331.30,361
331.50,360
331.70,359
331.90,358
332.10,357
332.30,356
332.50,355
332.70,354
332.90,353
333.10,352
333.30,351
333.50,350
333.70,349
333.90,348
334.10,347
334.40,346
334.60,345
334.80,344
335.00,343
335.20,342
335.40,341
335.60,340
335.80,339
336.00,338
336.20,337
336.40,336
336.60,335
336.80,334
337.00,333
337.20,332
337.40,331
337.60,330
