points,TRACK_800,TRACK_1000,TRACK_1500,TRACK_1MILE,TRACK_2000,TRACK_3000,TRACK_2MILES,TRACK_5000,TRACK_10000,TRACK_3000SC
1,187.80,246.80,399.60,422.70,557.10,871.20,943.80,1558.20,3355.40,1038.60
2,187.70,246.60,399.30,422.40,557.00,870.40,943.00,1557.00,3352.40,1037.60
3,187.50,246.40,399.00,422.00,556.60,869.80,942.20,1555.60,3349.40,1036.60
4,187.40,246.20,398.70,421.70,556.00,869.00,941.40,1554.20,3346.20,1035.60
5,187.20,246.00,398.40,421.40,555.60,868.40,940.80,1552.80,3343.20,1034.60
6,187.10,245.80,398.00,421.10,555.20,867.60,940.00,1551.60,3340.20,1033.40
7,187.00,245.60,397.70,420.80,554.80,867.00,939.20,1550.20,3337.20,1032.40
8,186.80,245.40,397.40,420.40,554.20,866.20,938.40,1548.80,3334.00,1031.40
9,186.70,245.20,397.10,420.10,553.80,865.60,937.60,1547.40,3331.00,1030.40
10,186.50,245.00,396.70,419.80,553.40,865.00,936.80,1546.20,3328.00,1029.40
11,186.40,244.80,396.40,419.50,553.00,864.20,936.20,1544.80,3325.00,1028.40
12,186.20,244.60,396.10,419.20,552.60,863.40,935.40,1543.40,3322.00,1027.40
13,186.10,244.40,395.80,418.80,552.00,862.80,934.60,1542.20,3319.00,1026.40
14,186.00,244.20,395.50,418.50,551.60,862.20,933.80,1540.80,3316.00,1025.40
15,185.80,244.00,395.10,418.20,551.20,861.40,933.20,1539.60,3313.00,1024.40
16,185.70,243.80,394.80,417.90,550.80,860.80,932.40,1538.20,3310.00,1023.40
17,185.60,243.60,394.50,417.60,550.20,860.00,931.60,1536.80,3307.00,1022.40
18,185.40,243.50,394.20,417.30,549.80,859.40,930.80,1535.00,3304.00,1021.40
19,185.20,243.40,393.90,416.90,549.40,858.60,930.20,1534.20,3301.00,1020.40
20,185.10,243.20,393.60,416.60,549.00,858.00,929.40,1532.80,3298.00,1019.40
21,185.00,243.00,393.30,416.30,548.40,857.40,928.60,1531.60,3295.00,1018.40
22,184.80,242.80,393.00,416.00,548.00,856.60,927.80,1530.20,3292.20,1017.40
23,184.70,242.60,392.70,415.70,547.60,856.00,927.20,1529.00,3289.20,1016.40
24,184.60,242.40,392.30,415.40,547.20,855.20,926.40,1527.60,3286.20,1015.40
25,184.40,242.20,392.00,415.10,546.80,854.60,925.60,1526.40,3283.20,1014.40
26,184.30,242.00,391.70,414.70,546.40,854.00,925.00,1525.00,3280.40,1013.40
27,184.10,241.80,391.40,414.40,545.80,853.20,924.20,1523.80,3277.40,1012.60
28,184.00,241.60,391.10,414.10,545.40,852.60,923.40,1522.40,3274.40,1011.60
29,183.90,241.40,390.80,413.80,545.00,851.80,922.60,1521.20,3271.60,1010.60
30,183.70,241.20,390.40,413.50,544.60,851.20,922.00,1519.80,3268.60,1009.60
31,183.60,241.10,390.10,413.20,544.20,850.40,921.20,1518.60,3265.60,1008.60
