performance,points
481.31,1400
481.67,1399
482.04,1398
482.41,1397
482.78,1396
483.14,1395
483.51,1394
483.88,1393
484.25,1392
484.62,1391
484.99,1390
485.36,1389
485.72,1388
486.09,1387
486.46,1386
486.83,1385
487.20,1384
487.57,1383
487.94,1382
488.31,1381
488.68,1380
489.05,1379
489.42,1378
489.79,1377
490.16,1376
490.53,1375
490.90,1374
491.27,1373
491.64,1372
492.02,1371
492.39,1370
492.76,1369
493.13,1368
493.50,1367
493.87,1366
494.25,1365
494.62,1364
494.99,1363
495.36,1362
495.74,1361
496.11,1360
496.48,1359
496.85,1358
497.23,1357
497.60,1356
497.97,1355
498.35,1354
498.72,1353
499.09,1352
499.47,1351
499.84,1350
500.22,1349
500.59,1348
500.97,1347
501.34,1346
501.71,1345
502.09,1344
502.46,1343
502.84,1342
503.22,1341
503.59,1340
503.97,1339
504.34,1338
504.72,1337
505.09,1336
505.47,1335
505.85,1334
506.22,1333
506.60,1332
506.98,1331
507.35,1330
507.73,1329
508.11,1328
508.48,1327
508.86,1326
509.24,1325
509.62,1324
510.00,1323
510.37,1322
510.75,1321
511.13,1320
511.51,1319
511.89,1318
512.27,1317
512.64,1316
513.02,1315
513.40,1314
513.78,1313
514.16,1312
514.54,1311
514.92,1310
515.30,1309
515.68,1308
516.06,1307
516.44,1306
516.82,1305
517.20,1304
517.58,1303
517.96,1302
518.34,1301
518.73,1300
519.11,1299
519.49,1298
519.87,1297
520.25,1296
520.63,1295
521.02,1294
521.40,1293
521.78,1292
522.16,1291
522.55,1290
522.93,1289
523.31,1288
523.69,1287
524.08,1286
524.46,1285
524.84,1284
525.23,1283
525.61,1282
526.00,1281
526.38,1280
526.76,1279
527.15,1278
527.53,1277
527.92,1276
528.30,1275
528.69,1274
529.07,1273
529.46,1272
529.84,1271
530.23,1270
530.62,1269
531.00,1268
531.39,1267
531.77,1266
532.16,1265
532.55,1264
532.93,1263
533.32,1262
533.71,1261
534.09,1260
534.48,1259
534.87,1258
535.26,1257
535.65,1256
536.03,1255
536.42,1254
536.81,1253
537.20,1252
537.59,1251
537.98,1250
538.36,1249
538.75,1248
539.14,1247
539.53,1246
539.92,1245
540.31,1244
540.70,1243
541.09,1242
541.48,1241
541.87,1240
542.26,1239
542.65,1238
543.04,1237
