performance,points
610.00,1400
611.00,1398
612.00,1396
613.00,1394
614.00,1392
615.00,1389
616.00,1387
617.00,1385
618.00,1383
619.00,1380
620.00,1378
621.00,1376
622.00,1374
623.00,1372
624.00,1369
625.00,1367
626.00,1365
627.00,1363
628.00,1361
629.00,1358
630.00,1356
631.00,1354
632.00,1352
633.00,1350
634.00,1348
635.00,1345
636.00,1343
637.00,1341
638.00,1339
639.00,1337
640.00,1335
641.00,1332
642.00,1330
643.00,1328
644.00,1326
645.00,1324
646.00,1322
647.00,1319
648.00,1317
649.00,1315
650.00,1313
651.00,1311
652.00,1309
653.00,1306
654.00,1304
655.00,1302
656.00,1300
657.00,1298
658.00,1296
659.00,1294
660.00,1292
661.00,1289
662.00,1287
663.00,1285
664.00,1283
665.00,1281
666.00,1279
667.00,1277
668.00,1274
669.00,1272
670.00,1270
671.00,1268
672.00,1266
673.00,1264
674.00,1262
675.00,1260
676.00,1258
677.00,1255
678.00,1253
679.00,1251
680.00,1249
681.00,1247
682.00,1245
683.00,1243
684.00,1241
685.00,1239
686.00,1237
687.00,1235
688.00,1232
689.00,1230
690.00,1228
691.00,1226
692.00,1224
693.00,1222
694.00,1220
695.00,1218
696.00,1216
697.00,1214
698.00,1212
699.00,1210
700.00,1208
701.00,1206
702.00,1203
703.00,1201
704.00,1199
705.00,1197
706.00,1195
707.00,1193
708.00,1191
709.00,1189
710.00,1187
711.00,1185
712.00,1183
713.00,1181
714.00,1179
715.00,1177
716.00,1175
717.00,1173
718.00,1171
719.00,1169
720.00,1167
721.00,1165
722.00,1163
723.00,1161
724.00,1159
725.00,1157
726.00,1155
727.00,1152
728.00,1150
729.00,1148
730.00,1146
731.00,1144
732.00,1142
733.00,1140
734.00,1138
735.00,1136
736.00,1134
737.00,1132
738.00,1130
739.00,1128
740.00,1126
741.00,1124
742.00,1122
743.00,1120
744.00,1118
745.00,1116
746.00,1115
747.00,1113
748.00,1111
749.00,1109
750.00,1107
751.00,1105
752.00,1103
753.00,1101
754.00,1099
755.00,1097
756.00,1095
757.00,1093
758.00,1091
759.00,1089
760.00,1087
761.00,1085
762.00,1083
763.00,1081
764.00,1079
765.00,1077
766.00,1075
767.00,1073
768.00,1071
769.00,1069
770.00,1067
771.00,1066
772.00,1064
773.00,1062
774.00,1060
775.00,1058
776.00,1056
777.00,1054
778.00,1052
779.00,1050
780.00,1048
781.00,1046
782.00,1044
783.00,1042
784.00,1040
785.00,1039
786.00,1037
787.00,1035
788.00,1033
789.00,1031
790.00,1029
791.00,1027
792.00,1025
793.00,1023
794.00,1021
795.00,1020
796.00,1018
797.00,1016
798.00,1014
799.00,1012
800.00,1010
801.00,1008
802.00,1006
803.00,1004
804.00,1003
805.00,1001
806.00,999
807.00,997
808.00,995
809.00,993
810.00,991
811.00,989
812.00,988
813.00,986
814.00,984
815.00,982
816.00,980
817.00,978
818.00,976
819.00,975
820.00,973
821.00,971
822.00,969
823.00,967
824.00,965
825.00,963
826.00,962
827.00,960
828.00,958
829.00,956
830.00,954
831.00,952
832.00,951
833.00,949
834.00,947
835.00,945
836.00,943
837.00,941
838.00,940
839.00,938
840.00,936
841.00,934
842.00,932
843.00,931
844.00,929
845.00,927
846.00,925
847.00,923
848.00,921
849.00,920
850.00,918
