performance,points
48.07,1400
48.09,1399
48.12,1398
48.15,1397
48.18,1396
48.21,1395
48.24,1394
48.27,1393
48.30,1392
48.33,1391
48.36,1390
48.39,1389
48.42,1388
48.45,1387
48.48,1386
48.51,1385
48.53,1384
48.56,1383
48.59,1382
48.62,1381
48.65,1380
48.68,1379
48.71,1378
48.74,1377
48.77,1376
48.80,1375
48.83,1374
48.86,1373
48.89,1372
48.92,1371
48.95,1370
48.98,1369
49.01,1368
49.04,1367
49.07,1366
49.10,1365
49.13,1364
49.16,1363
49.18,1362
49.21,1361
49.24,1360
49.27,1359
49.30,1358
49.33,1357
49.36,1356
49.39,1355
49.42,1354
49.45,1353
49.48,1352
49.51,1351
49.54,1350
49.57,1349
49.60,1348
49.63,1347
49.66,1346
49.69,1345
49.72,1344
49.75,1343
49.78,1342
49.81,1341
49.84,1340
49.87,1339
49.90,1338
49.93,1337
49.96,1336
49.99,1335
50.02,1334
50.05,1333
50.08,1332
50.11,1331
50.14,1330
50.17,1329
50.20,1328
50.23,1327
50.26,1326
50.29,1325
50.32,1324
50.35,1323
50.38,1322
50.41,1321
50.44,1320
50.47,1319
50.50,1318
50.53,1317
50.56,1316
50.59,1315
50.62,1314
50.65,1313
50.68,1312
50.71,1311
50.74,1310
50.77,1309
50.80,1308
50.83,1307
50.86,1306
50.89,1305
50.92,1304
50.95,1303
50.98,1302
51.02,1301
51.05,1300
51.08,1299
51.11,1298
51.14,1297
51.17,1296
51.20,1295
51.23,1294
51.26,1293
51.29,1292
51.32,1291
51.35,1290
51.38,1289
51.41,1288
51.44,1287
51.47,1286
51.50,1285
51.53,1284
51.56,1283
51.59,1282
51.62,1281
51.66,1280
51.69,1279
51.72,1278
51.75,1277
51.78,1276
51.81,1275
51.84,1274
51.87,1273
51.90,1272
51.93,1271
51.96,1270
51.99,1269
52.02,1268
52.05,1267
52.08,1266
52.12,1265
52.15,1264
52.18,1263
52.21,1262
52.24,1261
52.27,1260
52.30,1259
52.33,1258
52.36,1257
52.39,1256
52.42,1255
52.45,1254
52.49,1253
52.52,1252
52.55,1251
52.58,1250
52.61,1249
52.64,1248
52.67,1247
52.70,1246
52.73,1245
52.76,1244
52.80,1243
52.83,1242
52.86,1241
52.89,1240
52.92,1239
52.95,1238
52.98,1237
53.01,1236
53.04,1235
53.08,1234
53.11,1233
53.14,1232
53.17,1231
53.20,1230
53.23,1229
53.26,1228
53.29,1227
53.33,1226
53.36,1225
53.39,1224
53.42,1223
53.45,1222
53.48,1221
53.51,1220
53.54,1219
53.58,1218
53.61,1217
53.64,1216
53.67,1215
53.70,1214
53.73,1213
53.76,1212
53.80,1211
53.83,1210
53.86,1209
53.89,1208
53.92,1207
53.95,1206
53.99,1205
54.02,1204
54.05,1203
54.08,1202
54.11,1201
54.14,1200
54.17,1199
54.21,1198
54.24,1197
54.27,1196
54.30,1195
54.33,1194
54.36,1193
54.40,1192
54.43,1191
54.46,1190
54.49,1189
54.52,1188
54.55,1187
54.59,1186
54.62,1185
54.65,1184
54.68,1183
54.71,1182
54.75,1181
54.78,1180
54.81,1179
54.84,1178
54.87,1177
54.91,1176
54.94,1175
54.97,1174
55.00,1173
55.03,1172
55.07,1171
55.10,1170
55.13,1169
55.16,1168
55.19,1167
55.23,1166
55.26,1165
55.29,1164
55.32,1163
55.35,1162
55.39,1161
55.42,1160
55.45,1159
55.48,1158
55.51,1157
55.55,1156
55.58,1155
55.61,1154
55.64,1153
55.68,1152
55.71,1151
55.74,1150
55.77,1149
55.80,1148
55.84,1147
55.87,1146
55.90,1145
55.93,1144
55.97,1143
56.00,1142
56.03,1141
56.06,1140
56.10,1139
56.13,1138
56.16,1137
56.19,1136
56.23,1135
56.26,1134
56.29,1133
56.32,1132
56.36,1131
56.39,1130
56.42,1129
56.45,1128
56.49,1127
56.52,1126
56.55,1125
56.58,1124
56.62,1123
56.65,1122
56.68,1121
56.71,1120
56.75,1119
56.78,1118
56.81,1117
56.85,1116
56.88,1115
56.91,1114
56.94,1113
56.98,1112
57.01,1111
57.04,1110
57.08,1109
57.11,1108
57.14,1107
57.17,1106
57.21,1105
57.24,1104
57.27,1103
57.31,1102
57.34,1101
57.37,1100
57.41,1099
57.44,1098
57.47,1097
57.50,1096
57.54,1095
57.57,1094
57.60,1093
57.64,1092
57.67,1091
57.70,1090
57.74,1089
57.77,1088
57.80,1087
57.84,1086
57.87,1085
57.90,1084
57.94,1083
57.97,1082
58.00,1081
58.04,1080
58.07,1079
58.10,1078
58.14,1077
58.17,1076
58.20,1075
58.24,1074
58.27,1073
58.30,1072
58.34,1071
58.37,1070
58.40,1069
58.44,1068
58.47,1067
58.50,1066
58.54,1065
58.57,1064
58.60,1063
58.64,1062
58.67,1061
58.70,1060
58.74,1059
58.77,1058
58.81,1057
58.84,1056
58.87,1055
58.91,1054
58.94,1053
58.97,1052
59.01,1051
59.04,1050
59.08,1049
59.11,1048
59.14,1047
59.18,1046
59.21,1045
59.24,1044
59.28,1043
59.31,1042
59.35,1041
59.38,1040
59.41,1039
59.45,1038
59.48,1037
59.52,1036
59.55,1035
59.58,1034
59.62,1033
59.65,1032
59.69,1031
59.72,1030
59.75,1029
59.79,1028
59.82,1027
59.86,1026
59.89,1025
59.93,1024
59.96,1023
59.99,1022
60.03,1021
60.06,1020
60.10,1019
60.13,1018
60.17,1017
60.20,1016
60.23,1015
60.27,1014
60.30,1013
60.34,1012
60.37,1011
60.41,1010
60.44,1009
60.48,1008
60.51,1007
60.54,1006
60.58,1005
60.61,1004
60.65,1003
60.68,1002
60.72,1001
60.75,1000
60.79,999
60.82,998
60.86,997
60.89,996
60.93,995
60.96,994
60.99,993
61.03,992
61.06,991
61.10,990
61.13,989
61.17,988
61.20,987
61.24,986
61.27,985
61.31,984
61.34,983
61.38,982
61.41,981
61.45,980
61.48,979
61.52,978
61.55,977
61.59,976
61.62,975
61.66,974
61.69,973
61.73,972
61.76,971
61.80,970
61.83,969
61.87,968
61.90,967
61.94,966
61.97,965
62.01,964
62.04,963
62.08,962
62.12,961
62.15,960
62.19,959
62.22,958
62.26,957
62.29,956
62.33,955
62.36,954
62.40,953
62.43,952
62.47,951
62.51,950
62.54,949
62.58,948
62.61,947
62.65,946
62.68,945
62.72,944
62.75,943
62.79,942
62.83,941
62.86,940
62.90,939
62.93,938
62.97,937
63.00,936
63.04,935
63.08,934
63.11,933
63.15,932
63.18,931
63.22,930
63.26,929
63.29,928
63.33,927
63.36,926
63.40,925
63.44,924
63.47,923
63.51,922
63.54,921
63.58,920
63.62,919
63.65,918
63.69,917
63.72,916
63.76,915
63.80,914
63.83,913
63.87,912
63.90,911
63.94,910
63.98,909
64.01,908
64.05,907
64.09,906
64.12,905
64.16,904
64.20,903
64.23,902
64.27,901
64.31,900
64.34,899
64.38,898
64.41,897
64.45,896
64.49,895
64.52,894
64.56,893
64.60,892
64.63,891
64.67,890
64.71,889
64.74,888
64.78,887
64.82,886
64.85,885
64.89,884
64.93,883
64.97,882
65.00,881
65.04,880
65.08,879
65.11,878
65.15,877
65.19,876
65.22,875
65.26,874
65.30,873
65.34,872
65.37,871
65.41,870
65.45,869
65.48,868
65.52,867
65.56,866
65.60,865
65.63,864
65.67,863
65.71,862
65.74,861
65.78,860
65.82,859
65.86,858
65.89,857
65.93,856
65.97,855
66.01,854
66.04,853
66.08,852
66.12,851
66.16,850
66.19,849
66.23,848
66.27,847
66.31,846
66.34,845
66.38,844
66.42,843
66.46,842
