performance,points
38.04,1400
38.06,1399
38.08,1398
38.11,1397
38.13,1396
38.15,1395
38.17,1394
38.19,1393
38.21,1392
38.24,1391
38.26,1390
38.28,1389
38.30,1388
38.32,1387
38.34,1386
38.36,1385
38.39,1384
38.41,1383
38.43,1382
38.45,1381
38.47,1380
38.49,1379
38.52,1378
38.54,1377
38.56,1376
38.58,1375
38.60,1374
38.62,1373
38.64,1372
38.67,1371
38.69,1370
38.71,1369
38.73,1368
38.75,1367
38.77,1366
38.80,1365
38.82,1364
38.84,1363
38.86,1362
38.88,1361
38.90,1360
38.93,1359
38.95,1358
38.97,1357
38.99,1356
39.01,1355
39.04,1354
39.06,1353
39.08,1352
39.10,1351
39.12,1350
39.14,1349
39.17,1348
39.19,1347
39.21,1346
39.23,1345
39.25,1344
39.28,1343
39.30,1342
39.32,1341
39.34,1340
39.36,1339
39.38,1338
39.41,1337
39.43,1336
39.45,1335
39.47,1334
39.49,1333
39.52,1332
39.54,1331
39.56,1330
39.58,1329
39.60,1328
39.63,1327
39.65,1326
39.67,1325
39.69,1324
39.71,1323
39.74,1322
39.76,1321
39.78,1320
39.80,1319
39.82,1318
39.85,1317
39.87,1316
39.89,1315
39.91,1314
39.93,1313
39.96,1312
39.98,1311
40.00,1310
40.02,1309
40.05,1308
40.07,1307
40.09,1306
40.11,1305
40.13,1304
40.16,1303
40.18,1302
40.20,1301
40.22,1300
40.25,1299
40.27,1298
40.29,1297
40.31,1296
40.33,1295
40.36,1294
40.38,1293
40.40,1292
40.42,1291
40.45,1290
40.47,1289
40.49,1288
40.51,1287
40.53,1286
40.56,1285
40.58,1284
40.60,1283
40.62,1282
40.65,1281
40.67,1280
40.69,1279
40.71,1278
40.74,1277
40.76,1276
40.78,1275
40.80,1274
40.83,1273
40.85,1272
40.87,1271
40.89,1270
40.92,1269
40.94,1268
40.96,1267
40.98,1266
41.01,1265
41.03,1264
41.05,1263
41.07,1262
41.10,1261
41.12,1260
41.14,1259
41.16,1258
41.19,1257
41.21,1256
41.23,1255
41.25,1254
41.28,1253
41.30,1252
41.32,1251
41.34,1250
41.37,1249
41.39,1248
41.41,1247
41.44,1246
41.46,1245
41.48,1244
41.50,1243
41.53,1242
41.55,1241
41.57,1240
41.59,1239
41.62,1238
41.64,1237
41.66,1236
41.69,1235
41.71,1234
41.73,1233
41.75,1232
41.78,1231
41.80,1230
41.82,1229
41.85,1228
41.87,1227
41.89,1226
41.91,1225
41.94,1224
41.96,1223
41.98,1222
42.01,1221
42.03,1220
42.05,1219
42.07,1218
42.10,1217
42.12,1216
42.14,1215
42.17,1214
42.19,1213
42.21,1212
42.24,1211
42.26,1210
42.28,1209
42.30,1208
42.33,1207
42.35,1206
42.37,1205
42.40,1204
42.42,1203
42.44,1202
42.47,1201
42.49,1200
42.51,1199
42.54,1198
42.56,1197
42.58,1196
42.61,1195
42.63,1194
42.65,1193
42.67,1192
42.70,1191
42.72,1190
42.74,1189
42.77,1188
42.79,1187
42.81,1186
42.84,1185
42.86,1184
42.88,1183
42.91,1182
