performance,points
1.13,1
1.18,2
1.24,3
1.29,4
1.35,5
1.40,6
1.46,7
1.52,8
1.57,9
1.63,10
1.68,11
1.74,12
1.79,13
1.85,14
1.91,15
1.96,16
2.02,17
2.07,18
2.13,19
2.18,20
2.24,21
2.30,22
2.35,23
2.41,24
2.46,25
2.52,26
2.57,27
2.63,28
2.69,29
2.74,30
2.80,31
2.85,32
2.91,33
2.96,34
3.02,35
3.08,36
3.13,37
3.19,38
3.24,39
3.30,40
3.35,41
3.41,42
3.46,43
3.52,44
3.58,45
3.63,46
3.69,47
3.74,48
3.80,49
3.85,50
3.91,51
3.97,52
4.02,53
4.08,54
4.13,55
4.19,56
4.24,57
4.30,58
4.35,59
4.41,60
4.47,61
4.52,62
4.58,63
4.63,64
4.69,65
4.74,66
4.80,67
4.86,68
4.91,69
4.97,70
5.02,71
5.08,72
5.13,73
5.19,74
5.24,75
5.30,76
5.36,77
5.41,78
5.47,79
5.52,80
5.58,81
5.63,82
5.69,83
5.75,84
5.80,85
5.86,86
5.91,87
5.97,88
6.02,89
6.08,90
6.13,91
6.19,92
6.25,93
6.30,94
6.36,95
6.41,96
6.47,97
6.52,98
6.58,99
6.63,100
6.69,101
6.75,102
6.80,103
6.86,104
6.91,105
6.97,106
7.02,107
7.08,108
7.13,109
7.19,110
7.25,111
7.30,112
7.36,113
7.41,114
7.47,115
7.52,116
7.58,117
7.63,118
7.69,119
7.75,120
7.80,121
7.86,122
7.91,123
7.97,124
8.02,125
8.08,126
8.13,127
8.19,128
8.25,129
8.30,130
8.36,131
8.41,132
8.47,133
8.52,134
8.58,135
8.63,136
8.69,137
8.75,138
8.80,139
8.86,140
8.91,141
8.97,142
9.02,143
9.08,144
9.13,145
9.19,146
9.24,147
9.30,148
9.36,149
9.41,150
9.47,151
9.52,152
9.58,153
9.63,154
9.69,155
9.74,156
9.80,157
9.86,158
9.91,159
9.97,160
10.02,161
10.08,162
10.13,163
10.19,164
10.24,165
10.30,166
10.35,167
10.41,168
10.47,169
10.52,170
10.58,171
10.63,172
10.69,173
10.74,174
10.80,175
10.85,176
10.91,177
10.96,178
11.02,179
11.08,180
11.13,181
11.19,182
11.24,183
11.30,184
11.35,185
11.41,186
11.46,187
11.52,188
11.57,189
11.63,190
11.69,191
11.74,192
11.80,193
11.85,194
11.91,195
11.96,196
12.02,197
12.07,198
12.13,199
12.18,200
12.24,201
12.30,202
12.35,203
12.41,204
12.46,205
12.52,206
12.57,207
12.63,208
12.68,209
12.74,210
12.79,211
12.85,212
12.91,213
12.96,214
13.02,215
13.07,216
13.13,217
13.18,218
13.24,219
13.29,220
13.35,221
13.40,222
13.46,223
13.51,224
13.57,225
13.63,226
13.68,227
13.74,228
13.79,229
13.85,230
13.90,231
13.96,232
14.01,233
14.07,234
14.12,235
14.18,236
14.23,237
14.29,238
14.35,239
14.40,240
14.46,241
14.51,242
14.57,243
14.62,244
14.68,245
14.73,246
14.79,247
14.84,248
14.90,249
14.95,250
15.01,251
15.07,252
15.12,253
15.18,254
15.23,255
15.29,256
15.34,257
15.40,258
15.45,259
15.51,260
15.56,261
15.62,262
15.67,263
15.73,264
15.78,265
15.84,266
15.90,267
15.95,268
16.01,269
16.06,270
16.12,271
16.17,272
16.23,273
16.28,274
16.34,275
16.39,276
16.45,277
16.50,278
16.56,279
16.61,280
16.67,281
16.73,282
16.78,283
16.84,284
16.89,285
16.95,286
17.00,287
17.06,288
17.11,289
17.17,290
17.22,291
17.28,292
17.33,293
17.39,294
17.44,295
17.50,296
17.56,297
17.61,298
17.67,299
17.72,300
17.78,301
17.83,302
17.89,303
17.94,304
18.00,305
18.05,306
18.11,307
18.16,308
18.22,309
18.27,310
18.33,311
18.38,312
18.44,313
18.50,314
18.55,315
18.61,316
18.66,317
18.72,318
18.77,319
18.83,320
18.88,321
18.94,322
18.99,323
19.05,324
19.10,325
19.16,326
19.21,327
19.27,328
19.32,329
19.38,330
19.43,331
19.49,332
19.55,333
19.60,334
19.66,335
19.71,336
19.77,337
19.82,338
19.88,339
19.93,340
19.99,341
20.04,342
20.10,343
20.15,344
20.21,345
20.26,346
20.32,347
20.37,348
20.43,349
20.48,350
20.54,351
20.59,352
20.65,353
20.71,354
20.76,355
20.82,356
20.87,357
20.93,358
20.98,359
21.04,360
21.09,361
21.15,362
21.20,363
21.26,364
21.31,365
21.37,366
21.42,367
21.48,368
21.53,369
21.59,370
21.64,371
21.70,372
21.75,373
21.81,374
21.86,375
21.92,376
21.97,377
22.03,378
22.09,379
22.14,380
22.20,381
22.25,382
22.31,383
22.36,384
22.42,385
22.47,386
22.53,387
22.58,388
22.64,389
22.69,390
22.75,391
22.80,392
22.86,393
22.91,394
22.97,395
23.02,396
23.08,397
23.13,398
23.19,399
23.24,400
23.30,401
23.35,402
23.41,403
23.46,404
23.52,405
23.57,406
23.63,407
23.69,408
23.74,409
23.80,410
23.85,411
23.91,412
23.96,413
24.02,414
24.07,415
24.13,416
24.18,417
24.24,418
24.29,419
24.35,420
24.40,421
24.46,422
24.51,423
24.57,424
24.62,425
24.68,426
24.73,427
24.79,428
24.84,429
24.90,430
24.95,431
25.01,432
25.06,433
25.12,434
25.17,435
25.23,436
25.28,437
25.34,438
25.39,439
25.45,440
25.50,441
25.56,442
25.61,443
25.67,444
25.72,445
25.78,446
25.83,447
25.89,448
25.95,449
26.00,450
26.06,451
26.11,452
26.17,453
26.22,454
26.28,455
26.33,456
26.39,457
26.44,458
26.50,459
26.55,460
26.61,461
26.66,462
26.72,463
26.77,464
26.83,465
26.88,466
26.94,467
26.99,468
27.05,469
27.10,470
27.16,471
27.21,472
27.27,473
27.32,474
27.38,475
27.43,476
27.49,477
27.54,478
27.60,479
27.65,480
27.71,481
27.76,482
27.82,483
27.87,484
27.93,485
27.98,486
28.04,487
28.09,488
28.15,489
28.20,490
28.26,491
28.31,492
28.37,493
28.42,494
28.48,495
28.53,496
28.59,497
28.64,498
28.70,499
28.75,500
28.81,501
28.86,502
28.92,503
28.97,504
29.03,505
29.08,506
29.14,507
29.19,508
29.25,509
29.30,510
29.36,511
29.41,512
29.47,513
29.52,514
29.58,515
29.63,516
29.69,517
29.74,518
29.80,519
29.85,520
29.91,521
29.96,522
30.02,523
30.07,524
30.13,525
30.18,526
30.24,527
30.29,528
30.35,529
30.40,530
30.46,531
30.51,532
30.57,533
30.62,534
30.68,535
30.73,536
30.79,537
30.84,538
30.90,539
30.95,540
31.01,541
31.06,542
31.12,543
31.17,544
31.23,545
31.28,546
31.34,547
31.39,548
31.45,549
31.50,550
31.56,551
31.61,552
31.67,553
31.72,554
31.78,555
31.83,556
31.89,557
31.94,558
32.00,559
32.05,560
32.11,561
32.16,562
32.22,563
32.27,564
32.33,565
32.38,566
32.44,567
32.49,568
32.55,569
32.60,570
32.66,571
32.71,572
32.77,573
32.82,574
32.88,575
32.93,576
32.99,577
33.04,578
33.10,579
33.15,580
33.21,581
33.26,582
33.32,583
33.37,584
33.43,585
33.48,586
33.54,587
33.59,588
33.65,589
33.70,590
33.75,591
33.81,592
33.86,593
33.92,594
33.97,595
34.03,596
34.08,597
34.14,598
34.19,599
34.25,600
34.30,601
34.36,602
34.41,603
34.47,604
34.52,605
34.58,606
34.63,607
34.69,608
34.74,609
34.80,610
34.85,611
34.91,612
34.96,613
35.02,614
35.07,615
35.13,616
35.18,617
35.24,618
35.29,619
35.35,620
35.40,621
35.46,622
35.51,623
35.57,624
35.62,625
35.68,626
35.73,627
35.79,628
35.84,629
35.90,630
35.95,631
36.00,632
36.06,633
36.11,634
36.17,635
36.22,636
36.28,637
36.33,638
36.39,639
36.44,640
36.50,641
36.55,642
36.61,643
36.66,644
36.72,645
36.77,646
36.83,647
36.88,648
36.94,649
36.99,650
37.05,651
37.10,652
37.16,653
37.21,654
37.27,655
37.32,656
37.38,657
37.43,658
37.49,659
37.54,660
37.59,661
37.65,662
37.70,663
37.76,664
37.81,665
37.87,666
37.92,667
37.98,668
38.03,669
38.09,670
38.14,671
38.20,672
38.25,673
38.31,674
38.36,675
38.42,676
38.47,677
38.53,678
38.58,679
38.64,680
38.69,681
38.75,682
38.80,683
38.86,684
38.91,685
38.96,686
39.02,687
39.07,688
39.13,689
39.18,690
39.24,691
39.29,692
39.35,693
39.40,694
39.46,695
39.51,696
39.57,697
39.62,698
39.68,699
39.73,700
39.79,701
39.84,702
39.90,703
39.95,704
40.01,705
40.06,706
40.11,707
40.17,708
40.22,709
40.28,710
40.33,711
40.39,712
40.44,713
40.50,714
40.55,715
40.61,716
40.66,717
40.72,718
40.77,719
40.83,720
40.88,721
40.94,722
40.99,723
41.05,724
41.10,725
41.15,726
41.21,727
41.26,728
41.32,729
41.37,730
41.43,731
41.48,732
41.54,733
41.59,734
41.65,735
41.70,736
41.76,737
41.81,738
41.87,739
41.92,740
41.98,741
42.03,742
42.09,743
42.14,744
42.19,745
42.25,746
42.30,747
42.36,748
42.41,749
42.47,750
42.52,751
42.58,752
42.63,753
42.69,754
42.74,755
42.80,756
42.85,757
42.91,758
42.96,759
43.01,760
43.07,761
43.12,762
43.18,763
43.23,764
43.29,765
43.34,766
43.40,767
43.45,768
43.51,769
43.56,770
43.62,771
43.67,772
43.73,773
43.78,774
43.83,775
43.89,776
43.94,777
44.00,778
44.05,779
44.11,780
44.16,781
44.22,782
44.27,783
44.33,784
44.38,785
44.44,786
44.49,787
44.55,788
44.60,789
44.65,790
44.71,791
44.76,792
44.82,793
44.87,794
44.93,795
44.98,796
45.04,797
45.09,798
45.15,799
45.20,800
45.26,801
45.31,802
45.36,803
45.42,804
45.47,805
45.53,806
45.58,807
45.64,808
45.69,809
45.75,810
45.80,811
45.86,812
45.91,813
45.97,814
46.02,815
46.07,816
46.13,817
46.18,818
46.24,819
46.29,820
46.35,821
46.40,822
46.46,823
46.51,824
46.57,825
46.62,826
46.68,827
46.73,828
46.78,829
46.84,830
46.89,831
46.95,832
47.00,833
47.06,834
47.11,835
47.17,836
47.22,837
47.28,838
47.33,839
47.38,840
47.44,841
47.49,842
47.55,843
47.60,844
47.66,845
47.71,846
47.77,847
47.82,848
47.88,849
47.93,850
47.99,851
48.04,852
48.09,853
48.15,854
48.20,855
48.26,856
48.31,857
48.37,858
48.42,859
48.48,860
48.53,861
48.59,862
48.64,863
48.69,864
48.75,865
48.80,866
48.86,867
48.91,868
48.97,869
49.02,870
49.08,871
49.13,872
49.19,873
49.24,874
49.29,875
49.35,876
49.40,877
49.46,878
49.51,879
49.57,880
49.62,881
49.68,882
49.73,883
49.78,884
49.84,885
49.89,886
49.95,887
50.00,888
50.06,889
50.11,890
50.17,891
50.22,892
50.28,893
50.33,894
50.38,895
50.44,896
50.49,897
50.55,898
50.60,899
50.66,900
50.71,901
50.77,902
50.82,903
50.88,904
50.93,905
50.98,906
51.04,907
51.09,908
51.15,909
51.20,910
51.26,911
51.31,912
51.37,913
51.42,914
51.47,915
51.53,916
51.58,917
51.64,918
51.69,919
51.75,920
51.80,921
51.86,922
51.91,923
51.96,924
52.02,925
52.07,926
52.13,927
52.18,928
52.24,929
52.29,930
52.35,931
52.40,932
52.45,933
52.51,934
52.56,935
52.62,936
52.67,937
52.73,938
52.78,939
52.84,940
52.89,941
52.94,942
53.00,943
53.05,944
53.11,945
53.16,946
53.22,947
53.27,948
53.33,949
53.38,950
53.43,951
53.49,952
53.54,953
53.60,954
53.65,955
53.71,956
53.76,957
53.82,958
53.87,959
53.92,960
53.98,961
54.03,962
54.09,963
54.14,964
54.20,965
54.25,966
54.31,967
54.36,968
54.41,969
54.47,970
54.52,971
54.58,972
54.63,973
54.69,974
54.74,975
54.80,976
54.85,977
54.90,978
54.96,979
55.01,980
55.07,981
55.12,982
55.18,983
55.23,984
55.28,985
55.34,986
55.39,987
55.45,988
55.50,989
55.56,990
55.61,991
55.67,992
55.72,993
55.77,994
55.83,995
55.88,996
55.94,997
55.99,998
56.05,999
56.10,1000
56.15,1001
56.21,1002
56.26,1003
56.32,1004
56.37,1005
56.43,1006
56.48,1007
56.54,1008
56.59,1009
56.64,1010
56.70,1011
56.75,1012
56.81,1013
56.86,1014
56.92,1015
56.97,1016
57.02,1017
57.08,1018
57.13,1019
57.19,1020
57.24,1021
57.30,1022
57.35,1023
57.40,1024
57.46,1025
57.51,1026
57.57,1027
57.62,1028
57.68,1029
57.73,1030
57.78,1031
57.84,1032
57.89,1033
57.95,1034
58.00,1035
58.06,1036
58.11,1037
58.17,1038
58.22,1039
58.27,1040
58.33,1041
58.38,1042
58.44,1043
58.49,1044
58.55,1045
58.60,1046
58.65,1047
58.71,1048
58.76,1049
58.82,1050
58.87,1051
58.93,1052
58.98,1053
59.03,1054
59.09,1055
59.14,1056
59.20,1057
59.25,1058
59.31,1059
59.36,1060
59.41,1061
59.47,1062
59.52,1063
59.58,1064
59.63,1065
59.69,1066
59.74,1067
59.79,1068
59.85,1069
59.90,1070
59.96,1071
60.01,1072
60.07,1073
60.12,1074
60.17,1075
60.23,1076
60.28,1077
60.34,1078
60.39,1079
60.45,1080
60.50,1081
60.55,1082
60.61,1083
60.66,1084
60.72,1085
60.77,1086
60.83,1087
60.88,1088
60.93,1089
60.99,1090
61.04,1091
61.10,1092
61.15,1093
61.20,1094
61.26,1095
61.31,1096
61.37,1097
61.42,1098
61.48,1099
61.53,1100
61.58,1101
61.64,1102
61.69,1103
61.75,1104
61.80,1105
61.86,1106
61.91,1107
61.96,1108
62.02,1109
62.07,1110
62.13,1111
62.18,1112
62.24,1113
62.29,1114
62.34,1115
62.40,1116
62.45,1117
62.51,1118
62.56,1119
62.61,1120
62.67,1121
62.72,1122
62.78,1123
62.83,1124
62.89,1125
62.94,1126
62.99,1127
63.05,1128
63.10,1129
63.16,1130
63.21,1131
63.27,1132
63.32,1133
63.37,1134
63.43,1135
63.48,1136
63.54,1137
63.59,1138
63.64,1139
63.70,1140
63.75,1141
63.81,1142
63.86,1143
63.92,1144
63.97,1145
64.02,1146
64.08,1147
64.13,1148
64.19,1149
64.24,1150
64.29,1151
64.35,1152
64.40,1153
64.46,1154
64.51,1155
64.57,1156
64.62,1157
64.67,1158
64.73,1159
64.78,1160
64.84,1161
64.89,1162
64.94,1163
65.00,1164
65.05,1165
65.11,1166
65.16,1167
65.22,1168
65.27,1169
65.32,1170
65.38,1171
65.43,1172
65.49,1173
65.54,1174
65.59,1175
65.65,1176
65.70,1177
65.76,1178
65.81,1179
65.87,1180
65.92,1181
65.97,1182
66.03,1183
66.08,1184
66.14,1185
66.19,1186
66.24,1187
66.30,1188
66.35,1189
66.41,1190
66.46,1191
66.51,1192
66.57,1193
66.62,1194
66.68,1195
66.73,1196
66.79,1197
66.84,1198
66.89,1199
66.95,1200
67.00,1201
67.06,1202
67.11,1203
67.16,1204
67.22,1205
67.27,1206
67.33,1207
67.38,1208
67.43,1209
67.49,1210
67.54,1211
67.60,1212
67.65,1213
67.71,1214
67.76,1215
67.81,1216
67.87,1217
67.92,1218
67.98,1219
68.03,1220
68.08,1221
68.14,1222
68.19,1223
68.25,1224
68.30,1225
68.35,1226
68.41,1227
68.46,1228
68.52,1229
68.57,1230
68.62,1231
68.68,1232
68.73,1233
68.79,1234
68.84,1235
68.89,1236
68.95,1237
69.00,1238
69.06,1239
69.11,1240
69.17,1241
69.22,1242
69.27,1243
69.33,1244
69.38,1245
69.44,1246
69.49,1247
69.54,1248
69.60,1249
69.65,1250
69.71,1251
69.76,1252
69.81,1253
69.87,1254
69.92,1255
69.98,1256
70.03,1257
70.08,1258
70.14,1259
70.19,1260
70.25,1261
70.30,1262
70.35,1263
70.41,1264
70.46,1265
70.52,1266
70.57,1267
70.62,1268
70.68,1269
70.73,1270
70.79,1271
70.84,1272
70.89,1273
70.95,1274
71.00,1275
71.06,1276
71.11,1277
71.16,1278
71.22,1279
71.27,1280
71.33,1281
71.38,1282
71.43,1283
71.49,1284
71.54,1285
71.60,1286
71.65,1287
71.70,1288
71.76,1289
71.81,1290
71.87,1291
71.92,1292
71.97,1293
72.03,1294
72.08,1295
72.14,1296
72.19,1297
72.24,1298
72.30,1299
72.35,1300
72.41,1301
72.46,1302
72.51,1303
72.57,1304
72.62,1305
72.68,1306
72.73,1307
72.78,1308
72.84,1309
72.89,1310
72.95,1311
73.00,1312
73.05,1313
73.11,1314
73.16,1315
73.22,1316
73.27,1317
73.32,1318
73.38,1319
73.43,1320
73.49,1321
73.54,1322
73.59,1323
73.65,1324
73.70,1325
73.76,1326
73.81,1327
73.86,1328
73.92,1329
73.97,1330
74.03,1331
74.08,1332
74.13,1333
74.19,1334
74.24,1335
74.29,1336
74.35,1337
74.40,1338
74.46,1339
74.51,1340
74.56,1341
74.62,1342
74.67,1343
74.73,1344
74.78,1345
74.83,1346
74.89,1347
74.94,1348
75.00,1349
75.05,1350
75.10,1351
75.16,1352
75.21,1353
75.27,1354
75.32,1355
