performance,points
3602.00,1400
3604.00,1399
3606.00,1398
3609.00,1397
3611.00,1396
3613.00,1395
3615.00,1394
3618.00,1393
3620.00,1392
3622.00,1391
3624.00,1390
3627.00,1389
3629.00,1388
3631.00,1387
3633.00,1386
3636.00,1385
3638.00,1384
3640.00,1383
3642.00,1382
3645.00,1381
3647.00,1380
3649.00,1379
3652.00,1378
3654.00,1377
3656.00,1376
3658.00,1375
3661.00,1374
3663.00,1373
3665.00,1372
3667.00,1371
3670.00,1370
3672.00,1369
3674.00,1368
3677.00,1367
3679.00,1366
3681.00,1365
3683.00,1364
3686.00,1363
3688.00,1362
3690.00,1361
3692.00,1360
3695.00,1359
3697.00,1358
3699.00,1357
3702.00,1356
3704.00,1355
3706.00,1354
3708.00,1353
3711.00,1352
3713.00,1351
3715.00,1350
3718.00,1349
3720.00,1348
3722.00,1347
3725.00,1346
3727.00,1345
3729.00,1344
3731.00,1343
3734.00,1342
3736.00,1341
3738.00,1340
3741.00,1339
3743.00,1338
3745.00,1337
3748.00,1336
3750.00,1335
3752.00,1334
3754.00,1333
3757.00,1332
3759.00,1331
3761.00,1330
3764.00,1329
3766.00,1328
3768.00,1327
3771.00,1326
3773.00,1325
3775.00,1324
3778.00,1323
3780.00,1322
3782.00,1321
3784.00,1320
3787.00,1319
3789.00,1318
3791.00,1317
3794.00,1316
3796.00,1315
3798.00,1314
3801.00,1313
3803.00,1312
3805.00,1311
3808.00,1310
3810.00,1309
3812.00,1308
3815.00,1307
3817.00,1306
3819.00,1305
3822.00,1304
3824.00,1303
3826.00,1302
3829.00,1301
3831.00,1300
3833.00,1299
3836.00,1298
3838.00,1297
3840.00,1296
3843.00,1295
3845.00,1294
3847.00,1293
3850.00,1292
3852.00,1291
3854.00,1290
3857.00,1289
3859.00,1288
3861.00,1287
3864.00,1286
3866.00,1285
3868.00,1284
3871.00,1283
3873.00,1282
3875.00,1281
3878.00,1280
3880.00,1279
3883.00,1278
3885.00,1277
3887.00,1276
3890.00,1275
3892.00,1274
3894.00,1273
3897.00,1272
3899.00,1271
3901.00,1270
3904.00,1269
3906.00,1268
3908.00,1267
3911.00,1266
3913.00,1265
3916.00,1264
3918.00,1263
3920.00,1262
3923.00,1261
3925.00,1260
3927.00,1259
3930.00,1258
3932.00,1257
3935.00,1256
3937.00,1255
3939.00,1254
3942.00,1253
3944.00,1252
3946.00,1251
3949.00,1250
3951.00,1249
3954.00,1248
3956.00,1247
3958.00,1246
3961.00,1245
3963.00,1244
3965.00,1243
3968.00,1242
3970.00,1241
3973.00,1240
3975.00,1239
3977.00,1238
3980.00,1237
3982.00,1236
3985.00,1235
3987.00,1234
3989.00,1233
3992.00,1232
3994.00,1231
3997.00,1230
3999.00,1229
4001.00,1228
4004.00,1227
4006.00,1226
4009.00,1225
4011.00,1224
4013.00,1223
4016.00,1222
4018.00,1221
4021.00,1220
4023.00,1219
4025.00,1218
4028.00,1217
4030.00,1216
4033.00,1215
4035.00,1214
4038.00,1213
4040.00,1212
4042.00,1211
4045.00,1210
4047.00,1209
4050.00,1208
4052.00,1207
4054.00,1206
4057.00,1205
4059.00,1204
4062.00,1203
4064.00,1202
4067.00,1201
4069.00,1200
4071.00,1199
4074.00,1198
4076.00,1197
4079.00,1196
4081.00,1195
4084.00,1194
4086.00,1193
4089.00,1192
4091.00,1191
4093.00,1190
4096.00,1189
4098.00,1188
4101.00,1187
4103.00,1186
4106.00,1185
4108.00,1184
4110.00,1183
4113.00,1182
4115.00,1181
4118.00,1180
4120.00,1179
4123.00,1178
4125.00,1177
4128.00,1176
4130.00,1175
4133.00,1174
4135.00,1173
4137.00,1172
4140.00,1171
4142.00,1170
4145.00,1169
4147.00,1168
4150.00,1167
4152.00,1166
4155.00,1165
4157.00,1164
4160.00,1163
4162.00,1162
4165.00,1161
4167.00,1160
4170.00,1159
4172.00,1158
4174.00,1157
4177.00,1156
4179.00,1155
4182.00,1154
4184.00,1153
4187.00,1152
4189.00,1151
4192.00,1150
4194.00,1149
4197.00,1148
4199.00,1147
4202.00,1146
4204.00,1145
4207.00,1144
4209.00,1143
4212.00,1142
4214.00,1141
4217.00,1140
4219.00,1139
4222.00,1138
4224.00,1137
4227.00,1136
4229.00,1135
4232.00,1134
4234.00,1133
4237.00,1132
4239.00,1131
4242.00,1130
4244.00,1129
4247.00,1128
4249.00,1127
4252.00,1126
4254.00,1125
4257.00,1124
4259.00,1123
4262.00,1122
4264.00,1121
4267.00,1120
4269.00,1119
4272.00,1118
4274.00,1117
4277.00,1116
4279.00,1115
4282.00,1114
4284.00,1113
4287.00,1112
4289.00,1111
4292.00,1110
4294.00,1109
4297.00,1108
4300.00,1107
4302.00,1106
4305.00,1105
4307.00,1104
4310.00,1103
4312.00,1102
4315.00,1101
4317.00,1100
4320.00,1099
4322.00,1098
4325.00,1097
4327.00,1096
4330.00,1095
4332.00,1094
4335.00,1093
4338.00,1092
4340.00,1091
4343.00,1090
4345.00,1089
4348.00,1088
4350.00,1087
4353.00,1086
4355.00,1085
4358.00,1084
4361.00,1083
4363.00,1082
4366.00,1081
4368.00,1080
4371.00,1079
4373.00,1078
4376.00,1077
4378.00,1076
4381.00,1075
4384.00,1074
4386.00,1073
4389.00,1072
4391.00,1071
4394.00,1070
4396.00,1069
4399.00,1068
4402.00,1067
4404.00,1066
4407.00,1065
4409.00,1064
4412.00,1063
4415.00,1062
4417.00,1061
4420.00,1060
4422.00,1059
4425.00,1058
4427.00,1057
4430.00,1056
4433.00,1055
4435.00,1054
4438.00,1053
4440.00,1052
4443.00,1051
4446.00,1050
4448.00,1049
4451.00,1048
4453.00,1047
4456.00,1046
4459.00,1045
4461.00,1044
4464.00,1043
4466.00,1042
4469.00,1041
4472.00,1040
4474.00,1039
4477.00,1038
4479.00,1037
4482.00,1036
4485.00,1035
4487.00,1034
4490.00,1033
4493.00,1032
4495.00,1031
4498.00,1030
4500.00,1029
4503.00,1028
4506.00,1027
4508.00,1026
4511.00,1025
4514.00,1024
4516.00,1023
4519.00,1022
4521.00,1021
4524.00,1020
4527.00,1019
4529.00,1018
4532.00,1017
4535.00,1016
4537.00,1015
4540.00,1014
4543.00,1013
4545.00,1012
4548.00,1011
4550.00,1010
4553.00,1009
4556.00,1008
4558.00,1007
4561.00,1006
4564.00,1005
4566.00,1004
4569.00,1003
4572.00,1002
4574.00,1001
4577.00,1000
4580.00,999
4582.00,998
4585.00,997
4588.00,996
4590.00,995
4593.00,994
4596.00,993
4598.00,992
4601.00,991
4604.00,990
4606.00,989
4609.00,988
4612.00,987
4614.00,986
4617.00,985
4620.00,984
4622.00,983
4625.00,982
4628.00,981
4631.00,980
4633.00,979
4636.00,978
4639.00,977
4641.00,976
4644.00,975
4647.00,974
4649.00,973
4652.00,972
4655.00,971
4657.00,970
4660.00,969
4663.00,968
4666.00,967
4668.00,966
4671.00,965
4674.00,964
4676.00,963
4679.00,962
4682.00,961
4685.00,960
4687.00,959
4690.00,958
4693.00,957
4695.00,956
4698.00,955
4701.00,954
4704.00,953
4706.00,952
4709.00,951
4712.00,950
4715.00,949
4717.00,948
4720.00,947
4723.00,946
4725.00,945
4728.00,944
4731.00,943
4734.00,942
4736.00,941
4739.00,940
4742.00,939
4745.00,938
4747.00,937
4750.00,936
4753.00,935
4756.00,934
4758.00,933
4761.00,932
4764.00,931
4767.00,930
4769.00,929
4772.00,928
4775.00,927
4778.00,926
4781.00,925
4783.00,924
4786.00,923
4789.00,922
4792.00,921
4794.00,920
4797.00,919
4800.00,918
4803.00,917
4805.00,916
4808.00,915
4811.00,914
4814.00,913
4817.00,912
4819.00,911
4822.00,910
4825.00,909
