performance,points
1.51,1
1.57,2
1.63,3
1.70,4
1.76,5
1.82,6
1.89,7
1.95,8
2.01,9
2.08,10
2.14,11
2.20,12
2.27,13
2.33,14
2.40,15
2.46,16
2.52,17
2.59,18
2.65,19
2.71,20
2.78,21
2.84,22
2.90,23
2.97,24
3.03,25
3.09,26
3.16,27
3.22,28
3.28,29
3.35,30
3.41,31
3.47,32
3.54,33
3.60,34
3.67,35
3.73,36
3.79,37
3.86,38
3.92,39
3.98,40
4.05,41
4.11,42
4.17,43
4.24,44
4.30,45
4.36,46
4.43,47
4.49,48
4.55,49
4.62,50
4.68,51
4.74,52
4.81,53
4.87,54
4.93,55
5.00,56
5.06,57
5.13,58
5.19,59
5.25,60
5.32,61
5.38,62
5.44,63
5.51,64
5.57,65
5.63,66
5.70,67
5.76,68
5.82,69
5.89,70
5.95,71
6.01,72
6.08,73
6.14,74
6.20,75
6.27,76
6.33,77
6.39,78
6.46,79
6.52,80
6.58,81
6.65,82
6.71,83
6.77,84
6.84,85
6.90,86
6.96,87
7.03,88
7.09,89
7.15,90
7.22,91
7.28,92
7.34,93
7.41,94
7.47,95
7.53,96
7.60,97
7.66,98
7.72,99
7.79,100
7.85,101
7.92,102
7.98,103
8.04,104
8.11,105
8.17,106
8.23,107
8.30,108
8.36,109
8.42,110
8.49,111
8.55,112
8.61,113
8.68,114
8.74,115
8.80,116
8.87,117
8.93,118
8.99,119
9.06,120
9.12,121
9.18,122
9.25,123
9.31,124
9.37,125
9.44,126
9.50,127
9.56,128
9.63,129
9.69,130
9.75,131
9.82,132
9.88,133
9.94,134
10.01,135
10.07,136
10.13,137
10.20,138
10.26,139
10.32,140
10.39,141
10.45,142
10.51,143
10.58,144
10.64,145
10.70,146
10.77,147
10.83,148
10.89,149
10.96,150
11.02,151
11.08,152
11.15,153
11.21,154
11.27,155
11.33,156
11.40,157
11.46,158
11.52,159
11.59,160
11.65,161
11.71,162
11.78,163
11.84,164
11.90,165
11.97,166
12.03,167
12.09,168
12.16,169
12.22,170
12.28,171
12.35,172
12.41,173
12.47,174
12.54,175
12.60,176
12.66,177
12.73,178
12.79,179
12.85,180
12.92,181
12.98,182
13.04,183
13.11,184
13.17,185
13.23,186
13.30,187
13.36,188
13.42,189
13.49,190
13.55,191
13.61,192
13.68,193
13.74,194
13.80,195
13.87,196
13.93,197
13.99,198
14.05,199
14.12,200
14.18,201
14.24,202
14.31,203
14.37,204
14.43,205
14.50,206
