performance,points
253.00,1
258.00,2
264.00,3
270.00,4
275.00,5
281.00,6
286.00,7
292.00,8
298.00,9
303.00,10
309.00,11
315.00,12
320.00,13
326.00,14
331.00,15
337.00,16
343.00,17
348.00,18
354.00,19
359.00,20
365.00,21
371.00,22
376.00,23
382.00,24
388.00,25
393.00,26
399.00,27
404.00,28
410.00,29
416.00,30
421.00,31
427.00,32
432.00,33
438.00,34
444.00,35
449.00,36
455.00,37
460.00,38
466.00,39
472.00,40
477.00,41
483.00,42
488.00,43
494.00,44
500.00,45
505.00,46
511.00,47
516.00,48
522.00,49
528.00,50
533.00,51
539.00,52
544.00,53
550.00,54
556.00,55
561.00,56
567.00,57
572.00,58
578.00,59
584.00,60
589.00,61
595.00,62
600.00,63
606.00,64
611.00,65
617.00,66
623.00,67
628.00,68
634.00,69
639.00,70
645.00,71
651.00,72
656.00,73
662.00,74
667.00,75
673.00,76
678.00,77
684.00,78
690.00,79
695.00,80
701.00,81
706.00,82
712.00,83
718.00,84
723.00,85
729.00,86
734.00,87
740.00,88
745.00,89
751.00,90
757.00,91
762.00,92
768.00,93
773.00,94
779.00,95
784.00,96
790.00,97
796.00,98
801.00,99
807.00,100
812.00,101
818.00,102
823.00,103
829.00,104
835.00,105
840.00,106
846.00,107
851.00,108
857.00,109
862.00,110
868.00,111
873.00,112
879.00,113
885.00,114
890.00,115
896.00,116
901.00,117
907.00,118
912.00,119
918.00,120
923.00,121
929.00,122
935.00,123
940.00,124
946.00,125
951.00,126
957.00,127
962.00,128
968.00,129
973.00,130
979.00,131
985.00,132
990.00,133
996.00,134
1001.00,135
1007.00,136
1012.00,137
1018.00,138
1023.00,139
1029.00,140
1035.00,141
1040.00,142
1046.00,143
1051.00,144
1057.00,145
1062.00,146
1068.00,147
1073.00,148
1079.00,149
1084.00,150
1090.00,151
1095.00,152
1101.00,153
1107.00,154
1112.00,155
1118.00,156
1123.00,157
1129.00,158
1134.00,159
1140.00,160
1145.00,161
1151.00,162
1156.00,163
1162.00,164
1167.00,165
1173.00,166
1179.00,167
1184.00,168
1190.00,169
1195.00,170
1201.00,171
1206.00,172
1212.00,173
1217.00,174
1223.00,175
1228.00,176
1234.00,177
1239.00,178
1245.00,179
1250.00,180
1256.00,181
1261.00,182
1267.00,183
1273.00,184
1278.00,185
1284.00,186
1289.00,187
1295.00,188
1300.00,189
1306.00,190
1311.00,191
1317.00,192
1322.00,193
1328.00,194
1333.00,195
1339.00,196
1344.00,197
1350.00,198
1355.00,199
1361.00,200
1366.00,201
1372.00,202
1377.00,203
1383.00,204
1388.00,205
1394.00,206
1399.00,207
1405.00,208
1410.00,209
1416.00,210
1421.00,211
1427.00,212
1432.00,213
1438.00,214
1443.00,215
1449.00,216
1454.00,217
1460.00,218
1465.00,219
1471.00,220
1476.00,221
1482.00,222
1487.00,223
1493.00,224
1499.00,225
1504.00,226
1510.00,227
1515.00,228
1521.00,229
1526.00,230
1531.00,231
1537.00,232
1542.00,233
1548.00,234
1553.00,235
1559.00,236
1564.00,237
1570.00,238
1575.00,239
1581.00,240
1586.00,241
1592.00,242
1597.00,243
1603.00,244
1608.00,245
1614.00,246
1619.00,247
1625.00,248
1630.00,249
1636.00,250
1641.00,251
1647.00,252
1652.00,253
1658.00,254
1663.00,255
1669.00,256
1674.00,257
1680.00,258
1685.00,259
1691.00,260
1696.00,261
1702.00,262
1707.00,263
1713.00,264
1718.00,265
1724.00,266
1729.00,267
1735.00,268
1740.00,269
1746.00,270
1751.00,271
1756.00,272
1762.00,273
1767.00,274
1773.00,275
1778.00,276
1784.00,277
1789.00,278
1795.00,279
1800.00,280
1806.00,281
1811.00,282
1817.00,283
1822.00,284
1828.00,285
1833.00,286
1839.00,287
1844.00,288
1850.00,289
1855.00,290
1860.00,291
1866.00,292
1871.00,293
1877.00,294
1882.00,295
1888.00,296
1893.00,297
1899.00,298
1904.00,299
1910.00,300
1915.00,301
1921.00,302
1926.00,303
1931.00,304
1937.00,305
1942.00,306
1948.00,307
1953.00,308
1959.00,309
1964.00,310
1970.00,311
1975.00,312
1981.00,313
1986.00,314
1991.00,315
1997.00,316
2002.00,317
2008.00,318
2013.00,319
2019.00,320
2024.00,321
2030.00,322
2035.00,323
2041.00,324
2046.00,325
2051.00,326
2057.00,327
2062.00,328
2068.00,329
2073.00,330
2079.00,331
2084.00,332
2090.00,333
2095.00,334
2100.00,335
2106.00,336
2111.00,337
2117.00,338
2122.00,339
2128.00,340
2133.00,341
2139.00,342
2144.00,343
2149.00,344
2155.00,345
2160.00,346
2166.00,347
2171.00,348
2177.00,349
2182.00,350
2188.00,351
2193.00,352
2198.00,353
2204.00,354
2209.00,355
2215.00,356
2220.00,357
2226.00,358
2231.00,359
2236.00,360
2242.00,361
2247.00,362
2253.00,363
2258.00,364
2264.00,365
2269.00,366
2274.00,367
2280.00,368
2285.00,369
2291.00,370
2296.00,371
2302.00,372
2307.00,373
2312.00,374
2318.00,375
2323.00,376
2329.00,377
2334.00,378
2340.00,379
2345.00,380
2350.00,381
2356.00,382
2361.00,383
2367.00,384
2372.00,385
2377.00,386
2383.00,387
2388.00,388
2394.00,389
2399.00,390
2405.00,391
2410.00,392
2415.00,393
2421.00,394
2426.00,395
2432.00,396
2437.00,397
2442.00,398
2448.00,399
2453.00,400
2459.00,401
2464.00,402
2470.00,403
2475.00,404
2480.00,405
2486.00,406
2491.00,407
2497.00,408
2502.00,409
2507.00,410
2513.00,411
2518.00,412
2524.00,413
2529.00,414
2534.00,415
2540.00,416
2545.00,417
2551.00,418
2556.00,419
2561.00,420
2567.00,421
2572.00,422
2578.00,423
2583.00,424
2588.00,425
2594.00,426
2599.00,427
2605.00,428
2610.00,429
2615.00,430
2621.00,431
2626.00,432
2632.00,433
2637.00,434
2642.00,435
2648.00,436
2653.00,437
2659.00,438
2664.00,439
2669.00,440
2675.00,441
2680.00,442
2686.00,443
2691.00,444
2696.00,445
2702.00,446
2707.00,447
2712.00,448
2718.00,449
2723.00,450
2729.00,451
2734.00,452
2739.00,453
2745.00,454
2750.00,455
2756.00,456
2761.00,457
2766.00,458
2772.00,459
2777.00,460
2782.00,461
2788.00,462
2793.00,463
2799.00,464
2804.00,465
2809.00,466
2815.00,467
2820.00,468
2825.00,469
2831.00,470
2836.00,471
2842.00,472
2847.00,473
2852.00,474
2858.00,475
2863.00,476
2868.00,477
2874.00,478
2879.00,479
2885.00,480
2890.00,481
2895.00,482
2901.00,483
2906.00,484
2911.00,485
2917.00,486
2922.00,487
2928.00,488
2933.00,489
2938.00,490
2944.00,491
2949.00,492
2954.00,493
2960.00,494
2965.00,495
2970.00,496
2976.00,497
2981.00,498
2987.00,499
2992.00,500
2997.00,501
3003.00,502
3008.00,503
3013.00,504
3019.00,505
3024.00,506
3029.00,507
3035.00,508
3040.00,509
3046.00,510
3051.00,511
3056.00,512
3062.00,513
3067.00,514
3072.00,515
3078.00,516
3083.00,517
3088.00,518
3094.00,519
3099.00,520
3104.00,521
3110.00,522
3115.00,523
3120.00,524
3126.00,525
3131.00,526
3137.00,527
3142.00,528
3147.00,529
3153.00,530
3158.00,531
3163.00,532
3169.00,533
3174.00,534
3179.00,535
3185.00,536
3190.00,537
3195.00,538
3201.00,539
3206.00,540
3211.00,541
3217.00,542
3222.00,543
3227.00,544
3233.00,545
3238.00,546
3243.00,547
3249.00,548
3254.00,549
3259.00,550
3265.00,551
3270.00,552
3275.00,553
3281.00,554
3286.00,555
3291.00,556
3297.00,557
3302.00,558
3307.00,559
3313.00,560
3318.00,561
3323.00,562
3329.00,563
3334.00,564
3339.00,565
3345.00,566
3350.00,567
3355.00,568
3361.00,569
3366.00,570
3371.00,571
3377.00,572
3382.00,573
3387.00,574
3393.00,575
3398.00,576
3403.00,577
3409.00,578
3414.00,579
3419.00,580
3425.00,581
3430.00,582
3435.00,583
3441.00,584
3446.00,585
3451.00,586
3457.00,587
3462.00,588
3467.00,589
3473.00,590
3478.00,591
3483.00,592
3489.00,593
3494.00,594
3499.00,595
3504.00,596
3510.00,597
3515.00,598
3520.00,599
3526.00,600
3531.00,601
3536.00,602
3542.00,603
3547.00,604
3552.00,605
3558.00,606
3563.00,607
3568.00,608
3574.00,609
3579.00,610
3584.00,611
3589.00,612
3595.00,613
3600.00,614
3605.00,615
3611.00,616
3616.00,617
3621.00,618
3627.00,619
3632.00,620
3637.00,621
3643.00,622
3648.00,623
3653.00,624
3658.00,625
3664.00,626
3669.00,627
3674.00,628
3680.00,629
3685.00,630
3690.00,631
3696.00,632
3701.00,633
3706.00,634
3711.00,635
3717.00,636
3722.00,637
3727.00,638
3733.00,639
3738.00,640
3743.00,641
3748.00,642
3754.00,643
3759.00,644
3764.00,645
3770.00,646
3775.00,647
3780.00,648
3786.00,649
3791.00,650
3796.00,651
3801.00,652
3807.00,653
3812.00,654
3817.00,655
3823.00,656
3828.00,657
3833.00,658
3838.00,659
3844.00,660
3849.00,661
3854.00,662
3860.00,663
3865.00,664
3870.00,665
3875.00,666
3881.00,667
3886.00,668
3891.00,669
3897.00,670
3902.00,671
3907.00,672
3912.00,673
3918.00,674
3923.00,675
3928.00,676
3933.00,677
3939.00,678
3944.00,679
3949.00,680
3955.00,681
3960.00,682
3965.00,683
3970.00,684
3976.00,685
3981.00,686
3986.00,687
3992.00,688
3997.00,689
4002.00,690
4007.00,691
4013.00,692
4018.00,693
4023.00,694
4028.00,695
4034.00,696
4039.00,697
4044.00,698
4049.00,699
4055.00,700
4060.00,701
4065.00,702
4071.00,703
4076.00,704
4081.00,705
4086.00,706
4092.00,707
4097.00,708
4102.00,709
4107.00,710
4113.00,711
4118.00,712
4123.00,713
4128.00,714
4134.00,715
4139.00,716
4144.00,717
4149.00,718
4155.00,719
4160.00,720
4165.00,721
4171.00,722
4176.00,723
4181.00,724
4186.00,725
4192.00,726
4197.00,727
4202.00,728
4207.00,729
4213.00,730
4218.00,731
4223.00,732
4228.00,733
4234.00,734
4239.00,735
4244.00,736
4249.00,737
4255.00,738
4260.00,739
4265.00,740
4270.00,741
4276.00,742
4281.00,743
4286.00,744
4291.00,745
4297.00,746
4302.00,747
4307.00,748
4312.00,749
4318.00,750
4323.00,751
4328.00,752
4333.00,753
4339.00,754
4344.00,755
4349.00,756
4354.00,757
4359.00,758
4365.00,759
4370.00,760
4375.00,761
4380.00,762
4386.00,763
4391.00,764
4396.00,765
4401.00,766
4407.00,767
4412.00,768
4417.00,769
4422.00,770
