performance,points
1.10,1
1.15,2
1.21,3
1.27,4
1.32,5
1.38,6
1.43,7
1.49,8
1.54,9
1.60,10
1.65,11
1.71,12
1.76,13
1.82,14
1.87,15
1.93,16
1.99,17
2.04,18
2.10,19
2.15,20
2.21,21
2.26,22
2.32,23
2.37,24
2.43,25
2.48,26
2.54,27
2.59,28
2.65,29
2.71,30
2.76,31
2.82,32
2.87,33
2.93,34
2.98,35
3.04,36
3.09,37
3.15,38
3.20,39
3.26,40
3.31,41
3.37,42
3.42,43
3.48,44
3.54,45
3.59,46
3.65,47
3.70,48
3.76,49
3.81,50
3.87,51
3.92,52
3.98,53
4.03,54
4.09,55
4.14,56
4.20,57
4.25,58
4.31,59
4.37,60
4.42,61
4.48,62
4.53,63
4.59,64
4.64,65
4.70,66
4.75,67
4.81,68
4.86,69
4.92,70
4.97,71
5.03,72
5.08,73
5.14,74
5.19,75
5.25,76
5.31,77
5.36,78
5.42,79
5.47,80
5.53,81
5.58,82
5.64,83
5.69,84
5.75,85
5.80,86
5.86,87
5.91,88
5.97,89
6.02,90
6.08,91
6.13,92
6.19,93
6.25,94
6.30,95
6.36,96
6.41,97
6.47,98
6.52,99
6.58,100
6.63,101
6.69,102
6.74,103
6.80,104
6.85,105
6.91,106
6.96,107
7.02,108
7.07,109
7.13,110
7.18,111
7.24,112
7.30,113
7.35,114
7.41,115
7.46,116
7.52,117
7.57,118
7.63,119
7.68,120
7.74,121
7.79,122
7.85,123
7.90,124
7.96,125
8.01,126
8.07,127
8.12,128
8.18,129
8.23,130
8.29,131
8.34,132
8.40,133
8.45,134
8.51,135
8.57,136
8.62,137
8.68,138
8.73,139
8.79,140
8.84,141
8.90,142
8.95,143
9.01,144
9.06,145
9.12,146
9.17,147
9.23,148
9.28,149
9.34,150
9.39,151
9.45,152
9.50,153
9.56,154
9.61,155
9.67,156
9.72,157
9.78,158
9.83,159
9.89,160
9.95,161
10.00,162
10.06,163
10.11,164
10.17,165
10.22,166
10.28,167
10.33,168
10.39,169
10.44,170
10.50,171
10.55,172
10.61,173
10.66,174
10.72,175
10.77,176
10.83,177
10.88,178
10.94,179
10.99,180
11.05,181
11.10,182
11.16,183
11.21,184
11.27,185
11.32,186
11.38,187
11.43,188
11.49,189
11.54,190
11.60,191
11.66,192
11.71,193
11.77,194
11.82,195
11.88,196
11.93,197
11.99,198
12.04,199
12.10,200
12.15,201
12.21,202
12.26,203
12.32,204
12.37,205
12.43,206
12.48,207
12.54,208
12.59,209
12.65,210
12.70,211
12.76,212
12.81,213
12.87,214
12.92,215
12.98,216
13.03,217
13.09,218
13.14,219
13.20,220
13.25,221
13.31,222
13.36,223
13.42,224
13.47,225
13.53,226
13.58,227
13.64,228
13.69,229
13.75,230
13.80,231
13.86,232
13.91,233
13.97,234
14.02,235
14.08,236
14.13,237
14.19,238
14.24,239
14.30,240
14.36,241
14.41,242
14.47,243
14.52,244
14.58,245
14.63,246
14.69,247
14.74,248
14.80,249
14.85,250
14.91,251
14.96,252
15.02,253
15.07,254
15.13,255
15.18,256
15.24,257
15.29,258
15.35,259
15.40,260
15.46,261
15.51,262
15.57,263
15.62,264
15.68,265
15.73,266
15.79,267
15.84,268
15.90,269
15.95,270
16.01,271
16.06,272
16.12,273
16.17,274
16.23,275
16.28,276
16.34,277
16.39,278
16.45,279
16.50,280
16.56,281
16.61,282
16.67,283
16.72,284
16.78,285
16.83,286
16.89,287
16.94,288
17.00,289
17.05,290
17.11,291
17.16,292
17.22,293
17.27,294
17.33,295
17.38,296
17.44,297
17.49,298
17.55,299
17.60,300
17.66,301
17.71,302
17.77,303
17.82,304
17.88,305
17.93,306
17.99,307
18.04,308
18.10,309
18.15,310
18.21,311
18.26,312
18.32,313
18.37,314
18.43,315
18.48,316
18.54,317
18.59,318
18.65,319
18.70,320
18.76,321
18.81,322
18.87,323
18.92,324
18.98,325
19.03,326
19.09,327
19.14,328
19.20,329
19.25,330
19.31,331
19.36,332
19.42,333
19.47,334
19.53,335
19.58,336
19.64,337
19.69,338
19.75,339
19.80,340
19.85,341
19.91,342
19.96,343
20.02,344
20.07,345
20.13,346
20.18,347
20.24,348
20.29,349
20.35,350
20.40,351
20.46,352
20.51,353
20.57,354
20.62,355
20.68,356
20.73,357
20.79,358
20.84,359
20.90,360
20.95,361
21.01,362
21.06,363
21.12,364
21.17,365
21.23,366
21.28,367
21.34,368
21.39,369
21.45,370
21.50,371
21.56,372
21.61,373
21.67,374
21.72,375
21.78,376
21.83,377
21.89,378
21.94,379
22.00,380
22.05,381
22.11,382
22.16,383
22.22,384
22.27,385
22.33,386
22.38,387
22.44,388
22.49,389
22.55,390
22.60,391
22.65,392
22.71,393
22.76,394
22.82,395
22.87,396
22.93,397
22.98,398
23.04,399
23.09,400
23.15,401
23.20,402
23.26,403
23.31,404
23.37,405
23.42,406
23.48,407
23.53,408
23.59,409
23.64,410
23.70,411
23.75,412
23.81,413
23.86,414
23.92,415
23.97,416
24.03,417
24.08,418
24.14,419
24.19,420
24.25,421
24.30,422
24.35,423
24.41,424
24.46,425
24.52,426
24.57,427
24.63,428
24.68,429
24.74,430
24.79,431
24.85,432
24.90,433
24.96,434
25.01,435
25.07,436
25.12,437
25.18,438
25.23,439
25.29,440
25.34,441
25.40,442
25.45,443
25.51,444
25.56,445
25.62,446
25.67,447
25.73,448
25.78,449
25.83,450
25.89,451
25.94,452
26.00,453
26.05,454
26.11,455
26.16,456
26.22,457
26.27,458
26.33,459
26.38,460
26.44,461
26.49,462
26.55,463
26.60,464
26.66,465
26.71,466
26.77,467
26.82,468
26.88,469
26.93,470
26.98,471
27.04,472
27.09,473
27.15,474
27.20,475
27.26,476
27.31,477
27.37,478
27.42,479
27.48,480
27.53,481
27.59,482
27.64,483
27.70,484
27.75,485
27.81,486
27.86,487
27.92,488
27.97,489
28.02,490
28.08,491
28.13,492
28.19,493
28.24,494
28.30,495
28.35,496
28.41,497
28.46,498
28.52,499
28.57,500
28.63,501
28.68,502
28.74,503
28.79,504
28.85,505
28.90,506
28.96,507
29.01,508
29.06,509
29.12,510
29.17,511
29.23,512
29.28,513
29.34,514
29.39,515
29.45,516
29.50,517
29.56,518
29.61,519
29.67,520
29.72,521
29.78,522
29.83,523
29.89,524
29.94,525
29.99,526
30.05,527
30.10,528
30.16,529
30.21,530
30.27,531
30.32,532
30.38,533
30.43,534
30.49,535
30.54,536
30.60,537
30.65,538
30.71,539
30.76,540
30.81,541
30.87,542
30.92,543
30.98,544
31.03,545
31.09,546
31.14,547
31.20,548
31.25,549
31.31,550
31.36,551
31.42,552
31.47,553
31.53,554
31.58,555
31.63,556
31.69,557
31.74,558
31.80,559
31.85,560
31.91,561
31.96,562
32.02,563
32.07,564
32.13,565
32.18,566
32.24,567
32.29,568
32.34,569
32.40,570
32.45,571
32.51,572
32.56,573
32.62,574
32.67,575
32.73,576
32.78,577
32.84,578
32.89,579
32.95,580
33.00,581
33.05,582
33.11,583
33.16,584
33.22,585
33.27,586
33.33,587
33.38,588
33.44,589
33.49,590
33.55,591
33.60,592
33.66,593
33.71,594
33.76,595
33.82,596
33.87,597
33.93,598
33.98,599
34.04,600
34.09,601
34.15,602
34.20,603
34.26,604
34.31,605
34.36,606
34.42,607
34.47,608
34.53,609
34.58,610
34.64,611
34.69,612
34.75,613
34.80,614
34.86,615
34.91,616
34.97,617
35.02,618
35.07,619
35.13,620
35.18,621
35.24,622
35.29,623
35.35,624
35.40,625
35.46,626
35.51,627
35.57,628
35.62,629
35.67,630
35.73,631
35.78,632
35.84,633
35.89,634
35.95,635
36.00,636
36.06,637
36.11,638
36.17,639
36.22,640
36.27,641
36.33,642
36.38,643
36.44,644
36.49,645
36.55,646
36.60,647
36.66,648
36.71,649
36.77,650
36.82,651
36.87,652
36.93,653
36.98,654
37.04,655
37.09,656
37.15,657
37.20,658
37.26,659
37.31,660
37.36,661
37.42,662
37.47,663
37.53,664
37.58,665
37.64,666
37.69,667
37.75,668
37.80,669
37.86,670
37.91,671
37.96,672
38.02,673
38.07,674
38.13,675
38.18,676
38.24,677
38.29,678
38.35,679
38.40,680
38.45,681
38.51,682
38.56,683
38.62,684
38.67,685
38.73,686
38.78,687
38.84,688
38.89,689
38.94,690
39.00,691
39.05,692
39.11,693
39.16,694
39.22,695
39.27,696
39.33,697
39.38,698
39.43,699
39.49,700
39.54,701
39.60,702
39.65,703
39.71,704
39.76,705
39.82,706
39.87,707
39.92,708
39.98,709
40.03,710
40.09,711
40.14,712
40.20,713
40.25,714
40.31,715
40.36,716
40.41,717
40.47,718
40.52,719
40.58,720
40.63,721
40.69,722
40.74,723
40.80,724
40.85,725
40.90,726
40.96,727
41.01,728
41.07,729
41.12,730
41.18,731
41.23,732
41.29,733
41.34,734
41.39,735
41.45,736
41.50,737
41.56,738
41.61,739
41.67,740
41.72,741
41.78,742
41.83,743
41.88,744
41.94,745
41.99,746
42.05,747
42.10,748
42.16,749
42.21,750
42.26,751
42.32,752
42.37,753
42.43,754
42.48,755
42.54,756
42.59,757
42.65,758
42.70,759
42.75,760
42.81,761
42.86,762
42.92,763
42.97,764
43.03,765
43.08,766
43.13,767
43.19,768
43.24,769
43.30,770
43.35,771
43.41,772
43.46,773
43.52,774
43.57,775
43.62,776
43.68,777
43.73,778
43.79,779
43.84,780
43.90,781
43.95,782
44.00,783
44.06,784
44.11,785
44.17,786
44.22,787
44.28,788
44.33,789
44.38,790
44.44,791
44.49,792
44.55,793
44.60,794
44.66,795
44.71,796
44.77,797
44.82,798
44.87,799
44.93,800
44.98,801
45.04,802
45.09,803
45.15,804
45.20,805
45.25,806
45.31,807
45.36,808
45.42,809
45.47,810
45.53,811
45.58,812
45.63,813
45.69,814
45.74,815
45.80,816
45.85,817
45.91,818
45.96,819
46.01,820
46.07,821
46.12,822
46.18,823
46.23,824
46.29,825
46.34,826
46.39,827
46.45,828
46.50,829
46.56,830
46.61,831
46.67,832
46.72,833
46.77,834
46.83,835
46.88,836
46.94,837
46.99,838
47.05,839
47.10,840
47.15,841
47.21,842
47.26,843
47.32,844
47.37,845
47.43,846
47.48,847
47.53,848
47.59,849
47.64,850
47.70,851
47.75,852
47.81,853
47.86,854
47.91,855
47.97,856
48.02,857
48.08,858
48.13,859
48.19,860
48.24,861
48.29,862
48.35,863
48.40,864
48.46,865
48.51,866
48.56,867
48.62,868
48.67,869
48.73,870
48.78,871
48.84,872
48.89,873
48.94,874
49.00,875
49.05,876
49.11,877
49.16,878
49.22,879
49.27,880
49.32,881
49.38,882
49.43,883
49.49,884
49.54,885
49.60,886
49.65,887
49.70,888
49.76,889
49.81,890
49.87,891
49.92,892
49.97,893
50.03,894
50.08,895
50.14,896
50.19,897
50.25,898
50.30,899
50.35,900
50.41,901
50.46,902
50.52,903
50.57,904
50.62,905
50.68,906
50.73,907
50.79,908
50.84,909
50.90,910
50.95,911
51.00,912
51.06,913
51.11,914
51.17,915
51.22,916
51.28,917
51.33,918
51.38,919
51.44,920
51.49,921
51.55,922
51.60,923
51.65,924
51.71,925
51.76,926
51.82,927
51.87,928
51.92,929
51.98,930
52.03,931
52.09,932
52.14,933
52.20,934
52.25,935
52.30,936
52.36,937
52.41,938
52.47,939
52.52,940
52.57,941
52.63,942
52.68,943
52.74,944
52.79,945
52.85,946
52.90,947
52.95,948
53.01,949
53.06,950
53.12,951
53.17,952
53.22,953
53.28,954
53.33,955
53.39,956
53.44,957
53.49,958
53.55,959
53.60,960
53.66,961
53.71,962
53.77,963
53.82,964
53.87,965
53.93,966
53.98,967
