performance,points
7460.00,1400
7466.00,1399
7471.00,1398
7477.00,1397
7482.00,1396
7488.00,1395
7493.00,1394
7499.00,1393
7504.00,1392
7510.00,1391
7515.00,1390
7521.00,1389
7526.00,1388
7532.00,1387
7537.00,1386
7543.00,1385
7548.00,1384
7554.00,1383
7559.00,1382
7565.00,1381
7570.00,1380
7576.00,1379
7581.00,1378
7587.00,1377
7592.00,1376
7598.00,1375
7603.00,1374
7609.00,1373
7614.00,1372
7620.00,1371
7625.00,1370
7631.00,1369
7637.00,1368
7642.00,1367
7648.00,1366
7653.00,1365
7659.00,1364
7664.00,1363
7670.00,1362
7675.00,1361
7681.00,1360
7686.00,1359
7692.00,1358
7698.00,1357
7703.00,1356
7709.00,1355
7714.00,1354
7720.00,1353
7725.00,1352
7731.00,1351
7737.00,1350
7742.00,1349
7748.00,1348
7753.00,1347
7759.00,1346
7765.00,1345
7770.00,1344
7776.00,1343
7781.00,1342
7787.00,1341
7792.00,1340
7798.00,1339
7804.00,1338
7809.00,1337
7815.00,1336
7821.00,1335
7826.00,1334
7832.00,1333
7837.00,1332
7843.00,1331
7849.00,1330
7854.00,1329
7860.00,1328
7865.00,1327
7871.00,1326
7877.00,1325
7882.00,1324
7888.00,1323
7894.00,1322
7899.00,1321
7905.00,1320
7911.00,1319
7916.00,1318
7922.00,1317
7927.00,1316
7933.00,1315
7939.00,1314
7944.00,1313
7950.00,1312
7956.00,1311
7961.00,1310
7967.00,1309
7973.00,1308
7978.00,1307
7984.00,1306
7990.00,1305
7995.00,1304
8001.00,1303
8007.00,1302
8012.00,1301
8018.00,1300
8024.00,1299
8030.00,1298
8035.00,1297
8041.00,1296
8047.00,1295
8052.00,1294
8058.00,1293
8064.00,1292
8069.00,1291
8075.00,1290
8081.00,1289
8087.00,1288
8092.00,1287
8098.00,1286
8104.00,1285
8109.00,1284
8115.00,1283
8121.00,1282
8127.00,1281
8132.00,1280
8138.00,1279
8144.00,1278
8150.00,1277
8155.00,1276
8161.00,1275
8167.00,1274
8172.00,1273
8178.00,1272
8184.00,1271
8190.00,1270
8195.00,1269
8201.00,1268
8207.00,1267
8213.00,1266
8219.00,1265
8224.00,1264
8230.00,1263
8236.00,1262
8242.00,1261
8247.00,1260
8253.00,1259
8259.00,1258
8265.00,1257
8270.00,1256
8276.00,1255
8282.00,1254
8288.00,1253
8294.00,1252
8299.00,1251
8305.00,1250
8311.00,1249
8317.00,1248
8323.00,1247
8328.00,1246
8334.00,1245
8340.00,1244
8346.00,1243
8352.00,1242
8357.00,1241
8363.00,1240
8369.00,1239
8375.00,1238
8381.00,1237
8387.00,1236
8392.00,1235
8398.00,1234
8404.00,1233
8410.00,1232
8416.00,1231
8422.00,1230
8427.00,1229
8433.00,1228
8439.00,1227
8445.00,1226
8451.00,1225
8457.00,1224
8463.00,1223
8468.00,1222
8474.00,1221
8480.00,1220
8486.00,1219
8492.00,1218
8498.00,1217
8504.00,1216
8510.00,1215
8515.00,1214
8521.00,1213
8527.00,1212
8533.00,1211
8539.00,1210
8545.00,1209
8551.00,1208
8557.00,1207
8563.00,1206
8569.00,1205
8574.00,1204
8580.00,1203
8586.00,1202
8592.00,1201
8598.00,1200
8604.00,1199
8610.00,1198
8616.00,1197
8622.00,1196
8628.00,1195
8634.00,1194
8640.00,1193
8645.00,1192
8651.00,1191
8657.00,1190
8663.00,1189
8669.00,1188
8675.00,1187
8681.00,1186
8687.00,1185
8693.00,1184
8699.00,1183
8705.00,1182
8711.00,1181
8717.00,1180
8723.00,1179
8729.00,1178
8735.00,1177
8741.00,1176
8747.00,1175
8753.00,1174
8759.00,1173
8765.00,1172
8771.00,1171
8777.00,1170
8783.00,1169
8789.00,1168
8795.00,1167
8801.00,1166
8807.00,1165
8813.00,1164
8819.00,1163
8825.00,1162
8831.00,1161
8837.00,1160
8843.00,1159
8849.00,1158
8855.00,1157
8861.00,1156
8867.00,1155
8873.00,1154
8879.00,1153
8885.00,1152
8891.00,1151
8897.00,1150
8903.00,1149
8909.00,1148
8915.00,1147
8921.00,1146
8927.00,1145
8933.00,1144
8939.00,1143
8946.00,1142
8952.00,1141
8958.00,1140
8964.00,1139
8970.00,1138
8976.00,1137
8982.00,1136
8988.00,1135
8994.00,1134
9000.00,1133
9006.00,1132
9012.00,1131
9018.00,1130
9025.00,1129
9031.00,1128
9037.00,1127
9043.00,1126
9049.00,1125
9055.00,1124
9061.00,1123
9067.00,1122
9073.00,1121
9080.00,1120
9086.00,1119
9092.00,1118
9098.00,1117
9104.00,1116
9110.00,1115
9116.00,1114
9123.00,1113
9129.00,1112
9135.00,1111
9141.00,1110
9147.00,1109
9153.00,1108
9159.00,1107
9166.00,1106
9172.00,1105
9178.00,1104
9184.00,1103
9190.00,1102
9196.00,1101
9203.00,1100
9209.00,1099
9215.00,1098
9221.00,1097
9227.00,1096
9234.00,1095
9240.00,1094
9246.00,1093
9252.00,1092
9258.00,1091
9265.00,1090
9271.00,1089
9277.00,1088
9283.00,1087
9289.00,1086
9296.00,1085
9302.00,1084
9308.00,1083
9314.00,1082
9321.00,1081
9327.00,1080
9333.00,1079
9339.00,1078
9346.00,1077
9352.00,1076
9358.00,1075
9364.00,1074
9371.00,1073
9377.00,1072
9383.00,1071
9389.00,1070
9396.00,1069
9402.00,1068
9408.00,1067
9414.00,1066
9421.00,1065
9427.00,1064
9433.00,1063
9440.00,1062
9446.00,1061
9452.00,1060
9458.00,1059
9465.00,1058
9471.00,1057
9477.00,1056
9484.00,1055
9490.00,1054
9496.00,1053
9503.00,1052
9509.00,1051
9515.00,1050
9522.00,1049
9528.00,1048
9534.00,1047
9541.00,1046
9547.00,1045
9553.00,1044
9560.00,1043
9566.00,1042
9572.00,1041
9579.00,1040
9585.00,1039
9591.00,1038
9598.00,1037
9604.00,1036
9611.00,1035
9617.00,1034
9623.00,1033
9630.00,1032
9636.00,1031
9642.00,1030
9649.00,1029
9655.00,1028
9662.00,1027
9668.00,1026
9674.00,1025
9681.00,1024
9687.00,1023
9694.00,1022
9700.00,1021
9706.00,1020
9713.00,1019
9719.00,1018
9726.00,1017
9732.00,1016
9739.00,1015
9745.00,1014
9751.00,1013
9758.00,1012
9764.00,1011
9771.00,1010
9777.00,1009
9784.00,1008
9790.00,1007
9797.00,1006
9803.00,1005
9810.00,1004
9816.00,1003
9822.00,1002
9829.00,1001
9835.00,1000
9842.00,999
9848.00,998
9855.00,997
9861.00,996
9868.00,995
9874.00,994
9881.00,993
9887.00,992
9894.00,991
9900.00,990
9907.00,989
9913.00,988
9920.00,987
9926.00,986
9933.00,985
9940.00,984
9946.00,983
9953.00,982
9959.00,981
9966.00,980
9972.00,979
9979.00,978
9985.00,977
9992.00,976
9999.00,975
10005.00,974
10012.00,973
10018.00,972
10025.00,971
10031.00,970
10038.00,969
10045.00,968
10051.00,967
10058.00,966
10064.00,965
10071.00,964
10078.00,963
10084.00,962
10091.00,961
10097.00,960
10104.00,959
10111.00,958
10117.00,957
10124.00,956
10130.00,955
10137.00,954
10144.00,953
10150.00,952
10157.00,951
10164.00,950
10170.00,949
10177.00,948
10184.00,947
10190.00,946
10197.00,945
10204.00,944
10210.00,943
10217.00,942
10224.00,941
10230.00,940
10237.00,939
10244.00,938
10250.00,937
10257.00,936
10264.00,935
10271.00,934
10277.00,933
10284.00,932
10291.00,931
10297.00,930
10304.00,929
10311.00,928
10318.00,927
10324.00,926
10331.00,925
10338.00,924
10345.00,923
10351.00,922
10358.00,921
10365.00,920
10372.00,919
10378.00,918
10385.00,917
10392.00,916
10399.00,915
10405.00,914
10412.00,913
10419.00,912
10426.00,911
10433.00,910
10439.00,909
10446.00,908
10453.00,907
10460.00,906
10467.00,905
10473.00,904
10480.00,903
10487.00,902
10494.00,901
10501.00,900
10508.00,899
10514.00,898
10521.00,897
10528.00,896
10535.00,895
10542.00,894
10549.00,893
10555.00,892
10562.00,891
10569.00,890
10576.00,889
10583.00,888
10590.00,887
10597.00,886
10604.00,885
10611.00,884
10617.00,883
10624.00,882
10631.00,881
10638.00,880
10645.00,879
10652.00,878
10659.00,877
10666.00,876
10673.00,875
10680.00,874
10687.00,873
10694.00,872
10700.00,871
10707.00,870
10714.00,869
10721.00,868
10728.00,867
10735.00,866
10742.00,865
10749.00,864
10756.00,863
10763.00,862
10770.00,861
10777.00,860
10784.00,859
10791.00,858
10798.00,857
10805.00,856
10812.00,855
10819.00,854
10826.00,853
10833.00,852
10840.00,851
10847.00,850
10854.00,849
10861.00,848
10868.00,847
10875.00,846
10882.00,845
10889.00,844
10897.00,843
10904.00,842
10911.00,841
10918.00,840
10925.00,839
10932.00,838
10939.00,837
10946.00,836
10953.00,835
10960.00,834
10967.00,833
10974.00,832
10982.00,831
10989.00,830
10996.00,829
11003.00,828
11010.00,827
11017.00,826
11024.00,825
11031.00,824
11039.00,823
11046.00,822
11053.00,821
11060.00,820
11067.00,819
11074.00,818
11082.00,817
11089.00,816
11096.00,815
11103.00,814
11110.00,813
11117.00,812
11125.00,811
11132.00,810
11139.00,809
11146.00,808
11153.00,807
11161.00,806
11168.00,805
11175.00,804
11182.00,803
11190.00,802
11197.00,801
11204.00,800
11211.00,799
11219.00,798
11226.00,797
11233.00,796
11240.00,795
11248.00,794
11255.00,793
11262.00,792
11269.00,791
11277.00,790
11284.00,789
11291.00,788
11299.00,787
11306.00,786
11313.00,785
11321.00,784
11328.00,783
11335.00,782
11343.00,781
11350.00,780
11357.00,779
11365.00,778
11372.00,777
11379.00,776
11387.00,775
11394.00,774
11401.00,773
11409.00,772
11416.00,771
11424.00,770
11431.00,769
11438.00,768
11446.00,767
11453.00,766
11461.00,765
11468.00,764
11475.00,763
11483.00,762
11490.00,761
11498.00,760
11505.00,759
11513.00,758
11520.00,757
11527.00,756
11535.00,755
11542.00,754
11550.00,753
11557.00,752
11565.00,751
11572.00,750
11580.00,749
11587.00,748
11595.00,747
11602.00,746
11610.00,745
11617.00,744
11625.00,743
11632.00,742
11640.00,741
11647.00,740
11655.00,739
11662.00,738
11670.00,737
11678.00,736
11685.00,735
11693.00,734
11700.00,733
11708.00,732
11715.00,731
11723.00,730
11731.00,729
11738.00,728
11746.00,727
11753.00,726
11761.00,725
11769.00,724
11776.00,723
11784.00,722
11791.00,721
11799.00,720
11807.00,719
11814.00,718
11822.00,717
11830.00,716
11837.00,715
11845.00,714
11853.00,713
11860.00,712
11868.00,711
11876.00,710
11883.00,709
11891.00,708
11899.00,707
11907.00,706
11914.00,705
11922.00,704
11930.00,703
11937.00,702
11945.00,701
11953.00,700
11961.00,699
11968.00,698
11976.00,697
11984.00,696
11992.00,695
12000.00,694
12007.00,693
12015.00,692
12023.00,691
12031.00,690
12039.00,689
12046.00,688
12054.00,687
12062.00,686
12070.00,685
12078.00,684
12085.00,683
12093.00,682
12101.00,681
12109.00,680
12117.00,679
12125.00,678
12133.00,677
12141.00,676
12148.00,675
12156.00,674
12164.00,673
12172.00,672
12180.00,671
12188.00,670
12196.00,669
12204.00,668
12212.00,667
12220.00,666
12228.00,665
12236.00,664
12244.00,663
12251.00,662
12259.00,661
12267.00,660
12275.00,659
12283.00,658
12291.00,657
12299.00,656
12307.00,655
12315.00,654
12323.00,653
12331.00,652
12339.00,651
12348.00,650
12356.00,649
12364.00,648
12372.00,647
12380.00,646
12388.00,645
12396.00,644
12404.00,643
12412.00,642
12420.00,641
12428.00,640
12436.00,639
12444.00,638
12453.00,637
12461.00,636
12469.00,635
12477.00,634
12485.00,633
12493.00,632
12501.00,631
12510.00,630
12518.00,629
12526.00,628
12534.00,627
12542.00,626
12550.00,625
12559.00,624
12567.00,623
12575.00,622
12583.00,621
12592.00,620
12600.00,619
12608.00,618
12616.00,617
12625.00,616
12633.00,615
12641.00,614
12649.00,613
12658.00,612
12666.00,611
12674.00,610
12683.00,609
12691.00,608
12699.00,607
12707.00,606
12716.00,605
12724.00,604
12732.00,603
12741.00,602
12749.00,601
12758.00,600
12766.00,599
12774.00,598
12783.00,597
12791.00,596
12800.00,595
12808.00,594
12816.00,593
12825.00,592
12833.00,591
12842.00,590
12850.00,589
12858.00,588
12867.00,587
12875.00,586
12884.00,585
12892.00,584
12901.00,583
12909.00,582
12918.00,581
12926.00,580
12935.00,579
12943.00,578
12952.00,577
12960.00,576
12969.00,575
12978.00,574
12986.00,573
12995.00,572
13003.00,571
13012.00,570
13020.00,569
13029.00,568
13038.00,567
13046.00,566
13055.00,565
13063.00,564
13072.00,563
13081.00,562
13089.00,561
13098.00,560
13107.00,559
13115.00,558
13124.00,557
13133.00,556
13141.00,555
13150.00,554
13159.00,553
13168.00,552
13176.00,551
13185.00,550
13194.00,549
13203.00,548
13211.00,547
13220.00,546
13229.00,545
13238.00,544
13246.00,543
13255.00,542
13264.00,541
13273.00,540
13282.00,539
13291.00,538
13299.00,537
13308.00,536
13317.00,535
13326.00,534
13335.00,533
13344.00,532
13353.00,531
13362.00,530
13370.00,529
13379.00,528
13388.00,527
13397.00,526
13406.00,525
13415.00,524
13424.00,523
13433.00,522
13442.00,521
13451.00,520
13460.00,519
13469.00,518
13478.00,517
13487.00,516
13496.00,515
13505.00,514
13514.00,513
13523.00,512
13532.00,511
13541.00,510
13550.00,509
13559.00,508
13569.00,507
13578.00,506
13587.00,505
13596.00,504
13605.00,503
13614.00,502
13623.00,501
13633.00,500
13642.00,499
13651.00,498
13660.00,497
13669.00,496
13678.00,495
13688.00,494
13697.00,493
13706.00,492
13715.00,491
13725.00,490
13734.00,489
13743.00,488
13752.00,487
13762.00,486
13771.00,485
