performance,points
0.74,1
0.75,4
0.76,7
0.77,9
0.78,12
0.79,15
0.80,18
0.81,21
0.82,23
0.83,26
0.84,29
0.85,32
0.86,35
0.87,38
0.88,40
0.89,43
0.90,46
0.91,49
0.92,52
0.93,55
0.94,57
0.95,60
0.96,63
0.97,66
0.98,69
0.99,71
1.00,74
1.01,77
1.02,80
1.03,83
1.04,86
1.05,88
1.06,91
1.07,94
1.08,97
1.09,100
1.10,103
1.11,106
1.12,108
1.13,111
1.14,114
1.15,117
1.16,120
1.17,123
1.18,125
1.19,128
1.20,131
1.21,134
1.22,137
1.23,140
1.24,143
1.25,145
1.26,148
1.27,151
1.28,154
1.29,157
1.30,160
1.31,163
1.32,165
1.33,168
1.34,171
1.35,174
1.36,177
1.37,180
1.38,183
1.39,185
1.40,188
1.41,191
1.42,194
1.43,197
1.44,200
1.45,203
1.46,205
1.47,208
1.48,211
1.49,214
1.50,217
1.51,220
1.52,223
1.53,226
1.54,228
1.55,231
1.56,234
1.57,237
1.58,240
1.59,243
1.60,246
1.61,249
1.62,251
1.63,254
1.64,257
1.65,260
1.66,263
1.67,266
1.68,269
1.69,272
1.70,275
1.71,277
1.72,280
1.73,283
1.74,286
1.75,289
1.76,292
1.77,295
1.78,298
1.79,301
1.80,303
1.81,306
1.82,309
1.83,312
1.84,315
1.85,318
1.86,321
1.87,324
1.88,327
1.89,330
1.90,332
1.91,335
1.92,338
1.93,341
1.94,344
1.95,347
1.96,350
1.97,353
1.98,356
1.99,359
2.00,362
2.01,364
2.02,367
2.03,370
2.04,373
2.05,376
2.06,379
2.07,382
2.08,385
2.09,388
2.10,391
2.11,394
2.12,397
2.13,399
2.14,402
2.15,405
2.16,408
2.17,411
2.18,414
2.19,417
2.20,420
2.21,423
2.22,426
2.23,429
2.24,432
2.25,435
2.26,438
2.27,440
2.28,443
2.29,446
2.30,449
2.31,452
2.32,455
2.33,458
2.34,461
2.35,464
2.36,467
2.37,470
2.38,473
2.39,476
2.40,479
2.41,482
2.42,485
2.43,487
2.44,490
2.45,493
2.46,496
2.47,499
2.48,502
2.49,505
2.50,508
2.51,511
2.52,514
2.53,517
2.54,520
2.55,523
2.56,526
2.57,529
2.58,532
2.59,535
2.60,538
2.61,541
2.62,544
2.63,547
2.64,550
2.65,552
2.66,555
2.67,558
2.68,561
2.69,564
2.70,567
2.71,570
2.72,573
2.73,576
2.74,579
2.75,582
2.76,585
2.77,588
2.78,591
2.79,594
2.80,597
2.81,600
2.82,603
2.83,606
2.84,609
2.85,612
2.86,615
2.87,618
2.88,621
2.89,624
2.90,627
2.91,630
2.92,633
2.93,636
2.94,639
2.95,642
2.96,645
2.97,648
2.98,651
2.99,654
3.00,657
3.01,660
3.02,663
3.03,666
3.04,669
3.05,672
3.06,675
3.07,678
3.08,681
3.09,684
3.10,687
3.11,690
3.12,693
3.13,696
3.14,699
3.15,702
3.16,705
3.17,708
3.18,711
3.19,714
3.20,717
3.21,720
3.22,723
3.23,726
3.24,729
3.25,732
3.26,735
3.27,738
3.28,741
3.29,744
3.30,747
3.31,750
3.32,753
3.33,756
3.34,759
3.35,762
3.36,765
3.37,768
3.38,771
3.39,774
3.40,777
3.41,780
3.42,783
3.43,786
3.44,789
3.45,792
3.46,795
