performance,points
2.54,1
2.56,2
2.57,3
2.58,4
2.59,5
2.60,6
2.61,7
2.62,8
2.63,9
2.64,10
2.65,11
2.66,12
2.67,13
2.69,14
2.70,15
2.71,16
2.72,17
2.73,18
2.74,19
2.75,20
2.76,21
2.77,22
2.78,23
2.79,24
2.80,25
2.81,26
2.83,27
2.84,28
2.85,29
2.86,30
2.87,31
2.88,32
2.89,33
2.90,34
2.91,35
2.92,36
2.93,37
2.94,38
2.95,39
2.97,40
2.98,41
2.99,42
3.00,43
3.01,44
3.02,45
3.03,46
3.04,47
3.05,48
3.06,49
3.07,50
3.08,51
3.09,52
3.11,53
3.12,54
3.13,55
3.14,56
3.15,57
3.16,58
3.17,59
3.18,60
3.19,61
3.20,62
3.21,63
3.22,64
3.23,65
3.25,66
3.26,67
3.27,68
3.28,69
3.29,70
3.30,71
3.31,72
3.32,73
3.33,74
3.34,75
3.35,76
3.36,77
3.37,78
3.38,79
3.40,80
3.41,81
3.42,82
3.43,83
3.44,84
3.45,85
3.46,86
3.47,87
3.48,88
3.49,89
3.50,90
3.51,91
3.52,92
3.53,93
3.55,94
3.56,95
3.57,96
3.58,97
3.59,98
3.60,99
3.61,100
3.62,101
3.63,102
3.64,103
3.65,104
3.66,105
3.67,106
3.68,107
3.69,108
3.71,109
3.72,110
3.73,111
3.74,112
3.75,113
3.76,114
3.77,115
3.78,116
3.79,117
3.80,118
3.81,119
3.82,120
3.83,121
3.84,122
3.86,123
3.87,124
3.88,125
3.89,126
3.90,127
3.91,128
3.92,129
3.93,130
3.94,131
3.95,132
3.96,133
3.97,134
3.98,135
3.99,136
4.00,137
4.02,138
4.03,139
4.04,140
4.05,141
4.06,142
4.07,143
4.08,144
4.09,145
4.10,146
4.11,147
4.12,148
4.13,149
4.14,150
4.15,151
4.16,152
4.18,153
4.19,154
4.20,155
4.21,156
4.22,157
4.23,158
4.24,159
4.25,160
4.26,161
4.27,162
4.28,163
4.29,164
4.30,165
4.31,166
4.32,167
4.33,168
4.35,169
4.36,170
4.37,171
4.38,172
4.39,173
4.40,174
4.41,175
4.42,176
4.43,177
4.44,178
4.45,179
4.46,180
4.47,181
4.48,182
4.49,183
4.50,184
4.52,185
4.53,186
4.54,187
4.55,188
4.56,189
4.57,190
4.58,191
4.59,192
4.60,193
4.61,194
4.62,195
4.63,196
4.64,197
4.65,198
4.66,199
4.67,200
4.68,201
4.70,202
4.71,203
4.72,204
4.73,205
4.74,206
4.75,207
4.76,208
4.77,209
4.78,210
4.79,211
4.80,212
4.81,213
4.82,214
4.83,215
4.84,216
4.85,217
4.86,218
4.88,219
4.89,220
4.90,221
4.91,222
4.92,223
4.93,224
4.94,225
4.95,226
4.96,227
4.97,228
4.98,229
4.99,230
5.00,231
5.01,232
5.02,233
5.03,234
5.04,235
5.05,236
5.07,237
5.08,238
5.09,239
5.10,240
5.11,241
5.12,242
5.13,243
5.14,244
5.15,245
5.16,246
5.17,247
5.18,248
5.19,249
5.20,250
5.21,251
5.22,252
5.23,253
5.24,254
5.26,255
5.27,256
5.28,257
5.29,258
5.30,259
5.31,260
5.32,261
5.33,262
5.34,263
5.35,264
5.36,265
5.37,266
5.38,267
5.39,268
5.40,269
5.41,270
5.42,271
5.43,272
5.44,273
5.46,274
5.47,275
5.48,276
5.49,277
5.50,278
5.51,279
5.52,280
5.53,281
5.54,282
5.55,283
5.56,284
5.57,285
5.58,286
5.59,287
