performance,points
2500.00,1400
2501.00,1399
2502.00,1398
2503.00,1397
2504.00,1396
2505.00,1395
2506.00,1394
2507.00,1393
2508.00,1392
2509.00,1391
2510.00,1390
2511.00,1389
2512.00,1388
2513.00,1387
2514.00,1386
2515.00,1385
2516.00,1384
2517.00,1383
2518.00,1382
2519.00,1381
2520.00,1380
2521.00,1379
2522.00,1378
2523.00,1377
2524.00,1376
2525.00,1375
2526.00,1374
2527.00,1373
2528.00,1372
2529.00,1371
2530.00,1370
2531.00,1369
2532.00,1368
2533.00,1367
2534.00,1366
2535.00,1365
2536.00,1364
2537.00,1363
2538.00,1362
2539.00,1361
2540.00,1360
2541.00,1359
2542.00,1358
2543.00,1357
2544.00,1356
2545.00,1355
2546.00,1354
2547.00,1353
2548.00,1352
2549.00,1351
2550.00,1350
2551.00,1349
2552.00,1348
2553.00,1347
2554.00,1346
2555.00,1345
2556.00,1344
2557.00,1343
2558.00,1342
2559.00,1341
2560.00,1340
2561.00,1339
2562.00,1338
2563.00,1337
2564.00,1336
2565.00,1335
2566.00,1334
2567.00,1333
2568.00,1332
2569.00,1331
2570.00,1330
2571.00,1329
2572.00,1328
2573.00,1327
2574.00,1326
2575.00,1325
2576.00,1324
2577.00,1323
2578.00,1322
2579.00,1321
2580.00,1320
2581.00,1319
2582.00,1318
2583.00,1317
2584.00,1316
2585.00,1315
2586.00,1314
2587.00,1313
2588.00,1312
2589.00,1311
2590.00,1310
2591.00,1309
2592.00,1308
2593.00,1307
2594.00,1306
2595.00,1305
2596.00,1304
2597.00,1303
2598.00,1302
2599.00,1301
2600.00,1300
2601.00,1299
2602.00,1298
2603.00,1297
2604.00,1296
2605.00,1295
2606.00,1294
2607.00,1293
2608.00,1292
2609.00,1291
2610.00,1290
2611.00,1289
2612.00,1288
2613.00,1287
2614.00,1286
2615.00,1285
2616.00,1284
2617.00,1283
2618.00,1282
2620.00,1281
2621.00,1280
2622.00,1279
2623.00,1278
2624.00,1277
2625.00,1276
2626.00,1275
2627.00,1274
2628.00,1273
2629.00,1272
2630.00,1271
2631.00,1270
2632.00,1269
2633.00,1268
2634.00,1267
2635.00,1266
2636.00,1265
2637.00,1264
2638.00,1263
2639.00,1262
2640.00,1261
2641.00,1260
2642.00,1259
2643.00,1258
2644.00,1257
2645.00,1256
2646.00,1255
2647.00,1254
2648.00,1253
2649.00,1252
2650.00,1251
2652.00,1250
2653.00,1249
2654.00,1248
2655.00,1247
2656.00,1246
2657.00,1245
2658.00,1244
2659.00,1243
2660.00,1242
2661.00,1241
2662.00,1240
2663.00,1239
2664.00,1238
2665.00,1237
2666.00,1236
2667.00,1235
2668.00,1234
2669.00,1233
2670.00,1232
2671.00,1231
2672.00,1230
2673.00,1229
2674.00,1228
2676.00,1227
2677.00,1226
