performance,points
2323.00,1400
2324.00,1399
2325.00,1398
2326.00,1397
2327.00,1395
2328.00,1394
2329.00,1393
2330.00,1392
2331.00,1391
2332.00,1390
2333.00,1389
2334.00,1388
2335.00,1387
2336.00,1386
2337.00,1384
2338.00,1383
2339.00,1382
2340.00,1381
2341.00,1380
2342.00,1379
2343.00,1378
2344.00,1377
2345.00,1376
2346.00,1375
2347.00,1374
2348.00,1372
2349.00,1371
2350.00,1370
2351.00,1369
2352.00,1368
2353.00,1367
2354.00,1366
2355.00,1365
2356.00,1364
2357.00,1363
2358.00,1362
2359.00,1360
2360.00,1359
2361.00,1358
2362.00,1357
2363.00,1356
2364.00,1355
2365.00,1354
2366.00,1353
2367.00,1352
2368.00,1351
2369.00,1350
2370.00,1349
2371.00,1348
2372.00,1346
2373.00,1345
2374.00,1344
2375.00,1343
2376.00,1342
2377.00,1341
2378.00,1340
2379.00,1339
2380.00,1338
2381.00,1337
2382.00,1336
2383.00,1335
2384.00,1334
2385.00,1332
2386.00,1331
2387.00,1330
2388.00,1329
2389.00,1328
2390.00,1327
2391.00,1326
2392.00,1325
2393.00,1324
2394.00,1323
2395.00,1322
2396.00,1321
2397.00,1320
2398.00,1319
2399.00,1317
2400.00,1316
2401.00,1315
2402.00,1314
2403.00,1313
2404.00,1312
2405.00,1311
2406.00,1310
2407.00,1309
2408.00,1308
2409.00,1307
2410.00,1306
2411.00,1305
2412.00,1304
2413.00,1303
2414.00,1301
2415.00,1300
2416.00,1299
2417.00,1298
2418.00,1297
2419.00,1296
2420.00,1295
2421.00,1294
2422.00,1293
2423.00,1292
2424.00,1291
2425.00,1290
2426.00,1289
2427.00,1288
2428.00,1287
2429.00,1286
2430.00,1285
2431.00,1284
2432.00,1282
2433.00,1281
2434.00,1280
2435.00,1279
2436.00,1278
2437.00,1277
2438.00,1276
2439.00,1275
2440.00,1274
2441.00,1273
2442.00,1272
2443.00,1271
2444.00,1270
2445.00,1269
2446.00,1268
2447.00,1267
2448.00,1266
2449.00,1265
2450.00,1264
2451.00,1263
2452.00,1261
2453.00,1260
2454.00,1259
2455.00,1258
2456.00,1257
2457.00,1256
2458.00,1255
2459.00,1254
2460.00,1253
2461.00,1252
2462.00,1251
2463.00,1250
2464.00,1249
2465.00,1248
2466.00,1247
2467.00,1246
2468.00,1245
2469.00,1244
2470.00,1243
2471.00,1242
2472.00,1241
2473.00,1240
2474.00,1239
2475.00,1238
2476.00,1237
2477.00,1235
2478.00,1234
2479.00,1233
2480.00,1232
2481.00,1231
2482.00,1230
2483.00,1229
2484.00,1228
2485.00,1227
2486.00,1226
2487.00,1225
2488.00,1224
2489.00,1223
2490.00,1222
2491.00,1221
2492.00,1220
2493.00,1219
2494.00,1218
2495.00,1217
2496.00,1216
2497.00,1215
2498.00,1214
2499.00,1213
2500.00,1212
2501.00,1211
2502.00,1210
2503.00,1209
2504.00,1208
2505.00,1207
2506.00,1206
2507.00,1205
2508.00,1204
2509.00,1203
2510.00,1202
2511.00,1201
2512.00,1200
2513.00,1199
2514.00,1198
2515.00,1197
2516.00,1195
2517.00,1194
2518.00,1193
2519.00,1192
2520.00,1191
2521.00,1190
2522.00,1189
2523.00,1188
2524.00,1187
2525.00,1186
2526.00,1185
2527.00,1184
2528.00,1183
2529.00,1182
2530.00,1181
2531.00,1180
2532.00,1179
2533.00,1178
2534.00,1177
2535.00,1176
2536.00,1175
2537.00,1174
2538.00,1173
2539.00,1172
2540.00,1171
2541.00,1170
2542.00,1169
2543.00,1168
2544.00,1167
2545.00,1166
2546.00,1165
2547.00,1164
2548.00,1163
2549.00,1162
2550.00,1161
2551.00,1160
2552.00,1159
2553.00,1158
2554.00,1157
2555.00,1156
2556.00,1155
2557.00,1154
2558.00,1153
2559.00,1152
2560.00,1151
2561.00,1150
2562.00,1149
2563.00,1148
2564.00,1147
2565.00,1146
2566.00,1145
2567.00,1144
2568.00,1143
2569.00,1142
2570.00,1141
2571.00,1140
2572.00,1139
2573.00,1138
2574.00,1137
2575.00,1136
2576.00,1135
2577.00,1134
2578.00,1133
2579.00,1132
2580.00,1131
2581.00,1130
2582.00,1129
2583.00,1128
2584.00,1127
2585.00,1126
2586.00,1125
2587.00,1124
2588.00,1123
2589.00,1122
2590.00,1121
2591.00,1120
2592.00,1119
2593.00,1118
2595.00,1117
2596.00,1116
2597.00,1115
2598.00,1114
2599.00,1113
2600.00,1112
2601.00,1111
2602.00,1110
2603.00,1109
2604.00,1108
2605.00,1107
2606.00,1106
2607.00,1105
2608.00,1104
2609.00,1103
2610.00,1102
2611.00,1101
2612.00,1100
2613.00,1099
2614.00,1098
2615.00,1097
2616.00,1096
2617.00,1095
2618.00,1094
2619.00,1093
2620.00,1092
2621.00,1091
2622.00,1090
2623.00,1089
2624.00,1088
2625.00,1087
2626.00,1086
2627.00,1085
2628.00,1084
2629.00,1083
2630.00,1082
2631.00,1081
2632.00,1080
2634.00,1079
2635.00,1078
2636.00,1077
2637.00,1076
2638.00,1075
2639.00,1074
2640.00,1073
2641.00,1072
2642.00,1071
2643.00,1070
2644.00,1069
2645.00,1068
2646.00,1067
2647.00,1066
2648.00,1065
2649.00,1064
2650.00,1063
2651.00,1062
2652.00,1061
2653.00,1060
2654.00,1059
2655.00,1058
2656.00,1057
2657.00,1056
2658.00,1055
2660.00,1054
2661.00,1053
2662.00,1052
2663.00,1051
2664.00,1050
2665.00,1049
2666.00,1048
2667.00,1047
2668.00,1046
2669.00,1045
2670.00,1044
2671.00,1043
2672.00,1042
2673.00,1041
2674.00,1040
2675.00,1039
2676.00,1038
2677.00,1037
2678.00,1036
2680.00,1035
2681.00,1034
2682.00,1033
2683.00,1032
2684.00,1031
2685.00,1030
2686.00,1029
2687.00,1028
2688.00,1027
2689.00,1026
2690.00,1025
2691.00,1024
2692.00,1023
2693.00,1022
2694.00,1021
2695.00,1020
2697.00,1019
2698.00,1018
2699.00,1017
2700.00,1016
2701.00,1015
2702.00,1014
2703.00,1013
2704.00,1012
2705.00,1011
2706.00,1010
2707.00,1009
2708.00,1008
2709.00,1007
2710.00,1006
2711.00,1005
2713.00,1004
2714.00,1003
2715.00,1002
2716.00,1001
2717.00,1000
2718.00,999
2719.00,998
2720.00,997
2721.00,996
2722.00,995
2723.00,994
2724.00,993
2725.00,992
2727.00,991
2728.00,990
2729.00,989
2730.00,988
2731.00,987
2732.00,986
2733.00,985
2734.00,984
2735.00,983
2736.00,982
2737.00,981
2738.00,980
2740.00,979
2741.00,978
2742.00,977
2743.00,976
2744.00,975
2745.00,974
2746.00,973
2747.00,972
2748.00,971
2749.00,970
2750.00,969
2752.00,968
2753.00,967
2754.00,966
2755.00,965
2756.00,964
2757.00,963
2758.00,962
2759.00,961
2760.00,960
2761.00,959
2762.00,958
2764.00,957
2765.00,956
2766.00,955
2767.00,954
2768.00,953
2769.00,952
2770.00,951
2771.00,950
2772.00,949
2774.00,948
2775.00,947
2776.00,946
2777.00,945
2778.00,944
