performance,points
4245.00,1400
4247.00,1399
4250.00,1398
4253.00,1397
4255.00,1396
4258.00,1395
4260.00,1394
4263.00,1393
4265.00,1392
4268.00,1391
4270.00,1390
4273.00,1389
4276.00,1388
4278.00,1387
4281.00,1386
4283.00,1385
4286.00,1384
4288.00,1383
4291.00,1382
4294.00,1381
4296.00,1380
4299.00,1379
4301.00,1378
4304.00,1377
4306.00,1376
4309.00,1375
4312.00,1374
4314.00,1373
4317.00,1372
4319.00,1371
4322.00,1370
4325.00,1369
4327.00,1368
4330.00,1367
4332.00,1366
4335.00,1365
4337.00,1364
4340.00,1363
4343.00,1362
4345.00,1361
4348.00,1360
4350.00,1359
4353.00,1358
4356.00,1357
4358.00,1356
4361.00,1355
4363.00,1354
4366.00,1353
4369.00,1352
4371.00,1351
4374.00,1350
4376.00,1349
4379.00,1348
4382.00,1347
4384.00,1346
4387.00,1345
4389.00,1344
4392.00,1343
4395.00,1342
4397.00,1341
4400.00,1340
4403.00,1339
4405.00,1338
4408.00,1337
4410.00,1336
4413.00,1335
4416.00,1334
4418.00,1333
4421.00,1332
4423.00,1331
4426.00,1330
4429.00,1329
4431.00,1328
4434.00,1327
4437.00,1326
4439.00,1325
4442.00,1324
4444.00,1323
4447.00,1322
4450.00,1321
4452.00,1320
4455.00,1319
4458.00,1318
4460.00,1317
4463.00,1316
4465.00,1315
4468.00,1314
4471.00,1313
4473.00,1312
4476.00,1311
4479.00,1310
4481.00,1309
4484.00,1308
4487.00,1307
4489.00,1306
4492.00,1305
4495.00,1304
4497.00,1303
4500.00,1302
4503.00,1301
4505.00,1300
4508.00,1299
4510.00,1298
4513.00,1297
4516.00,1296
4518.00,1295
4521.00,1294
4524.00,1293
4526.00,1292
4529.00,1291
4532.00,1290
4534.00,1289
4537.00,1288
4540.00,1287
4542.00,1286
4545.00,1285
4548.00,1284
4550.00,1283
4553.00,1282
4556.00,1281
4558.00,1280
4561.00,1279
4564.00,1278
4566.00,1277
4569.00,1276
4572.00,1275
4574.00,1274
4577.00,1273
4580.00,1272
4582.00,1271
4585.00,1270
4588.00,1269
4591.00,1268
4593.00,1267
4596.00,1266
4599.00,1265
4601.00,1264
4604.00,1263
4607.00,1262
4609.00,1261
4612.00,1260
4615.00,1259
4617.00,1258
4620.00,1257
4623.00,1256
4626.00,1255
4628.00,1254
4631.00,1253
4634.00,1252
4636.00,1251
4639.00,1250
4642.00,1249
4644.00,1248
4647.00,1247
4650.00,1246
4653.00,1245
4655.00,1244
4658.00,1243
4661.00,1242
4663.00,1241
4666.00,1240
4669.00,1239
4672.00,1238
4674.00,1237
4677.00,1236
4680.00,1235
4682.00,1234
4685.00,1233
4688.00,1232
4691.00,1231
4693.00,1230
4696.00,1229
4699.00,1228
4702.00,1227
4704.00,1226
4707.00,1225
4710.00,1224
4712.00,1223
4715.00,1222
4718.00,1221
4721.00,1220
4723.00,1219
4726.00,1218
4729.00,1217
4732.00,1216
4734.00,1215
4737.00,1214
4740.00,1213
4743.00,1212
4745.00,1211
4748.00,1210
4751.00,1209
4754.00,1208
4756.00,1207
4759.00,1206
4762.00,1205
4765.00,1204
4767.00,1203
4770.00,1202
4773.00,1201
4776.00,1200
4778.00,1199
4781.00,1198
4784.00,1197
4787.00,1196
4789.00,1195
4792.00,1194
4795.00,1193
4798.00,1192
4801.00,1191
4803.00,1190
4806.00,1189
4809.00,1188
4812.00,1187
4814.00,1186
4817.00,1185
4820.00,1184
4823.00,1183
4825.00,1182
4828.00,1181
4831.00,1180
4834.00,1179
4837.00,1178
4839.00,1177
4842.00,1176
4845.00,1175
4848.00,1174
4851.00,1173
4853.00,1172
4856.00,1171
4859.00,1170
4862.00,1169
4865.00,1168
4867.00,1167
4870.00,1166
4873.00,1165
4876.00,1164
4879.00,1163
4881.00,1162
4884.00,1161
4887.00,1160
4890.00,1159
4893.00,1158
4895.00,1157
4898.00,1156
4901.00,1155
4904.00,1154
4907.00,1153
4909.00,1152
4912.00,1151
4915.00,1150
4918.00,1149
4921.00,1148
