performance,points
450.46,1400
450.66,1399
450.86,1398
451.07,1397
451.27,1396
451.47,1395
451.68,1394
451.88,1393
452.09,1392
452.29,1391
452.49,1390
452.70,1389
452.90,1388
453.11,1387
453.31,1386
453.52,1385
453.72,1384
453.92,1383
454.13,1382
454.33,1381
454.54,1380
454.74,1379
454.95,1378
455.15,1377
455.36,1376
455.56,1375
455.77,1374
455.97,1373
456.18,1372
456.39,1371
456.59,1370
456.80,1369
457.00,1368
457.21,1367
457.41,1366
457.62,1365
457.83,1364
458.03,1363
458.24,1362
458.45,1361
458.65,1360
458.86,1359
459.06,1358
459.27,1357
459.48,1356
459.68,1355
459.89,1354
460.10,1353
460.30,1352
460.51,1351
460.72,1350
460.93,1349
461.13,1348
461.34,1347
461.55,1346
461.76,1345
461.96,1344
462.17,1343
462.38,1342
462.59,1341
462.79,1340
463.00,1339
463.21,1338
463.42,1337
463.63,1336
463.83,1335
464.04,1334
464.25,1333
464.46,1332
464.67,1331
464.88,1330
465.09,1329
465.29,1328
465.50,1327
465.71,1326
465.92,1325
466.13,1324
466.34,1323
466.55,1322
466.76,1321
466.97,1320
467.18,1319
467.39,1318
467.60,1317
467.81,1316
468.02,1315
468.23,1314
468.44,1313
468.65,1312
468.86,1311
469.07,1310
469.28,1309
469.49,1308
469.70,1307
469.91,1306
470.12,1305
470.33,1304
470.54,1303
470.75,1302
470.96,1301
471.17,1300
471.38,1299
471.60,1298
471.81,1297
472.02,1296
472.23,1295
472.44,1294
472.65,1293
472.86,1292
473.08,1291
473.29,1290
473.50,1289
473.71,1288
473.92,1287
474.14,1286
474.35,1285
474.56,1284
474.77,1283
474.99,1282
475.20,1281
475.41,1280
475.62,1279
475.84,1278
476.05,1277
476.26,1276
476.48,1275
476.69,1274
476.90,1273
477.12,1272
477.33,1271
477.54,1270
477.76,1269
477.97,1268
478.18,1267
478.40,1266
478.61,1265
478.83,1264
479.04,1263
479.25,1262
479.47,1261
479.68,1260
479.90,1259
480.11,1258
480.33,1257
480.54,1256
480.76,1255
480.97,1254
481.19,1253
481.40,1252
481.62,1251
481.83,1250
482.05,1249
482.26,1248
482.48,1247
482.69,1246
482.91,1245
483.12,1244
483.34,1243
483.56,1242
483.77,1241
483.99,1240
484.20,1239
484.42,1238
484.64,1237
484.85,1236
485.07,1235
485.29,1234
485.50,1233
485.72,1232
485.94,1231
486.15,1230
486.37,1229
486.59,1228
486.81,1227
487.02,1226
487.24,1225
487.46,1224
487.68,1223
487.89,1222
488.11,1221
488.33,1220
488.55,1219
488.76,1218
488.98,1217
489.20,1216
489.42,1215
489.64,1214
489.86,1213
490.07,1212
490.29,1211
490.51,1210
490.73,1209
490.95,1208
491.17,1207
491.39,1206
491.61,1205
491.83,1204
492.05,1203
492.27,1202
492.48,1201
492.70,1200
492.92,1199
493.14,1198
493.36,1197
493.58,1196
493.80,1195
494.02,1194
494.24,1193
494.47,1192
494.69,1191
494.91,1190
495.13,1189
495.35,1188
495.57,1187
495.79,1186
496.01,1185
496.23,1184
496.45,1183
496.67,1182
496.90,1181
497.12,1180
497.34,1179
497.56,1178
497.78,1177
498.00,1176
498.23,1175
498.45,1174
498.67,1173
498.89,1172
499.11,1171
499.34,1170
499.56,1169
499.78,1168
500.01,1167
500.23,1166
500.45,1165
500.67,1164
500.90,1163
501.12,1162
501.34,1161
501.57,1160
501.79,1159
502.01,1158
502.24,1157
502.46,1156
502.69,1155
502.91,1154
503.13,1153
503.36,1152
503.58,1151
503.81,1150
504.03,1149
504.26,1148
504.48,1147
504.71,1146
504.93,1145
505.15,1144
505.38,1143
505.61,1142
505.83,1141
506.06,1140
506.28,1139
506.51,1138
506.73,1137
506.96,1136
507.18,1135
507.41,1134
507.64,1133
507.86,1132
508.09,1131
508.31,1130
508.54,1129
508.77,1128
508.99,1127
509.22,1126
509.45,1125
509.68,1124
509.90,1123
510.13,1122
510.36,1121
510.58,1120
510.81,1119
511.04,1118
511.27,1117
511.49,1116
511.72,1115
511.95,1114
512.18,1113
512.41,1112
512.63,1111
512.86,1110
513.09,1109
513.32,1108
513.55,1107
513.78,1106
514.01,1105
514.24,1104
514.46,1103
514.69,1102
514.92,1101
515.15,1100
515.38,1099
515.61,1098
515.84,1097
516.07,1096
516.30,1095
516.53,1094
516.76,1093
516.99,1092
517.22,1091
517.45,1090
517.68,1089
517.91,1088
518.14,1087
518.38,1086
518.61,1085
518.84,1084
519.07,1083
519.30,1082
519.53,1081
519.76,1080
520.00,1079
520.23,1078
520.46,1077
520.69,1076
520.92,1075
521.15,1074
521.39,1073
521.62,1072
521.85,1071
522.08,1070
522.32,1069
522.55,1068
522.78,1067
523.02,1066
523.25,1065
523.48,1064
523.72,1063
523.95,1062
524.18,1061
524.42,1060
524.65,1059
524.88,1058
525.12,1057
525.35,1056
525.59,1055
525.82,1054
526.06,1053
526.29,1052
526.53,1051
526.76,1050
526.99,1049
527.23,1048
527.47,1047
527.70,1046
527.94,1045
528.17,1044
528.41,1043
528.64,1042
528.88,1041
529.11,1040
529.35,1039
529.59,1038
529.82,1037
530.06,1036
530.30,1035
530.53,1034
530.77,1033
531.01,1032
531.24,1031
531.48,1030
531.72,1029
531.95,1028
532.19,1027
532.43,1026
532.67,1025
532.90,1024
533.14,1023
533.38,1022
533.62,1021
533.86,1020
534.10,1019
534.33,1018
534.57,1017
534.81,1016
535.05,1015
535.29,1014
535.53,1013
535.77,1012
536.01,1011
536.25,1010
536.49,1009
536.73,1008
536.97,1007
537.20,1006
537.45,1005
537.69,1004
537.93,1003
538.17,1002
538.41,1001
538.65,1000
538.89,999
539.13,998
539.37,997
539.61,996
539.85,995
540.09,994
540.33,993
540.58,992
540.82,991
541.06,990
541.30,989
541.54,988
541.79,987
542.03,986
542.27,985
542.51,984
542.76,983
543.00,982
543.24,981
543.48,980
543.73,979
543.97,978
544.21,977
544.46,976
544.70,975
544.95,974
545.19,973
545.43,972
545.68,971
545.92,970
546.17,969
546.41,968
546.66,967
546.90,966
547.15,965
547.39,964
547.64,963
547.88,962
548.13,961
548.37,960
548.62,959
548.86,958
549.11,957
549.36,956
549.60,955
549.85,954
550.09,953
550.34,952
550.59,951
550.83,950
551.08,949
551.33,948
551.58,947
551.82,946
552.07,945
552.32,944
552.57,943
552.81,942
553.06,941
553.31,940
553.56,939
553.81,938
554.06,937
554.30,936
554.55,935
554.80,934
555.05,933
555.30,932
555.55,931
555.80,930
556.05,929
556.30,928
556.55,927
556.80,926
557.05,925
557.30,924
557.55,923
557.80,922
558.05,921
558.30,920
558.55,919
558.80,918
559.06,917
559.31,916
559.56,915
559.81,914
560.06,913
560.31,912
560.57,911
560.82,910
561.07,909
561.32,908
561.58,907
561.83,906
562.08,905
562.33,904
562.59,903
562.84,902
563.09,901
563.35,900
563.60,899
563.86,898
564.11,897
564.36,896
564.62,895
564.87,894
565.13,893
565.38,892
565.64,891
565.89,890
566.15,889
566.40,888
566.66,887
566.91,886
567.17,885
567.43,884
567.68,883
567.94,882
568.19,881
568.45,880
568.71,879
568.96,878
569.22,877
569.48,876
569.74,875
569.99,874
570.25,873
570.51,872
570.77,871
571.02,870
571.28,869
571.54,868
571.80,867
572.06,866
572.32,865
572.57,864
572.83,863
573.09,862
573.35,861
573.61,860
573.87,859
574.13,858
574.39,857
574.65,856
574.91,855
575.17,854
575.43,853
575.69,852
575.95,851
576.21,850
576.48,849
576.74,848
577.00,847
577.26,846
577.52,845
577.78,844
578.05,843
578.31,842
578.57,841
578.83,840
579.09,839
579.36,838
579.62,837
579.88,836
580.15,835
580.41,834
580.67,833
580.94,832
581.20,831
581.47,830
581.73,829
581.99,828
582.26,827
582.52,826
582.79,825
583.05,824
583.32,823
583.58,822
583.85,821
584.12,820
584.38,819
584.65,818
584.91,817
585.18,816
585.45,815
585.71,814
585.98,813
586.25,812
586.51,811
586.78,810
587.05,809
587.32,808
587.58,807
587.85,806
588.12,805
588.39,804
588.66,803
588.93,802
589.20,801
589.46,800
589.73,799
590.00,798
590.27,797
590.54,796
590.81,795
591.08,794
591.35,793
591.62,792
591.89,791
592.16,790
592.43,789
592.71,788
592.98,787
593.25,786
593.52,785
593.79,784
594.06,783
594.34,782
594.61,781
594.88,780
595.15,779
595.43,778
595.70,777
595.97,776
596.24,775
596.52,774
596.79,773
597.07,772
597.34,771
597.61,770
597.89,769
598.16,768
598.44,767
598.71,766
598.99,765
599.26,764
599.54,763
599.81,762
600.09,761
600.37,760
600.64,759
600.92,758
601.19,757
601.47,756
601.75,755
602.03,754
602.30,753
602.58,752
602.86,751
603.14,750
603.41,749
603.69,748
603.97,747
604.25,746
604.53,745
604.81,744
605.09,743
605.36,742
605.64,741
605.92,740
606.20,739
606.48,738
606.76,737
607.04,736
607.32,735
607.61,734
607.89,733
608.17,732
608.45,731
608.73,730
609.01,729
609.29,728
609.58,727
609.86,726
610.14,725
610.42,724
610.71,723
610.99,722
611.27,721
611.56,720
611.84,719
612.13,718
612.41,717
612.69,716
612.98,715
613.26,714
613.55,713
613.83,712
614.12,711
614.40,710
614.69,709
614.98,708
615.26,707
615.55,706
615.83,705
616.12,704
616.41,703
616.70,702
616.98,701
617.27,700
617.56,699
617.85,698
618.13,697
618.42,696
618.71,695
619.00,694
619.29,693
619.58,692
619.87,691
620.16,690
620.45,689
620.74,688
621.03,687
621.32,686
621.61,685
621.90,684
622.19,683
