performance,points
41.97,1400
41.98,1399
41.99,1398
42.00,1397
42.02,1396
42.03,1395
42.04,1394
42.06,1393
42.07,1392
42.08,1391
42.10,1390
42.11,1389
42.12,1388
42.14,1387
42.15,1386
42.16,1385
42.18,1384
42.19,1383
42.20,1382
42.22,1381
42.23,1380
42.24,1379
42.26,1378
42.27,1377
42.28,1376
42.30,1375
42.31,1374
42.32,1373
42.34,1372
42.35,1371
42.36,1370
42.38,1369
42.39,1368
42.40,1367
42.42,1366
42.43,1365
42.44,1364
42.46,1363
42.47,1362
42.48,1361
42.50,1360
42.51,1359
42.52,1358
42.54,1357
42.55,1356
42.57,1355
42.58,1354
42.59,1353
42.61,1352
42.62,1351
42.63,1350
42.65,1349
42.66,1348
42.67,1347
42.69,1346
42.70,1345
42.71,1344
42.73,1343
42.74,1342
42.75,1341
42.77,1340
42.78,1339
42.79,1338
42.81,1337
42.82,1336
42.84,1335
42.85,1334
42.86,1333
42.88,1332
42.89,1331
42.90,1330
42.92,1329
42.93,1328
42.94,1327
42.96,1326
42.97,1325
42.98,1324
43.00,1323
43.01,1322
43.03,1321
43.04,1320
43.05,1319
43.07,1318
43.08,1317
43.09,1316
43.11,1315
43.12,1314
43.13,1313
43.15,1312
43.16,1311
43.18,1310
43.19,1309
43.20,1308
43.22,1307
43.23,1306
43.24,1305
43.26,1304
43.27,1303
43.28,1302
43.30,1301
43.31,1300
43.33,1299
43.34,1298
43.35,1297
43.37,1296
43.38,1295
43.39,1294
43.41,1293
43.42,1292
43.44,1291
43.45,1290
43.46,1289
43.48,1288
43.49,1287
43.50,1286
43.52,1285
43.53,1284
43.55,1283
43.56,1282
43.57,1281
43.59,1280
43.60,1279
43.62,1278
43.63,1277
43.64,1276
43.66,1275
43.67,1274
43.68,1273
43.70,1272
43.71,1271
43.73,1270
43.74,1269
43.75,1268
43.77,1267
43.78,1266
43.80,1265
43.81,1264
43.82,1263
43.84,1262
43.85,1261
43.87,1260
43.88,1259
43.89,1258
43.91,1257
43.92,1256
43.94,1255
43.95,1254
43.96,1253
43.98,1252
43.99,1251
44.01,1250
44.02,1249
44.03,1248
44.05,1247
44.06,1246
44.08,1245
44.09,1244
44.10,1243
44.12,1242
44.13,1241
44.15,1240
44.16,1239
44.17,1238
44.19,1237
44.20,1236
44.22,1235
44.23,1234
44.24,1233
44.26,1232
44.27,1231
44.29,1230
44.30,1229
44.31,1228
44.33,1227
44.34,1226
44.36,1225
44.37,1224
44.39,1223
44.40,1222
44.41,1221
44.43,1220
44.44,1219
44.46,1218
44.47,1217
44.48,1216
44.50,1215
44.51,1214
44.53,1213
44.54,1212
44.56,1211
44.57,1210
44.58,1209
44.60,1208
44.61,1207
44.63,1206
44.64,1205
44.65,1204
44.67,1203
44.68,1202
44.70,1201
44.71,1200
44.73,1199
44.74,1198
44.75,1197
44.77,1196
44.78,1195
44.80,1194
44.81,1193
44.83,1192
44.84,1191
44.86,1190
44.87,1189
44.88,1188
44.90,1187
44.91,1186
44.93,1185
44.94,1184
44.96,1183
44.97,1182
44.98,1181
45.00,1180
45.01,1179
45.03,1178
45.04,1177
45.06,1176
45.07,1175
45.09,1174
45.10,1173
45.11,1172
45.13,1171
45.14,1170
45.16,1169
45.17,1168
45.19,1167
45.20,1166
45.22,1165
45.23,1164
45.24,1163
45.26,1162
45.27,1161
45.29,1160
45.30,1159
45.32,1158
45.33,1157
45.35,1156
45.36,1155
45.38,1154
45.39,1153
45.40,1152
45.42,1151
45.43,1150
45.45,1149
45.46,1148
45.48,1147
45.49,1146
45.51,1145
45.52,1144
45.54,1143
45.55,1142
45.57,1141
45.58,1140
45.59,1139
45.61,1138
45.62,1137
45.64,1136
45.65,1135
45.67,1134
45.68,1133
45.70,1132
45.71,1131
45.73,1130
45.74,1129
45.76,1128
45.77,1127
45.79,1126
45.80,1125
45.82,1124
45.83,1123
45.84,1122
45.86,1121
45.87,1120
45.89,1119
45.90,1118
45.92,1117
45.93,1116
45.95,1115
45.96,1114
45.98,1113
45.99,1112
46.01,1111
46.02,1110
46.04,1109
46.05,1108
46.07,1107
46.08,1106
46.10,1105
46.11,1104
46.13,1103
46.14,1102
46.16,1101
46.17,1100
46.19,1099
46.20,1098
46.22,1097
46.23,1096
46.25,1095
46.26,1094
46.28,1093
46.29,1092
46.31,1091
46.32,1090
46.34,1089
46.35,1088
46.37,1087
46.38,1086
46.40,1085
46.41,1084
46.43,1083
46.44,1082
46.46,1081
46.47,1080
46.49,1079
46.50,1078
