performance,points
44.86,1400
44.88,1399
44.89,1398
44.91,1397
44.93,1396
44.95,1395
44.97,1394
44.98,1393
45.00,1392
45.02,1391
45.04,1390
45.06,1389
45.08,1388
45.09,1387
45.11,1386
45.13,1385
45.15,1384
45.17,1383
45.18,1382
45.20,1381
45.22,1380
45.24,1379
45.26,1378
45.28,1377
45.29,1376
45.31,1375
45.33,1374
45.35,1373
45.37,1372
45.39,1371
45.40,1370
45.42,1369
45.44,1368
45.46,1367
45.48,1366
45.49,1365
45.51,1364
45.53,1363
45.55,1362
45.57,1361
45.59,1360
45.61,1359
45.62,1358
45.64,1357
45.66,1356
45.68,1355
45.70,1354
45.72,1353
45.73,1352
45.75,1351
45.77,1350
45.79,1349
45.81,1348
45.83,1347
45.84,1346
45.86,1345
45.88,1344
45.90,1343
45.92,1342
45.94,1341
45.95,1340
45.97,1339
45.99,1338
46.01,1337
46.03,1336
46.05,1335
46.07,1334
46.08,1333
46.10,1332
46.12,1331
46.14,1330
46.16,1329
46.18,1328
46.20,1327
46.21,1326
46.23,1325
46.25,1324
46.27,1323
46.29,1322
46.31,1321
46.33,1320
46.34,1319
46.36,1318
46.38,1317
46.40,1316
46.42,1315
46.44,1314
46.46,1313
46.48,1312
46.49,1311
46.51,1310
46.53,1309
46.55,1308
46.57,1307
46.59,1306
46.61,1305
46.62,1304
46.64,1303
46.66,1302
46.68,1301
46.70,1300
46.72,1299
46.74,1298
46.76,1297
46.78,1296
46.79,1295
46.81,1294
46.83,1293
46.85,1292
46.87,1291
46.89,1290
46.91,1289
46.93,1288
46.94,1287
46.96,1286
46.98,1285
47.00,1284
47.02,1283
47.04,1282
47.06,1281
47.08,1280
47.10,1279
47.11,1278
47.13,1277
47.15,1276
47.17,1275
47.19,1274
47.21,1273
47.23,1272
47.25,1271
47.27,1270
47.29,1269
47.30,1268
47.32,1267
47.34,1266
47.36,1265
47.38,1264
47.40,1263
47.42,1262
47.44,1261
47.46,1260
47.48,1259
47.49,1258
47.51,1257
47.53,1256
47.55,1255
47.57,1254
47.59,1253
47.61,1252
47.63,1251
47.65,1250
47.67,1249
47.69,1248
47.71,1247
47.72,1246
47.74,1245
47.76,1244
47.78,1243
47.80,1242
47.82,1241
47.84,1240
47.86,1239
47.88,1238
47.90,1237
47.92,1236
47.94,1235
47.95,1234
47.97,1233
47.99,1232
48.01,1231
48.03,1230
48.05,1229
48.07,1228
48.09,1227
48.11,1226
48.13,1225
48.15,1224
48.17,1223
48.19,1222
48.21,1221
48.23,1220
48.24,1219
48.26,1218
48.28,1217
48.30,1216
48.32,1215
48.34,1214
48.36,1213
48.38,1212
48.40,1211
48.42,1210
48.44,1209
48.46,1208
48.48,1207
48.50,1206
48.52,1205
48.54,1204
48.56,1203
48.58,1202
48.59,1201
48.61,1200
48.63,1199
48.65,1198
48.67,1197
48.69,1196
48.71,1195
48.73,1194
48.75,1193
48.77,1192
48.79,1191
48.81,1190
48.83,1189
48.85,1188
48.87,1187
48.89,1186
48.91,1185
48.93,1184
48.95,1183
48.97,1182
48.99,1181
49.01,1180
49.03,1179
49.05,1178
49.07,1177
49.09,1176
49.11,1175
49.12,1174
49.14,1173
49.16,1172
49.18,1171
49.20,1170
49.22,1169
49.24,1168
49.26,1167
49.28,1166
49.30,1165
49.32,1164
49.34,1163
49.36,1162
49.38,1161
49.40,1160
49.42,1159
49.44,1158
49.46,1157
49.48,1156
49.50,1155
49.52,1154
49.54,1153
49.56,1152
49.58,1151
49.60,1150
49.62,1149
49.64,1148
49.66,1147
49.68,1146
49.70,1145
49.72,1144
49.74,1143
49.76,1142
49.78,1141
49.80,1140
49.82,1139
49.84,1138
49.86,1137
49.88,1136
49.90,1135
49.92,1134
49.94,1133
49.96,1132
49.98,1131
50.00,1130
50.02,1129
50.04,1128
50.06,1127
50.08,1126
50.10,1125
50.12,1124
50.14,1123
50.16,1122
50.18,1121
50.20,1120
50.22,1119
50.24,1118
50.26,1117
50.28,1116
50.31,1115
50.33,1114
50.35,1113
50.37,1112
50.39,1111
50.41,1110
50.43,1109
50.45,1108
50.47,1107
50.49,1106
50.51,1105
50.53,1104
50.55,1103
50.57,1102
50.59,1101
50.61,1100
50.63,1099
50.65,1098
50.67,1097
50.69,1096
50.71,1095
