performance,points
75.42,1400
75.44,1399
75.46,1398
75.49,1397
75.51,1396
75.54,1395
75.56,1394
75.59,1393
75.61,1392
75.64,1391
75.66,1390
75.69,1389
75.71,1388
75.73,1387
75.76,1386
75.78,1385
75.81,1384
75.83,1383
75.86,1382
75.88,1381
75.91,1380
75.93,1379
75.96,1378
75.98,1377
76.01,1376
76.03,1375
76.05,1374
76.08,1373
76.10,1372
76.13,1371
76.15,1370
76.18,1369
76.20,1368
76.23,1367
76.25,1366
76.28,1365
76.30,1364
76.33,1363
76.35,1362
76.38,1361
76.40,1360
76.43,1359
76.45,1358
76.48,1357
76.50,1356
76.53,1355
76.55,1354
76.58,1353
76.60,1352
76.63,1351
76.65,1350
76.68,1349
76.70,1348
76.73,1347
76.75,1346
76.78,1345
76.80,1344
76.83,1343
76.85,1342
76.88,1341
76.90,1340
76.93,1339
76.95,1338
76.98,1337
77.00,1336
77.03,1335
77.05,1334
77.08,1333
77.10,1332
77.13,1331
77.15,1330
77.18,1329
77.20,1328
77.23,1327
77.25,1326
77.28,1325
77.30,1324
77.33,1323
77.35,1322
77.38,1321
77.40,1320
77.43,1319
77.45,1318
77.48,1317
77.50,1316
77.53,1315
77.55,1314
77.58,1313
77.61,1312
77.63,1311
77.66,1310
77.68,1309
77.71,1308
77.73,1307
77.76,1306
77.78,1305
77.81,1304
77.83,1303
77.86,1302
77.88,1301
77.91,1300
77.94,1299
77.96,1298
77.99,1297
78.01,1296
78.04,1295
78.06,1294
78.09,1293
78.11,1292
78.14,1291
78.16,1290
78.19,1289
78.22,1288
78.24,1287
78.27,1286
78.29,1285
78.32,1284
78.34,1283
78.37,1282
78.39,1281
78.42,1280
78.45,1279
78.47,1278
78.50,1277
78.52,1276
78.55,1275
78.57,1274
78.60,1273
78.63,1272
78.65,1271
78.68,1270
78.70,1269
78.73,1268
78.75,1267
78.78,1266
78.81,1265
78.83,1264
78.86,1263
78.88,1262
78.91,1261
78.93,1260
78.96,1259
78.99,1258
79.01,1257
79.04,1256
79.06,1255
79.09,1254
79.12,1253
79.14,1252
79.17,1251
79.19,1250
79.22,1249
79.25,1248
79.27,1247
79.30,1246
79.32,1245
79.35,1244
79.37,1243
79.40,1242
79.43,1241
79.45,1240
79.48,1239
79.50,1238
79.53,1237
79.56,1236
79.58,1235
79.61,1234
79.64,1233
79.66,1232
79.69,1231
79.71,1230
79.74,1229
79.77,1228
79.79,1227
79.82,1226
79.84,1225
79.87,1224
79.90,1223
79.92,1222
79.95,1221
79.98,1220
80.00,1219
80.03,1218
80.05,1217
80.08,1216
80.11,1215
80.13,1214
80.16,1213
80.19,1212
80.21,1211
80.24,1210
80.26,1209
80.29,1208
80.32,1207
80.34,1206
80.37,1205
80.40,1204
80.42,1203
80.45,1202
80.48,1201
80.50,1200
80.53,1199
80.56,1198
80.58,1197
80.61,1196
80.63,1195
80.66,1194
80.69,1193
80.71,1192
80.74,1191
80.77,1190
80.79,1189
80.82,1188
80.85,1187
80.87,1186
80.90,1185
80.93,1184
80.95,1183
80.98,1182
81.01,1181
81.03,1180
81.06,1179
81.09,1178
81.11,1177
81.14,1176
81.17,1175
81.19,1174
81.22,1173
81.25,1172
81.27,1171
81.30,1170
81.33,1169
81.35,1168
81.38,1167
81.41,1166
81.44,1165
81.46,1164
81.49,1163
81.52,1162
81.54,1161
81.57,1160
81.60,1159
81.62,1158
81.65,1157
81.68,1156
81.70,1155
81.73,1154
81.76,1153
81.79,1152
81.81,1151
81.84,1150
81.87,1149
81.89,1148
81.92,1147
81.95,1146
81.97,1145
82.00,1144
82.03,1143
82.06,1142
82.08,1141
82.11,1140
82.14,1139
82.16,1138
82.19,1137
82.22,1136
82.25,1135
82.27,1134
82.30,1133
82.33,1132
82.35,1131
82.38,1130
82.41,1129
82.44,1128
82.46,1127
82.49,1126
82.52,1125
82.55,1124
82.57,1123
82.60,1122
82.63,1121
82.66,1120
82.68,1119
82.71,1118
82.74,1117
82.76,1116
82.79,1115
82.82,1114
82.85,1113
82.87,1112
82.90,1111
82.93,1110
82.96,1109
82.98,1108
83.01,1107
83.04,1106
83.07,1105
83.10,1104
83.12,1103
83.15,1102
83.18,1101
83.21,1100
83.23,1099
83.26,1098
83.29,1097
83.32,1096
83.34,1095
83.37,1094
83.40,1093
83.43,1092
83.45,1091
83.48,1090
83.51,1089
83.54,1088
83.57,1087
83.59,1086
83.62,1085
83.65,1084
83.68,1083
83.70,1082
83.73,1081
83.76,1080
83.79,1079
83.82,1078
83.84,1077
83.87,1076
83.90,1075
83.93,1074
83.96,1073
83.98,1072
84.01,1071
84.04,1070
84.07,1069
84.10,1068
84.12,1067
84.15,1066
84.18,1065
84.21,1064
84.24,1063
84.26,1062
84.29,1061
84.32,1060
84.35,1059
84.38,1058
84.41,1057
84.43,1056
84.46,1055
84.49,1054
84.52,1053
84.55,1052
84.57,1051
84.60,1050
84.63,1049
84.66,1048
84.69,1047
84.72,1046
84.74,1045
84.77,1044
84.80,1043
84.83,1042
84.86,1041
84.89,1040
84.92,1039
84.94,1038
84.97,1037
85.00,1036
85.03,1035
85.06,1034
85.09,1033
85.11,1032
85.14,1031
85.17,1030
85.20,1029
85.23,1028
85.26,1027
85.29,1026
85.31,1025
85.34,1024
85.37,1023
85.40,1022
85.43,1021
85.46,1020
85.49,1019
85.52,1018
85.54,1017
85.57,1016
85.60,1015
85.63,1014
85.66,1013
85.69,1012
85.72,1011
85.75,1010
85.77,1009
85.80,1008
85.83,1007
85.86,1006
85.89,1005
85.92,1004
85.95,1003
85.98,1002
86.01,1001
86.03,1000
86.06,999
86.09,998
86.12,997
86.15,996
86.18,995
86.21,994
86.24,993
86.27,992
86.30,991
86.32,990
86.35,989
86.38,988
86.41,987
86.44,986
86.47,985
86.50,984
86.53,983
86.56,982
86.59,981
86.62,980
86.65,979
86.68,978
86.70,977
86.73,976
86.76,975
86.79,974
86.82,973
86.85,972
86.88,971
86.91,970
86.94,969
86.97,968
87.00,967
87.03,966
87.06,965
87.09,964
87.12,963
87.15,962
87.18,961
87.21,960
87.24,959
87.26,958
87.29,957
87.32,956
87.35,955
87.38,954
87.41,953
87.44,952
87.47,951
87.50,950
87.53,949
87.56,948
87.59,947
87.62,946
87.65,945
87.68,944
87.71,943
87.74,942
87.77,941
87.80,940
87.83,939
87.86,938
87.89,937
87.92,936
87.95,935
87.98,934
88.01,933
88.04,932
88.07,931
88.10,930
88.13,929
88.16,928
88.19,927
88.22,926
88.25,925
88.28,924
88.31,923
88.34,922
88.37,921
88.40,920
88.43,919
88.46,918
88.49,917
88.52,916
88.55,915
88.58,914
88.61,913
88.64,912
88.67,911
88.70,910
88.73,909
88.76,908
88.80,907
88.83,906
88.86,905
88.89,904
88.92,903
88.95,902
88.98,901
89.01,900
89.04,899
89.07,898
89.10,897
89.13,896
89.16,895
89.19,894
89.22,893
89.25,892
89.28,891
89.32,890
89.35,889
89.38,888
89.41,887
89.44,886
89.47,885
89.50,884
89.53,883
89.56,882
89.59,881
89.62,880
89.65,879
89.69,878
89.72,877
89.75,876
89.78,875
89.81,874
89.84,873
89.87,872
89.90,871
89.93,870
89.96,869
90.00,868
90.03,867
90.06,866
90.09,865
90.12,864
90.15,863
90.18,862
90.21,861
90.24,860
90.28,859
90.31,858
90.34,857
90.37,856
90.40,855
90.43,854
90.46,853
90.50,852
90.53,851
90.56,850
90.59,849
90.62,848
90.65,847
90.68,846
90.72,845
90.75,844
90.78,843
90.81,842
90.84,841
90.87,840
90.90,839
90.94,838
90.97,837
91.00,836
91.03,835
91.06,834
91.10,833
91.13,832
91.16,831
91.19,830
91.22,829
91.25,828
91.29,827
91.32,826
91.35,825
91.38,824
91.41,823
91.45,822
91.48,821
91.51,820
91.54,819
91.57,818
91.61,817
91.64,816
91.67,815
91.70,814
91.73,813
91.77,812
91.80,811
91.83,810
91.86,809
91.89,808
91.93,807
91.96,806
91.99,805
92.02,804
92.06,803
92.09,802
92.12,801
92.15,800
92.19,799
92.22,798
92.25,797
92.28,796
92.32,795
92.35,794
92.38,793
92.41,792
92.45,791
92.48,790
92.51,789
92.54,788
92.58,787
92.61,786
92.64,785
92.67,784
92.71,783
92.74,782
92.77,781
92.81,780
92.84,779
92.87,778
92.90,777
92.94,776
92.97,775
93.00,774
93.04,773
93.07,772
93.10,771
93.13,770
93.17,769
93.20,768
93.23,767
93.27,766
93.30,765
93.33,764
93.37,763
93.40,762
93.43,761
93.47,760
93.50,759
93.53,758
93.57,757
93.60,756
93.63,755
93.67,754
93.70,753
93.73,752
93.77,751
93.80,750
93.83,749
93.87,748
93.90,747
93.93,746
93.97,745
94.00,744
94.03,743
94.07,742
94.10,741
94.14,740
94.17,739
94.20,738
94.24,737
94.27,736
94.30,735
94.34,734
94.37,733
94.41,732
94.44,731
94.47,730
94.51,729
94.54,728
94.58,727
94.61,726
94.64,725
94.68,724
94.71,723
94.75,722
94.78,721
94.81,720
94.85,719
94.88,718
94.92,717
94.95,716
94.98,715
95.02,714
95.05,713
95.09,712
95.12,711
95.16,710
95.19,709
95.23,708
95.26,707
95.29,706
95.33,705
95.36,704
95.40,703
95.43,702
95.47,701
95.50,700
95.54,699
95.57,698
95.61,697
95.64,696
95.68,695
95.71,694
95.74,693
95.78,692
95.81,691
95.85,690
95.88,689
95.92,688
95.95,687
95.99,686
96.02,685
96.06,684
96.09,683
96.13,682
96.16,681
96.20,680
96.23,679
96.27,678
96.31,677
96.34,676
96.38,675
96.41,674
96.45,673
96.48,672
96.52,671
96.55,670
96.59,669
96.62,668
96.66,667
96.69,666
96.73,665
96.77,664
96.80,663
96.84,662
96.87,661
96.91,660
96.94,659
96.98,658
97.01,657
97.05,656
97.09,655
97.12,654
97.16,653
97.19,652
97.23,651
97.27,650
97.30,649
97.34,648
97.37,647
97.41,646
97.45,645
97.48,644
97.52,643
97.55,642
97.59,641
97.63,640
97.66,639
97.70,638
97.74,637
97.77,636
97.81,635
97.84,634
97.88,633
97.92,632
97.95,631
97.99,630
98.03,629
98.06,628
98.10,627
98.14,626
98.17,625
98.21,624
98.25,623
98.28,622
98.32,621
98.36,620
98.39,619
98.43,618
98.47,617
98.50,616
98.54,615
98.58,614
98.62,613
98.65,612
98.69,611
98.73,610
98.76,609
98.80,608
98.84,607
98.88,606
98.91,605
98.95,604
98.99,603
99.02,602
99.06,601
99.10,600
99.14,599
99.17,598
99.21,597
99.25,596
99.29,595
99.32,594
99.36,593
99.40,592
99.44,591
99.47,590
99.51,589
99.55,588
99.59,587
99.63,586
99.66,585
99.70,584
99.74,583
99.78,582
99.82,581
99.85,580
99.89,579
99.93,578
99.97,577
100.01,576
100.04,575
100.08,574
100.12,573
100.16,572
100.20,571
100.24,570
100.27,569
100.31,568
100.35,567
100.39,566
100.43,565
100.47,564
100.51,563
100.54,562
100.58,561
100.62,560
100.66,559
100.70,558
100.74,557
100.78,556
100.82,555
100.85,554
100.89,553
100.93,552
100.97,551
101.01,550
101.05,549
101.09,548
101.13,547
101.17,546
101.21,545
101.25,544
101.28,543
101.32,542
101.36,541
101.40,540
101.44,539
