performance,points
1.57,1
1.63,2
1.69,3
1.74,4
1.80,5
1.85,6
1.91,7
1.97,8
2.02,9
2.08,10
2.13,11
2.19,12
2.24,13
2.30,14
2.36,15
2.41,16
2.47,17
2.52,18
2.58,19
2.64,20
2.69,21
2.75,22
2.80,23
2.86,24
2.91,25
2.97,26
3.03,27
3.08,28
3.14,29
3.19,30
3.25,31
3.31,32
3.36,33
3.42,34
3.47,35
3.53,36
3.58,37
3.64,38
3.70,39
3.75,40
3.81,41
3.86,42
3.92,43
3.98,44
4.03,45
4.09,46
4.14,47
4.20,48
4.25,49
4.31,50
4.37,51
4.42,52
4.48,53
4.53,54
4.59,55
4.64,56
4.70,57
4.76,58
4.81,59
4.87,60
4.92,61
4.98,62
5.03,63
5.09,64
5.15,65
5.20,66
5.26,67
5.31,68
5.37,69
5.43,70
5.48,71
5.54,72
5.59,73
5.65,74
5.70,75
5.76,76
5.82,77
5.87,78
5.93,79
5.98,80
6.04,81
6.09,82
6.15,83
6.21,84
6.26,85
6.32,86
6.37,87
6.43,88
6.48,89
6.54,90
6.60,91
6.65,92
6.71,93
6.76,94
6.82,95
6.87,96
6.93,97
6.99,98
7.04,99
7.10,100
7.15,101
7.21,102
7.26,103
7.32,104
7.38,105
7.43,106
7.49,107
7.54,108
7.60,109
7.65,110
7.71,111
7.77,112
7.82,113
7.88,114
7.93,115
7.99,116
8.04,117
8.10,118
8.16,119
8.21,120
8.27,121
8.32,122
8.38,123
8.43,124
8.49,125
8.55,126
8.60,127
8.66,128
8.71,129
8.77,130
8.82,131
8.88,132
8.94,133
8.99,134
9.05,135
9.10,136
9.16,137
9.21,138
9.27,139
9.32,140
9.38,141
9.44,142
9.49,143
9.55,144
9.60,145
9.66,146
9.71,147
9.77,148
9.83,149
9.88,150
9.94,151
9.99,152
10.05,153
10.10,154
10.16,155
10.22,156
10.27,157
10.33,158
10.38,159
10.44,160
10.49,161
10.55,162
10.60,163
10.66,164
10.72,165
10.77,166
10.83,167
10.88,168
10.94,169
10.99,170
11.05,171
11.11,172
11.16,173
11.22,174
11.27,175
11.33,176
11.38,177
11.44,178
11.49,179
11.55,180
11.61,181
11.66,182
11.72,183
11.77,184
11.83,185
11.88,186
11.94,187
11.99,188
12.05,189
12.11,190
12.16,191
12.22,192
12.27,193
12.33,194
12.38,195
12.44,196
12.50,197
12.55,198
12.61,199
12.66,200
12.72,201
12.77,202
12.83,203
12.88,204
12.94,205
13.00,206
13.05,207
13.11,208
13.16,209
13.22,210
13.27,211
13.33,212
13.38,213
13.44,214
13.50,215
13.55,216
13.61,217
13.66,218
13.72,219
13.77,220
13.83,221
13.88,222
13.94,223
14.00,224
14.05,225
14.11,226
14.16,227
14.22,228
14.27,229
14.33,230
14.38,231
14.44,232
14.50,233
14.55,234
14.61,235
14.66,236
14.72,237
14.77,238
14.83,239
14.88,240
14.94,241
14.99,242
15.05,243
15.11,244
15.16,245
15.22,246
15.27,247
15.33,248
15.38,249
15.44,250
15.49,251
15.55,252
15.61,253
15.66,254
15.72,255
15.77,256
15.83,257
15.88,258
15.94,259
15.99,260
16.05,261
16.10,262
16.16,263
16.22,264
16.27,265
16.33,266
16.38,267
16.44,268
16.49,269
16.55,270
16.60,271
16.66,272
16.72,273
16.77,274
16.83,275
16.88,276
16.94,277
16.99,278
17.05,279
17.10,280
17.16,281
17.21,282
17.27,283
17.33,284
17.38,285
17.44,286
17.49,287
17.55,288
17.60,289
17.66,290
17.71,291
17.77,292
17.82,293
17.88,294
17.94,295
17.99,296
18.05,297
18.10,298
18.16,299
18.21,300
18.27,301
18.32,302
18.38,303
18.43,304
18.49,305
18.55,306
18.60,307
18.66,308
18.71,309
18.77,310
18.82,311
18.88,312
18.93,313
18.99,314
19.04,315
19.10,316
19.15,317
19.21,318
19.27,319
19.32,320
19.38,321
19.43,322
19.49,323
19.54,324
19.60,325
19.65,326
19.71,327
19.76,328
19.82,329
19.88,330
19.93,331
19.99,332
20.04,333
20.10,334
20.15,335
20.21,336
20.26,337
20.32,338
20.37,339
20.43,340
20.48,341
20.54,342
20.60,343
20.65,344
20.71,345
20.76,346
20.82,347
20.87,348
20.93,349
20.98,350
21.04,351
21.09,352
21.15,353
21.20,354
21.26,355
21.31,356
21.37,357
21.43,358
21.48,359
21.54,360
21.59,361
21.65,362
21.70,363
21.76,364
21.81,365
21.87,366
21.92,367
21.98,368
22.03,369
22.09,370
22.15,371
22.20,372
22.26,373
22.31,374
22.37,375
22.42,376
22.48,377
22.53,378
22.59,379
22.64,380
22.70,381
22.75,382
22.81,383
22.86,384
22.92,385
22.98,386
23.03,387
23.09,388
23.14,389
23.20,390
23.25,391
23.31,392
23.36,393
23.42,394
23.47,395
23.53,396
23.58,397
23.64,398
23.69,399
23.75,400
23.80,401
23.86,402
23.92,403
23.97,404
24.03,405
24.08,406
24.14,407
24.19,408
24.25,409
24.30,410
24.36,411
24.41,412
24.47,413
24.52,414
24.58,415
24.63,416
24.69,417
24.74,418
24.80,419
24.86,420
24.91,421
24.97,422
25.02,423
25.08,424
25.13,425
25.19,426
25.24,427
25.30,428
25.35,429
25.41,430
25.46,431
25.52,432
25.57,433
25.63,434
