performance,points
358.00,1
365.00,2
372.00,3
380.00,4
387.00,5
394.00,6
401.00,7
408.00,8
415.00,9
423.00,10
430.00,11
437.00,12
444.00,13
451.00,14
458.00,15
465.00,16
472.00,17
480.00,18
487.00,19
494.00,20
501.00,21
508.00,22
515.00,23
522.00,24
530.00,25
537.00,26
544.00,27
551.00,28
558.00,29
565.00,30
572.00,31
580.00,32
587.00,33
594.00,34
601.00,35
608.00,36
615.00,37
622.00,38
629.00,39
637.00,40
644.00,41
651.00,42
658.00,43
665.00,44
672.00,45
679.00,46
686.00,47
694.00,48
701.00,49
708.00,50
715.00,51
722.00,52
729.00,53
736.00,54
743.00,55
750.00,56
758.00,57
765.00,58
772.00,59
779.00,60
786.00,61
793.00,62
800.00,63
807.00,64
814.00,65
822.00,66
829.00,67
836.00,68
843.00,69
850.00,70
857.00,71
864.00,72
871.00,73
878.00,74
885.00,75
893.00,76
900.00,77
907.00,78
914.00,79
921.00,80
928.00,81
935.00,82
942.00,83
949.00,84
956.00,85
963.00,86
971.00,87
978.00,88
985.00,89
992.00,90
999.00,91
1006.00,92
1013.00,93
1020.00,94
1027.00,95
1034.00,96
1041.00,97
1049.00,98
1056.00,99
1063.00,100
1070.00,101
1077.00,102
1084.00,103
1091.00,104
1098.00,105
1105.00,106
1112.00,107
1119.00,108
1126.00,109
1133.00,110
1141.00,111
1148.00,112
1155.00,113
1162.00,114
1169.00,115
1176.00,116
1183.00,117
1190.00,118
1197.00,119
1204.00,120
1211.00,121
1218.00,122
1225.00,123
1232.00,124
1240.00,125
1247.00,126
1254.00,127
1261.00,128
1268.00,129
1275.00,130
1282.00,131
1289.00,132
1296.00,133
1303.00,134
1310.00,135
1317.00,136
1324.00,137
1331.00,138
1338.00,139
1345.00,140
1352.00,141
1360.00,142
1367.00,143
1374.00,144
1381.00,145
1388.00,146
1395.00,147
1402.00,148
1409.00,149
1416.00,150
1423.00,151
1430.00,152
1437.00,153
1444.00,154
1451.00,155
1458.00,156
1465.00,157
1472.00,158
1479.00,159
1486.00,160
1493.00,161
1500.00,162
1507.00,163
1515.00,164
1522.00,165
1529.00,166
1536.00,167
1543.00,168
1550.00,169
1557.00,170
1564.00,171
1571.00,172
1578.00,173
1585.00,174
1592.00,175
1599.00,176
1606.00,177
1613.00,178
1620.00,179
1627.00,180
1634.00,181
1641.00,182
1648.00,183
1655.00,184
1662.00,185
1669.00,186
1676.00,187
1683.00,188
1690.00,189
1697.00,190
1704.00,191
1711.00,192
1718.00,193
1725.00,194
1732.00,195
1739.00,196
1746.00,197
1753.00,198
1760.00,199
1767.00,200
1774.00,201
1781.00,202
1788.00,203
1796.00,204
1803.00,205
1810.00,206
