performance,points
3315.00,1400
3316.00,1399
3317.00,1398
3319.00,1397
3320.00,1396
3321.00,1395
3323.00,1394
3324.00,1393
3325.00,1392
3327.00,1391
3328.00,1390
3329.00,1389
3331.00,1388
3332.00,1387
3333.00,1386
3335.00,1385
3336.00,1384
3337.00,1383
3339.00,1382
3340.00,1381
3341.00,1380
3343.00,1379
3344.00,1378
3345.00,1377
3347.00,1376
3348.00,1375
3349.00,1374
3351.00,1373
3352.00,1372
3353.00,1371
3355.00,1370
3356.00,1369
3357.00,1368
3359.00,1367
3360.00,1366
3361.00,1365
3363.00,1364
3364.00,1363
3365.00,1362
3367.00,1361
3368.00,1360
3369.00,1359
3371.00,1358
3372.00,1357
3373.00,1356
3375.00,1355
3376.00,1354
3377.00,1353
3379.00,1352
3380.00,1351
3381.00,1350
3383.00,1349
3384.00,1348
3386.00,1347
3387.00,1346
3388.00,1345
3390.00,1344
3391.00,1343
3392.00,1342
3394.00,1341
3395.00,1340
3396.00,1339
3398.00,1338
3399.00,1337
3400.00,1336
3402.00,1335
3403.00,1334
3404.00,1333
3406.00,1332
3407.00,1331
3409.00,1330
3410.00,1329
3411.00,1328
3413.00,1327
3414.00,1326
3415.00,1325
3417.00,1324
3418.00,1323
3419.00,1322
3421.00,1321
3422.00,1320
3423.00,1319
3425.00,1318
3426.00,1317
3428.00,1316
3429.00,1315
3430.00,1314
3432.00,1313
3433.00,1312
3434.00,1311
3436.00,1310
3437.00,1309
3439.00,1308
3440.00,1307
3441.00,1306
3443.00,1305
3444.00,1304
3445.00,1303
3447.00,1302
3448.00,1301
3449.00,1300
3451.00,1299
3452.00,1298
3454.00,1297
3455.00,1296
3456.00,1295
3458.00,1294
3459.00,1293
3460.00,1292
3462.00,1291
3463.00,1290
3465.00,1289
3466.00,1288
3467.00,1287
3469.00,1286
3470.00,1285
3472.00,1284
3473.00,1283
3474.00,1282
3476.00,1281
3477.00,1280
3478.00,1279
3480.00,1278
3481.00,1277
3483.00,1276
3484.00,1275
3485.00,1274
3487.00,1273
3488.00,1272
3490.00,1271
3491.00,1270
3492.00,1269
3494.00,1268
3495.00,1267
3496.00,1266
3498.00,1265
3499.00,1264
3501.00,1263
3502.00,1262
3503.00,1261
3505.00,1260
3506.00,1259
3508.00,1258
3509.00,1257
3510.00,1256
3512.00,1255
3513.00,1254
3515.00,1253
3516.00,1252
3517.00,1251
3519.00,1250
3520.00,1249
3522.00,1248
3523.00,1247
3524.00,1246
3526.00,1245
3527.00,1244
3529.00,1243
3530.00,1242
3531.00,1241
3533.00,1240
3534.00,1239
3536.00,1238
3537.00,1237
3538.00,1236
3540.00,1235
3541.00,1234
3543.00,1233
3544.00,1232
3546.00,1231
3547.00,1230
3548.00,1229
3550.00,1228
3551.00,1227
3553.00,1226
3554.00,1225
3555.00,1224
3557.00,1223
3558.00,1222
3560.00,1221
3561.00,1220
3562.00,1219
3564.00,1218
3565.00,1217
3567.00,1216
3568.00,1215
3570.00,1214
3571.00,1213
3572.00,1212
3574.00,1211
3575.00,1210
3577.00,1209
3578.00,1208
3580.00,1207
3581.00,1206
3582.00,1205
3584.00,1204
3585.00,1203
3587.00,1202
3588.00,1201
3590.00,1200
3591.00,1199
3592.00,1198
3594.00,1197
3595.00,1196
3597.00,1195
3598.00,1194
3600.00,1193
3601.00,1192
3602.00,1191
3604.00,1190
