performance,points
1.47,1
1.54,2
1.61,3
1.67,4
1.74,5
1.81,6
1.87,7
1.94,8
2.01,9
2.07,10
2.14,11
2.21,12
2.27,13
2.34,14
2.41,15
2.47,16
2.54,17
2.61,18
2.67,19
2.74,20
2.81,21
2.87,22
2.94,23
3.01,24
3.07,25
3.14,26
3.21,27
3.27,28
3.34,29
3.41,30
3.47,31
3.54,32
3.61,33
3.67,34
3.74,35
3.81,36
3.88,37
3.94,38
4.01,39
4.08,40
4.14,41
4.21,42
4.28,43
4.34,44
4.41,45
4.48,46
4.54,47
4.61,48
4.68,49
4.74,50
4.81,51
4.88,52
4.94,53
5.01,54
5.08,55
5.14,56
5.21,57
5.28,58
5.34,59
5.41,60
5.48,61
5.54,62
5.61,63
5.68,64
5.74,65
5.81,66
5.88,67
5.94,68
6.01,69
6.08,70
6.14,71
6.21,72
6.28,73
6.34,74
6.41,75
6.48,76
6.54,77
6.61,78
6.68,79
6.74,80
6.81,81
6.88,82
6.94,83
7.01,84
7.08,85
7.14,86
7.21,87
7.28,88
7.34,89
7.41,90
7.47,91
7.54,92
7.61,93
7.67,94
7.74,95
7.81,96
7.87,97
7.94,98
8.01,99
8.07,100
8.14,101
8.21,102
8.27,103
8.34,104
8.41,105
8.47,106
8.54,107
8.61,108
8.67,109
8.74,110
8.81,111
8.87,112
8.94,113
9.01,114
9.07,115
9.14,116
9.21,117
9.27,118
9.34,119
9.41,120
9.47,121
9.54,122
9.61,123
9.67,124
9.74,125
9.81,126
9.87,127
9.94,128
10.01,129
10.07,130
10.14,131
10.20,132
10.27,133
10.34,134
10.40,135
10.47,136
10.54,137
10.60,138
10.67,139
10.74,140
10.80,141
10.87,142
10.94,143
11.00,144
11.07,145
11.14,146
11.20,147
11.27,148
11.34,149
11.40,150
11.47,151
11.54,152
11.60,153
11.67,154
11.74,155
11.80,156
11.87,157
11.93,158
12.00,159
12.07,160
12.13,161
12.20,162
12.27,163
12.33,164
12.40,165
12.47,166
12.53,167
12.60,168
12.67,169
12.73,170
12.80,171
12.87,172
12.93,173
13.00,174
13.07,175
13.13,176
13.20,177
13.26,178
13.33,179
13.40,180
13.46,181
13.53,182
13.60,183
13.66,184
13.73,185
13.80,186
13.86,187
13.93,188
14.00,189
14.06,190
14.13,191
14.19,192
14.26,193
14.33,194
14.39,195
14.46,196
14.53,197
14.59,198
14.66,199
14.73,200
14.79,201
14.86,202
14.93,203
14.99,204
15.06,205
15.13,206
15.19,207
15.26,208
15.32,209
15.39,210
15.46,211
15.52,212
15.59,213
15.66,214
15.72,215
15.79,216
15.86,217
15.92,218
15.99,219
16.05,220
16.12,221
16.19,222
16.25,223
16.32,224
16.39,225
16.45,226
16.52,227
16.59,228
16.65,229
16.72,230
16.79,231
16.85,232
16.92,233
16.98,234
17.05,235
17.12,236
17.18,237
17.25,238
17.32,239
17.38,240
