performance,points
1.59,1
1.67,2
1.74,3
1.81,4
1.88,5
1.95,6
2.03,7
2.10,8
2.17,9
2.24,10
2.32,11
2.39,12
2.46,13
2.53,14
2.60,15
2.68,16
2.75,17
2.82,18
2.89,19
2.97,20
3.04,21
3.11,22
3.18,23
3.25,24
3.33,25
3.40,26
3.47,27
3.54,28
3.61,29
3.69,30
3.76,31
3.83,32
3.90,33
3.98,34
4.05,35
4.12,36
4.19,37
4.26,38
4.34,39
4.41,40
4.48,41
4.55,42
4.62,43
4.70,44
4.77,45
4.84,46
4.91,47
4.99,48
5.06,49
5.13,50
5.20,51
5.27,52
5.35,53
5.42,54
5.49,55
5.56,56
5.63,57
5.71,58
5.78,59
5.85,60
5.92,61
5.99,62
6.07,63
6.14,64
6.21,65
6.28,66
6.36,67
6.43,68
6.50,69
6.57,70
6.64,71
6.72,72
6.79,73
6.86,74
6.93,75
7.00,76
7.08,77
7.15,78
7.22,79
7.29,80
7.36,81
7.44,82
7.51,83
7.58,84
7.65,85
7.72,86
7.80,87
7.87,88
7.94,89
8.01,90
8.08,91
8.16,92
8.23,93
8.30,94
8.37,95
8.44,96
8.52,97
8.59,98
8.66,99
8.73,100
8.81,101
8.88,102
8.95,103
9.02,104
9.09,105
9.17,106
9.24,107
9.31,108
9.38,109
9.45,110
9.53,111
9.60,112
9.67,113
9.74,114
9.81,115
9.89,116
9.96,117
10.03,118
10.10,119
10.17,120
10.25,121
10.32,122
10.39,123
10.46,124
10.53,125
10.61,126
10.68,127
10.75,128
10.82,129
10.89,130
10.97,131
11.04,132
11.11,133
11.18,134
11.25,135
11.32,136
11.40,137
11.47,138
11.54,139
11.61,140
11.68,141
11.76,142
11.83,143
11.90,144
11.97,145
12.04,146
12.12,147
12.19,148
12.26,149
12.33,150
12.40,151
12.48,152
12.55,153
12.62,154
12.69,155
12.76,156
12.84,157
12.91,158
12.98,159
13.05,160
13.12,161
13.20,162
13.27,163
13.34,164
13.41,165
13.48,166
13.55,167
13.63,168
13.70,169
13.77,170
13.84,171
13.91,172
13.99,173
14.06,174
14.13,175
14.20,176
14.27,177
14.35,178
14.42,179
14.49,180
14.56,181
14.63,182
14.71,183
14.78,184
14.85,185
14.92,186
14.99,187
15.06,188
15.14,189
15.21,190
15.28,191
15.35,192
15.42,193
15.50,194
15.57,195
15.64,196
15.71,197
15.78,198
15.86,199
15.93,200
16.00,201
16.07,202
16.14,203
16.21,204
16.29,205
16.36,206
16.43,207
16.50,208
16.57,209
16.65,210
16.72,211
16.79,212
16.86,213
16.93,214
17.00,215
17.08,216
17.15,217
17.22,218
17.29,219
17.36,220
17.44,221
17.51,222
17.58,223
17.65,224
17.72,225
17.79,226
17.87,227
17.94,228
18.01,229
18.08,230
18.15,231
18.23,232
18.30,233
18.37,234
18.44,235
18.51,236
18.58,237
18.66,238
18.73,239
18.80,240
18.87,241
18.94,242
19.01,243
19.09,244
19.16,245
19.23,246
19.30,247
19.37,248
19.45,249
19.52,250
19.59,251
19.66,252
19.73,253
19.80,254
19.88,255
19.95,256
20.02,257
20.09,258
20.16,259
20.23,260
20.31,261
20.38,262
20.45,263
20.52,264
20.59,265
20.67,266
20.74,267
20.81,268
20.88,269
20.95,270
21.02,271
21.10,272
21.17,273
21.24,274
21.31,275
21.38,276
21.45,277
21.53,278
21.60,279
21.67,280
21.74,281
21.81,282
21.88,283
21.96,284
22.03,285
22.10,286
22.17,287
22.24,288
22.31,289
22.39,290
22.46,291
22.53,292
22.60,293
22.67,294
22.74,295
22.82,296
22.89,297
22.96,298
23.03,299
23.10,300
23.17,301
23.25,302
23.32,303
23.39,304
23.46,305
23.53,306
23.60,307
23.68,308
23.75,309
23.82,310
23.89,311
23.96,312
24.03,313
24.11,314
24.18,315
24.25,316
24.32,317
24.39,318
24.46,319
24.54,320
24.61,321
24.68,322
24.75,323
24.82,324
24.89,325
24.97,326
25.04,327
25.11,328
25.18,329
25.25,330
25.32,331
25.40,332
25.47,333
25.54,334
25.61,335
25.68,336
25.75,337
25.83,338
25.90,339
25.97,340
26.04,341
26.11,342
26.18,343
26.25,344
26.33,345
26.40,346
26.47,347
26.54,348
26.61,349
26.68,350
26.76,351
26.83,352
26.90,353
26.97,354
27.04,355
27.11,356
27.19,357
27.26,358
27.33,359
27.40,360
27.47,361
27.54,362
27.61,363
27.69,364
27.76,365
27.83,366
27.90,367
27.97,368
28.04,369
28.12,370
28.19,371
28.26,372
28.33,373
28.40,374
28.47,375
28.55,376
28.62,377
28.69,378
28.76,379
28.83,380
28.90,381
28.97,382
29.05,383
29.12,384
29.19,385
29.26,386
29.33,387
29.40,388
29.47,389
29.55,390
29.62,391
29.69,392
29.76,393
29.83,394
29.90,395
29.98,396
30.05,397
30.12,398
30.19,399
30.26,400
30.33,401
30.40,402
30.48,403
30.55,404
30.62,405
30.69,406
30.76,407
30.83,408
30.90,409
30.98,410
31.05,411
31.12,412
31.19,413
31.26,414
31.33,415
31.41,416
31.48,417
31.55,418
31.62,419
31.69,420
31.76,421
31.83,422
31.91,423
31.98,424
32.05,425
32.12,426
32.19,427
32.26,428
