performance,points
2.51,1
2.52,3
2.53,5
2.54,7
2.55,9
2.56,11
2.57,13
2.58,15
2.59,17
2.60,19
2.61,21
2.62,23
2.63,25
2.64,27
2.65,29
2.66,31
2.67,33
2.68,35
2.69,37
2.70,38
2.71,40
2.72,42
2.73,44
2.74,46
2.75,48
2.76,50
2.77,52
2.78,54
2.79,56
2.80,58
2.81,60
2.82,62
2.83,64
2.84,66
2.85,68
2.86,70
2.87,72
2.88,74
2.89,76
2.90,78
2.91,80
2.92,82
2.93,84
2.94,86
2.95,88
2.96,90
2.97,92
2.98,94
2.99,96
3.00,98
3.01,100
3.02,102
3.03,104
3.04,106
3.05,108
3.06,110
3.07,112
3.08,114
3.09,116
3.10,118
3.11,120
3.12,122
3.13,124
3.14,126
3.15,128
3.16,130
3.17,132
3.18,134
3.19,136
3.20,138
3.21,140
3.22,142
3.23,144
3.24,146
3.25,148
3.26,150
3.27,152
3.28,154
3.29,156
3.30,157
3.31,159
3.32,161
3.33,163
3.34,165
3.35,167
3.36,169
3.37,171
3.38,173
3.39,175
3.40,177
3.41,179
3.42,181
3.43,183
3.44,185
3.45,187
3.46,189
3.47,191
3.48,193
3.49,195
3.50,197
3.51,199
3.52,201
3.53,203
3.54,205
3.55,207
3.56,209
3.57,212
3.58,214
3.59,216
3.60,218
3.61,220
3.62,222
3.63,224
3.64,226
3.65,228
3.66,230
3.67,232
3.68,234
3.69,236
3.70,238
3.71,240
3.72,242
3.73,244
3.74,246
3.75,248
3.76,250
3.77,252
3.78,254
3.79,256
3.80,258
3.81,260
3.82,262
3.83,264
3.84,266
3.85,268
3.86,270
3.87,272
3.88,274
3.89,276
3.90,278
3.91,280
3.92,282
3.93,284
3.94,286
3.95,288
3.96,290
3.97,292
3.98,294
3.99,296
4.00,298
4.01,300
4.02,302
4.03,304
4.04,306
4.05,308
4.06,310
4.07,312
4.08,314
4.09,316
4.10,318
4.11,320
4.12,322
4.13,324
4.14,326
4.15,328
4.16,330
4.17,333
4.18,335
4.19,337
4.20,339
4.21,341
4.22,343
4.23,345
4.24,347
4.25,349
4.26,351
4.27,353
4.28,355
4.29,357
4.30,359
4.31,361
4.32,363
4.33,365
4.34,367
4.35,369
4.36,371
4.37,373
4.38,375
4.39,377
4.40,379
4.41,381
4.42,383
4.43,385
4.44,387
4.45,389
4.46,392
4.47,394
4.48,396
4.49,398
4.50,400
4.51,402
4.52,404
4.53,406
4.54,408
4.55,410
4.56,412
4.57,414
4.58,416
4.59,418
4.60,420
4.61,422
4.62,424
4.63,426
4.64,428
4.65,430
4.66,432
4.67,434
4.68,436
4.69,439
4.70,441
4.71,443
4.72,445
4.73,447
4.74,449
4.75,451
4.76,453
4.77,455
4.78,457
4.79,459
4.80,461
4.81,463
4.82,465
4.83,467
4.84,469
4.85,471
4.86,473
4.87,475
4.88,478
4.89,480
4.90,482
4.91,484
4.92,486
4.93,488
4.94,490
4.95,492
4.96,494
4.97,496
4.98,498
4.99,500
5.00,502
5.01,504
5.02,506
5.03,508
5.04,510
5.05,513
5.06,515
5.07,517
5.08,519
5.09,521
5.10,523
5.11,525
5.12,527
5.13,529
5.14,531
5.15,533
5.16,535
5.17,537
5.18,539
5.19,541
5.20,544
5.21,546
5.22,548
5.23,550
5.24,552
5.25,554
5.26,556
5.27,558
5.28,560
5.29,562
5.30,564
5.31,566
5.32,568
5.33,570
5.34,573
5.35,575
5.36,577
5.37,579
5.38,581
5.39,583
5.40,585
5.41,587
5.42,589
5.43,591
5.44,593
5.45,595
5.46,597
5.47,599
5.48,602
5.49,604
5.50,606
5.51,608
5.52,610
5.53,612
5.54,614
5.55,616
5.56,618
5.57,620
5.58,622
5.59,624
5.60,627
5.61,629
5.62,631
5.63,633
5.64,635
5.65,637
5.66,639
5.67,641
5.68,643
5.69,645
5.70,647
5.71,649
5.72,652
5.73,654
5.74,656
5.75,658
5.76,660
5.77,662
5.78,664
5.79,666
5.80,668
5.81,670
5.82,672
5.83,675
5.84,677
5.85,679
5.86,681
5.87,683
5.88,685
5.89,687
5.90,689
5.91,691
5.92,693
5.93,696
5.94,698
5.95,700
5.96,702
5.97,704
5.98,706
5.99,708
6.00,710
6.01,712
6.02,714
6.03,717
6.04,719
6.05,721
6.06,723
6.07,725
6.08,727
6.09,729
6.10,731
6.11,733
6.12,735
6.13,738
6.14,740
6.15,742
6.16,744
6.17,746
6.18,748
6.19,750
6.20,752
6.21,754
6.22,756
6.23,759
6.24,761
6.25,763
6.26,765
6.27,767
6.28,769
6.29,771
6.30,773
6.31,775
6.32,778
6.33,780
6.34,782
6.35,784
6.36,786
6.37,788
6.38,790
6.39,792
6.40,794
6.41,797
6.42,799
6.43,801
6.44,803
6.45,805
6.46,807
6.47,809
6.48,811
6.49,814
6.50,816
6.51,818
6.52,820
6.53,822
6.54,824
6.55,826
6.56,828
6.57,830
6.58,833
6.59,835
6.60,837
6.61,839
6.62,841
6.63,843
6.64,845
6.65,847
6.66,850
6.67,852
6.68,854
6.69,856
6.70,858
6.71,860
6.72,862
6.73,864
6.74,867
6.75,869
6.76,871
6.77,873
6.78,875
6.79,877
6.80,879
6.81,882
6.82,884
6.83,886
6.84,888
6.85,890
6.86,892
6.87,894
6.88,896
6.89,899
