performance,points
7038.00,1400
7041.00,1399
7044.00,1398
7047.00,1397
7050.00,1396
7053.00,1395
7056.00,1394
7059.00,1393
7063.00,1392
7066.00,1391
7069.00,1390
7072.00,1389
7075.00,1388
7078.00,1387
7081.00,1386
7084.00,1385
7087.00,1384
7090.00,1383
7093.00,1382
7096.00,1381
7099.00,1380
7103.00,1379
7106.00,1378
7109.00,1377
7112.00,1376
7115.00,1375
7118.00,1374
7121.00,1373
7124.00,1372
7127.00,1371
7130.00,1370
7133.00,1369
7136.00,1368
7140.00,1367
7143.00,1366
7146.00,1365
7149.00,1364
7152.00,1363
7155.00,1362
7158.00,1361
7161.00,1360
7164.00,1359
7167.00,1358
7171.00,1357
7174.00,1356
7177.00,1355
7180.00,1354
7183.00,1353
7186.00,1352
7189.00,1351
7192.00,1350
7195.00,1349
7199.00,1348
7202.00,1347
7205.00,1346
7208.00,1345
7211.00,1344
7214.00,1343
7217.00,1342
7220.00,1341
7224.00,1340
7227.00,1339
7230.00,1338
7233.00,1337
7236.00,1336
7239.00,1335
7242.00,1334
7245.00,1333
7249.00,1332
7252.00,1331
7255.00,1330
7258.00,1329
7261.00,1328
7264.00,1327
7267.00,1326
7271.00,1325
7274.00,1324
7277.00,1323
7280.00,1322
7283.00,1321
7286.00,1320
7289.00,1319
7293.00,1318
7296.00,1317
7299.00,1316
7302.00,1315
7305.00,1314
7308.00,1313
7311.00,1312
7315.00,1311
7318.00,1310
7321.00,1309
7324.00,1308
7327.00,1307
7330.00,1306
7334.00,1305
7337.00,1304
7340.00,1303
7343.00,1302
7346.00,1301
7349.00,1300
7353.00,1299
7356.00,1298
7359.00,1297
7362.00,1296
7365.00,1295
7369.00,1294
7372.00,1293
7375.00,1292
7378.00,1291
7381.00,1290
7384.00,1289
7388.00,1288
7391.00,1287
7394.00,1286
7397.00,1285
7400.00,1284
7404.00,1283
7407.00,1282
7410.00,1281
7413.00,1280
7416.00,1279
7420.00,1278
7423.00,1277
7426.00,1276
7429.00,1275
7432.00,1274
7436.00,1273
7439.00,1272
7442.00,1271
7445.00,1270
7448.00,1269
7452.00,1268
7455.00,1267
7458.00,1266
7461.00,1265
7465.00,1264
7468.00,1263
7471.00,1262
7474.00,1261
7477.00,1260
7481.00,1259
7484.00,1258
7487.00,1257
7490.00,1256
7494.00,1255
7497.00,1254
7500.00,1253
7503.00,1252
7506.00,1251
7510.00,1250
7513.00,1249
7516.00,1248
7519.00,1247
7523.00,1246
7526.00,1245
7529.00,1244
7532.00,1243
7536.00,1242
7539.00,1241
7542.00,1240
7545.00,1239
7549.00,1238
7552.00,1237
7555.00,1236
7558.00,1235
7562.00,1234
7565.00,1233
7568.00,1232
7571.00,1231
7575.00,1230
7578.00,1229
7581.00,1228
7584.00,1227
7588.00,1226
7591.00,1225
7594.00,1224
7598.00,1223
7601.00,1222
7604.00,1221
7607.00,1220
7611.00,1219
7614.00,1218
7617.00,1217
7620.00,1216
7624.00,1215
7627.00,1214
7630.00,1213
7634.00,1212
7637.00,1211
7640.00,1210
7643.00,1209
7647.00,1208
7650.00,1207
7653.00,1206
7657.00,1205
7660.00,1204
7663.00,1203
7667.00,1202
7670.00,1201
7673.00,1200
7676.00,1199
7680.00,1198
7683.00,1197
7686.00,1196
7690.00,1195
7693.00,1194
7696.00,1193
7700.00,1192
7703.00,1191
7706.00,1190
7710.00,1189
7713.00,1188
7716.00,1187
7720.00,1186
7723.00,1185
7726.00,1184
7729.00,1183
7733.00,1182
7736.00,1181
7739.00,1180
7743.00,1179
7746.00,1178
7749.00,1177
7753.00,1176
7756.00,1175
7759.00,1174
7763.00,1173
7766.00,1172
7769.00,1171
7773.00,1170
7776.00,1169
7780.00,1168
7783.00,1167
7786.00,1166
7790.00,1165
7793.00,1164
7796.00,1163
7800.00,1162
7803.00,1161
7806.00,1160
7810.00,1159
7813.00,1158
7816.00,1157
7820.00,1156
7823.00,1155
7827.00,1154
7830.00,1153
7833.00,1152
7837.00,1151
7840.00,1150
7843.00,1149
7847.00,1148
7850.00,1147
7854.00,1146
7857.00,1145
7860.00,1144
7864.00,1143
7867.00,1142
7870.00,1141
7874.00,1140
7877.00,1139
7881.00,1138
7884.00,1137
7887.00,1136
7891.00,1135
7894.00,1134
7898.00,1133
7901.00,1132
7904.00,1131
7908.00,1130
7911.00,1129
7915.00,1128
7918.00,1127
7921.00,1126
7925.00,1125
7928.00,1124
7932.00,1123
7935.00,1122
7938.00,1121
7942.00,1120
7945.00,1119
7949.00,1118
7952.00,1117
7956.00,1116
7959.00,1115
7962.00,1114
7966.00,1113
7969.00,1112
7973.00,1111
7976.00,1110
7980.00,1109
7983.00,1108
7986.00,1107
7990.00,1106
7993.00,1105
7997.00,1104
8000.00,1103
8004.00,1102
8007.00,1101
8011.00,1100
8014.00,1099
8017.00,1098
8021.00,1097
8024.00,1096
8028.00,1095
8031.00,1094
8035.00,1093
8038.00,1092
8042.00,1091
8045.00,1090
8049.00,1089
8052.00,1088
8056.00,1087
8059.00,1086
8063.00,1085
8066.00,1084
8069.00,1083
8073.00,1082
8076.00,1081
8080.00,1080
8083.00,1079
8087.00,1078
8090.00,1077
8094.00,1076
8097.00,1075
8101.00,1074
8104.00,1073
8108.00,1072
8111.00,1071
8115.00,1070
8118.00,1069
8122.00,1068
8125.00,1067
8129.00,1066
8132.00,1065
8136.00,1064
8139.00,1063
8143.00,1062
8146.00,1061
8150.00,1060
8153.00,1059
8157.00,1058
8160.00,1057
8164.00,1056
8167.00,1055
8171.00,1054
8174.00,1053
8178.00,1052
8182.00,1051
8185.00,1050
8189.00,1049
8192.00,1048
8196.00,1047
8199.00,1046
8203.00,1045
8206.00,1044
8210.00,1043
8213.00,1042
8217.00,1041
8220.00,1040
8224.00,1039
8228.00,1038
8231.00,1037
8235.00,1036
8238.00,1035
8242.00,1034
8245.00,1033
8249.00,1032
8252.00,1031
8256.00,1030
8260.00,1029
8263.00,1028
8267.00,1027
8270.00,1026
8274.00,1025
8277.00,1024
8281.00,1023
8285.00,1022
8288.00,1021
8292.00,1020
8295.00,1019
8299.00,1018
8303.00,1017
8306.00,1016
8310.00,1015
8313.00,1014
8317.00,1013
8320.00,1012
8324.00,1011
8328.00,1010
8331.00,1009
8335.00,1008
8338.00,1007
8342.00,1006
8346.00,1005
8349.00,1004
8353.00,1003
8357.00,1002
8360.00,1001
8364.00,1000
8367.00,999
8371.00,998
8375.00,997
8378.00,996
8382.00,995
8385.00,994
8389.00,993
8393.00,992
8396.00,991
8400.00,990
8404.00,989
8407.00,988
8411.00,987
8415.00,986
8418.00,985
8422.00,984
8426.00,983
8429.00,982
8433.00,981
8436.00,980
8440.00,979
8444.00,978
8447.00,977
8451.00,976
8455.00,975
8458.00,974
8462.00,973
8466.00,972
8469.00,971
8473.00,970
8477.00,969
8480.00,968
8484.00,967
8488.00,966
8492.00,965
8495.00,964
8499.00,963
8503.00,962
8506.00,961
8510.00,960
8514.00,959
8517.00,958
8521.00,957
8525.00,956
8528.00,955
8532.00,954
8536.00,953
8540.00,952
8543.00,951
8547.00,950
8551.00,949
8554.00,948
8558.00,947
8562.00,946
8566.00,945
8569.00,944
8573.00,943
8577.00,942
8580.00,941
8584.00,940
8588.00,939
8592.00,938
8595.00,937
8599.00,936
8603.00,935
8607.00,934
8610.00,933
8614.00,932
8618.00,931
8622.00,930
8625.00,929
8629.00,928
8633.00,927
8637.00,926
8640.00,925
8644.00,924
8648.00,923
8652.00,922
8655.00,921
8659.00,920
8663.00,919
8667.00,918
8671.00,917
8674.00,916
8678.00,915
8682.00,914
8686.00,913
8689.00,912
8693.00,911
8697.00,910
8701.00,909
8705.00,908
8708.00,907
8712.00,906
8716.00,905
8720.00,904
8724.00,903
8727.00,902
8731.00,901
8735.00,900
8739.00,899
8743.00,898
8747.00,897
8750.00,896
8754.00,895
8758.00,894
8762.00,893
8766.00,892
8769.00,891
8773.00,890
8777.00,889
8781.00,888
8785.00,887
8789.00,886
8793.00,885
8796.00,884
8800.00,883
8804.00,882
8808.00,881
8812.00,880
8816.00,879
8819.00,878
8823.00,877
8827.00,876
8831.00,875
8835.00,874
8839.00,873
8843.00,872
8847.00,871
8850.00,870
8854.00,869
8858.00,868
8862.00,867
8866.00,866
8870.00,865
8874.00,864
8878.00,863
8882.00,862
8885.00,861
8889.00,860
8893.00,859
8897.00,858
8901.00,857
8905.00,856
8909.00,855
8913.00,854
8917.00,853
8921.00,852
8925.00,851
8928.00,850
8932.00,849
8936.00,848
8940.00,847
8944.00,846
8948.00,845
8952.00,844
8956.00,843
8960.00,842
8964.00,841
8968.00,840
8972.00,839
8976.00,838
8980.00,837
8984.00,836
8988.00,835
8992.00,834
8996.00,833
8999.00,832
9003.00,831
9007.00,830
9011.00,829
9015.00,828
9019.00,827
9023.00,826
9027.00,825
9031.00,824
9035.00,823
9039.00,822
9043.00,821
9047.00,820
9051.00,819
9055.00,818
9059.00,817
9063.00,816
9067.00,815
9071.00,814
9075.00,813
9079.00,812
9083.00,811
9087.00,810
9091.00,809
9095.00,808
9099.00,807
9103.00,806
9107.00,805
9111.00,804
9116.00,803
9120.00,802
9124.00,801
9128.00,800
9132.00,799
9136.00,798
9140.00,797
9144.00,796
9148.00,795
9152.00,794
9156.00,793
9160.00,792
9164.00,791
9168.00,790
9172.00,789
9176.00,788
9180.00,787
9185.00,786
9189.00,785
9193.00,784
9197.00,783
9201.00,782
9205.00,781
9209.00,780
9213.00,779
9217.00,778
9221.00,777
9225.00,776
9230.00,775
9234.00,774
9238.00,773
9242.00,772
9246.00,771
9250.00,770
9254.00,769
9258.00,768
9263.00,767
9267.00,766
9271.00,765
9275.00,764
9279.00,763
9283.00,762
9287.00,761
9292.00,760
9296.00,759
9300.00,758
9304.00,757
9308.00,756
9312.00,755
9316.00,754
9321.00,753
9325.00,752
9329.00,751
9333.00,750
9337.00,749
9342.00,748
9346.00,747
9350.00,746
9354.00,745
9358.00,744
9362.00,743
9367.00,742
9371.00,741
9375.00,740
9379.00,739
9383.00,738
9388.00,737
9392.00,736
9396.00,735
9400.00,734
9405.00,733
9409.00,732
9413.00,731
9417.00,730
9422.00,729
9426.00,728
9430.00,727
9434.00,726
9438.00,725
9443.00,724
9447.00,723
9451.00,722
9456.00,721
9460.00,720
9464.00,719
9468.00,718
9473.00,717
9477.00,716
9481.00,715
9485.00,714
9490.00,713
9494.00,712
9498.00,711
9503.00,710
9507.00,709
9511.00,708
9515.00,707
9520.00,706
9524.00,705
9528.00,704
9533.00,703
9537.00,702
9541.00,701
9546.00,700
9550.00,699
9554.00,698
9559.00,697
9563.00,696
9567.00,695
9572.00,694
9576.00,693
9580.00,692
9585.00,691
9589.00,690
9593.00,689
9598.00,688
9602.00,687
9606.00,686
9611.00,685
9615.00,684
9620.00,683
9624.00,682
9628.00,681
9633.00,680
9637.00,679
9642.00,678
9646.00,677
9650.00,676
9655.00,675
9659.00,674
9664.00,673
9668.00,672
9672.00,671
9677.00,670
9681.00,669
9686.00,668
9690.00,667
9694.00,666
9699.00,665
9703.00,664
9708.00,663
9712.00,662
9717.00,661
9721.00,660
9726.00,659
9730.00,658
9735.00,657
9739.00,656
9743.00,655
9748.00,654
9752.00,653
9757.00,652
9761.00,651
9766.00,650
9770.00,649
9775.00,648
9779.00,647
9784.00,646
9788.00,645
9793.00,644
9797.00,643
9802.00,642
9806.00,641
9811.00,640
9815.00,639
9820.00,638
9824.00,637
9829.00,636
9834.00,635
9838.00,634
9843.00,633
9847.00,632
9852.00,631
9856.00,630
9861.00,629
9865.00,628
9870.00,627
9875.00,626
9879.00,625
9884.00,624
9888.00,623
9893.00,622
9897.00,621
9902.00,620
9907.00,619
9911.00,618
9916.00,617
9920.00,616
9925.00,615
9930.00,614
9934.00,613
9939.00,612
9944.00,611
9948.00,610
9953.00,609
9957.00,608
9962.00,607
9967.00,606
9971.00,605
9976.00,604
9981.00,603
9985.00,602
9990.00,601
9995.00,600
9999.00,599
10004.00,598
10009.00,597
10013.00,596
10018.00,595
10023.00,594
10028.00,593
10032.00,592
10037.00,591
10042.00,590
10046.00,589
10051.00,588
10056.00,587
10060.00,586
10065.00,585
10070.00,584
10075.00,583
10079.00,582
10084.00,581
10089.00,580
10094.00,579
10098.00,578
10103.00,577
10108.00,576
10113.00,575
10117.00,574
10122.00,573
10127.00,572
10132.00,571
10137.00,570
10141.00,569
10146.00,568
10151.00,567
10156.00,566
10161.00,565
10165.00,564
10170.00,563
10175.00,562
10180.00,561
10185.00,560
10190.00,559
10194.00,558
10199.00,557
10204.00,556
10209.00,555
10214.00,554
10219.00,553
10224.00,552
10228.00,551
10233.00,550
10238.00,549
10243.00,548
10248.00,547
10253.00,546
10258.00,545
10263.00,544
10268.00,543
10272.00,542
10277.00,541
10282.00,540
10287.00,539
10292.00,538
10297.00,537
10302.00,536
10307.00,535
10312.00,534
10317.00,533
10322.00,532
10327.00,531
10332.00,530
10337.00,529
10342.00,528
10347.00,527
10352.00,526
10357.00,525
10362.00,524
10367.00,523
10372.00,522
10377.00,521
10382.00,520
10387.00,519
10392.00,518
10397.00,517
10402.00,516
10407.00,515
10412.00,514
10417.00,513
10422.00,512
10427.00,511
10432.00,510
10437.00,509
10442.00,508
10447.00,507
10452.00,506
10458.00,505
10463.00,504
10468.00,503
10473.00,502
10478.00,501
10483.00,500
10488.00,499
10493.00,498
10498.00,497
10504.00,496
10509.00,495
10514.00,494
10519.00,493
10524.00,492
10529.00,491
10534.00,490
10540.00,489
10545.00,488
10550.00,487
10555.00,486
10560.00,485
10566.00,484
10571.00,483
10576.00,482
10581.00,481
10586.00,480
10592.00,479
10597.00,478
10602.00,477
10607.00,476
10613.00,475
10618.00,474
10623.00,473
10628.00,472
10634.00,471
10639.00,470
10644.00,469
10649.00,468
10655.00,467
10660.00,466
10665.00,465
10671.00,464
10676.00,463
10681.00,462
10687.00,461
10692.00,460
10697.00,459
10703.00,458
10708.00,457
10713.00,456
10719.00,455
10724.00,454
10729.00,453
10735.00,452
10740.00,451
10746.00,450
10751.00,449
10756.00,448
10762.00,447
10767.00,446
10773.00,445
10778.00,444
10784.00,443
10789.00,442
10794.00,441
10800.00,440
10805.00,439
10811.00,438
10816.00,437
10822.00,436
10827.00,435
10833.00,434
10838.00,433
10844.00,432
10849.00,431
10855.00,430
10860.00,429
10866.00,428
10871.00,427
10877.00,426
10882.00,425
10888.00,424
10893.00,423
10899.00,422
10905.00,421
10910.00,420
10916.00,419
10921.00,418
10927.00,417
10933.00,416
10938.00,415
10944.00,414
10949.00,413
10955.00,412
10961.00,411
10966.00,410
10972.00,409
10978.00,408
10983.00,407
10989.00,406
10995.00,405
11000.00,404
11006.00,403
11012.00,402
11017.00,401
11023.00,400
11029.00,399
11035.00,398
11040.00,397
11046.00,396
11052.00,395
11058.00,394
11063.00,393
11069.00,392
11075.00,391
11081.00,390
11087.00,389
11092.00,388
11098.00,387
11104.00,386
11110.00,385
11116.00,384
11122.00,383
11127.00,382
11133.00,381
11139.00,380
11145.00,379
11151.00,378
11157.00,377
11163.00,376
11169.00,375
11174.00,374
11180.00,373
11186.00,372
11192.00,371
11198.00,370
11204.00,369
11210.00,368
11216.00,367
11222.00,366
11228.00,365
11234.00,364
11240.00,363
11246.00,362
11252.00,361
11258.00,360
11264.00,359
11270.00,358
11276.00,357
11282.00,356
11288.00,355
11294.00,354
11300.00,353
11307.00,352
11313.00,351
11319.00,350
11325.00,349
11331.00,348
11337.00,347
11343.00,346
11349.00,345
11356.00,344
11362.00,343
11368.00,342
11374.00,341
11380.00,340
11387.00,339
11393.00,338
11399.00,337
11405.00,336
11412.00,335
11418.00,334
11424.00,333
11430.00,332
11437.00,331
11443.00,330
11449.00,329
11455.00,328
11462.00,327
11468.00,326
11474.00,325
11481.00,324
11487.00,323
11494.00,322
11500.00,321
11506.00,320
11513.00,319
11519.00,318
11526.00,317
11532.00,316
11538.00,315
11545.00,314
11551.00,313
11558.00,312
11564.00,311
11571.00,310
11577.00,309
11584.00,308
11590.00,307
11597.00,306
11603.00,305
11610.00,304
11617.00,303
11623.00,302
11630.00,301
11636.00,300
11643.00,299
11650.00,298
11656.00,297
11663.00,296
11669.00,295
11676.00,294
11683.00,293
11690.00,292
11696.00,291
11703.00,290
11710.00,289
11716.00,288
11723.00,287
11730.00,286
11737.00,285
11743.00,284
11750.00,283
11757.00,282
