performance,points
215.28,1400
215.35,1399
215.42,1398
215.49,1397
215.57,1396
215.64,1395
215.71,1394
215.78,1393
215.85,1392
215.92,1391
215.99,1390
216.07,1389
216.14,1388
216.21,1387
216.28,1386
216.35,1385
216.42,1384
216.50,1383
216.57,1382
216.64,1381
216.71,1380
216.78,1379
216.86,1378
216.93,1377
217.00,1376
217.07,1375
217.14,1374
217.22,1373
217.29,1372
217.36,1371
217.43,1370
217.50,1369
217.58,1368
217.65,1367
217.72,1366
217.79,1365
217.86,1364
217.94,1363
218.01,1362
218.08,1361
218.15,1360
218.23,1359
218.30,1358
218.37,1357
218.44,1356
218.52,1355
218.59,1354
218.66,1353
218.73,1352
218.81,1351
218.88,1350
218.95,1349
219.02,1348
219.10,1347
219.17,1346
219.24,1345
219.32,1344
219.39,1343
219.46,1342
219.53,1341
219.61,1340
219.68,1339
219.75,1338
219.83,1337
219.90,1336
219.97,1335
220.04,1334
220.12,1333
220.19,1332
220.26,1331
220.34,1330
220.41,1329
220.48,1328
220.56,1327
220.63,1326
220.70,1325
220.78,1324
220.85,1323
220.92,1322
221.00,1321
221.07,1320
221.14,1319
221.22,1318
221.29,1317
221.36,1316
221.44,1315
221.51,1314
221.59,1313
221.66,1312
221.73,1311
221.81,1310
221.88,1309
221.95,1308
222.03,1307
222.10,1306
222.18,1305
222.25,1304
222.32,1303
222.40,1302
222.47,1301
222.54,1300
222.62,1299
222.69,1298
222.77,1297
222.84,1296
222.92,1295
222.99,1294
223.06,1293
223.14,1292
223.21,1291
223.29,1290
223.36,1289
223.44,1288
223.51,1287
223.58,1286
223.66,1285
223.73,1284
223.81,1283
223.88,1282
223.96,1281
224.03,1280
224.11,1279
224.18,1278
224.25,1277
224.33,1276
224.40,1275
224.48,1274
224.55,1273
224.63,1272
224.70,1271
224.78,1270
224.85,1269
224.93,1268
225.00,1267
225.08,1266
225.15,1265
225.23,1264
225.30,1263
225.38,1262
225.45,1261
225.53,1260
225.60,1259
225.68,1258
225.75,1257
225.83,1256
225.91,1255
225.98,1254
226.06,1253
226.13,1252
226.21,1251
226.28,1250
226.36,1249
226.43,1248
226.51,1247
226.58,1246
226.66,1245
226.74,1244
226.81,1243
226.89,1242
226.96,1241
227.04,1240
227.11,1239
227.19,1238
227.27,1237
227.34,1236
227.42,1235
227.49,1234
227.57,1233
227.65,1232
227.72,1231
227.80,1230
227.87,1229
227.95,1228
228.03,1227
228.10,1226
228.18,1225
228.26,1224
228.33,1223
228.41,1222
228.48,1221
228.56,1220
228.64,1219
228.71,1218
228.79,1217
228.87,1216
228.94,1215
229.02,1214
229.10,1213
229.17,1212
229.25,1211
229.33,1210
229.40,1209
229.48,1208
229.56,1207
229.63,1206
229.71,1205
229.79,1204
229.86,1203
229.94,1202
230.02,1201
230.09,1200
230.17,1199
230.25,1198
230.33,1197
230.40,1196
230.48,1195
230.56,1194
230.64,1193
230.71,1192
230.79,1191
230.87,1190
230.94,1189
231.02,1188
231.10,1187
231.18,1186
231.25,1185
231.33,1184
231.41,1183
231.49,1182
231.56,1181
231.64,1180
231.72,1179
231.80,1178
231.88,1177
231.95,1176
232.03,1175
232.11,1174
232.19,1173
232.26,1172
232.34,1171
232.42,1170
232.50,1169
232.58,1168
232.66,1167
232.73,1166
232.81,1165
232.89,1164
232.97,1163
233.05,1162
233.12,1161
233.20,1160
233.28,1159
233.36,1158
233.44,1157
233.52,1156
233.59,1155
233.67,1154
233.75,1153
233.83,1152
233.91,1151
233.99,1150
234.07,1149
234.15,1148
234.22,1147
234.30,1146
234.38,1145
234.46,1144
234.54,1143
234.62,1142
234.70,1141
234.78,1140
234.86,1139
234.93,1138
235.01,1137
235.09,1136
235.17,1135
235.25,1134
235.33,1133
235.41,1132
235.49,1131
235.57,1130
235.65,1129
235.73,1128
235.81,1127
235.89,1126
235.97,1125
236.05,1124
236.13,1123
236.21,1122
236.28,1121
236.36,1120
236.44,1119
236.52,1118
236.60,1117
236.68,1116
236.76,1115
236.84,1114
236.92,1113
237.00,1112
237.08,1111
237.16,1110
237.24,1109
237.32,1108
237.40,1107
237.48,1106
237.56,1105
237.65,1104
237.73,1103
237.81,1102
237.89,1101
237.97,1100
238.05,1099
238.13,1098
238.21,1097
238.29,1096
238.37,1095
238.45,1094
238.53,1093
238.61,1092
238.69,1091
238.77,1090
238.85,1089
238.93,1088
239.02,1087
239.10,1086
239.18,1085
239.26,1084
239.34,1083
239.42,1082
239.50,1081
239.58,1080
239.66,1079
239.75,1078
239.83,1077
239.91,1076
239.99,1075
240.07,1074
240.15,1073
240.23,1072
240.32,1071
240.40,1070
240.48,1069
240.56,1068
240.64,1067
240.72,1066
240.81,1065
240.89,1064
240.97,1063
241.05,1062
241.13,1061
241.22,1060
241.30,1059
241.38,1058
241.46,1057
241.54,1056
241.63,1055
241.71,1054
241.79,1053
241.87,1052
241.95,1051
242.04,1050
242.12,1049
242.20,1048
242.28,1047
242.37,1046
242.45,1045
242.53,1044
242.61,1043
242.70,1042
242.78,1041
242.86,1040
242.95,1039
243.03,1038
243.11,1037
243.19,1036
243.28,1035
243.36,1034
243.44,1033
243.53,1032
243.61,1031
243.69,1030
243.78,1029
243.86,1028
243.94,1027
244.02,1026
244.11,1025
244.19,1024
244.28,1023
244.36,1022
244.44,1021
244.53,1020
244.61,1019
244.69,1018
244.78,1017
244.86,1016
244.94,1015
245.03,1014
245.11,1013
245.20,1012
245.28,1011
245.36,1010
245.45,1009
245.53,1008
245.62,1007
245.70,1006
245.78,1005
245.87,1004
245.95,1003
246.04,1002
246.12,1001
246.21,1000
246.29,999
246.37,998
246.46,997
246.54,996
246.63,995
246.71,994
246.80,993
246.88,992
246.97,991
247.05,990
247.14,989
247.22,988
247.31,987
247.39,986
247.48,985
247.56,984
247.65,983
247.73,982
247.82,981
247.90,980
247.99,979
248.07,978
248.16,977
248.24,976
248.33,975
248.41,974
248.50,973
248.58,972
248.67,971
248.76,970
248.84,969
248.93,968
249.01,967
249.10,966
249.19,965
249.27,964
249.36,963
249.44,962
249.53,961
249.62,960
249.70,959
249.79,958
249.87,957
249.96,956
250.05,955
250.13,954
250.22,953
250.31,952
250.39,951
250.48,950
250.57,949
250.65,948
250.74,947
250.83,946
250.91,945
251.00,944
251.09,943
251.17,942
251.26,941
251.35,940
251.43,939
251.52,938
251.61,937
251.70,936
251.78,935
251.87,934
251.96,933
252.04,932
252.13,931
252.22,930
252.31,929
252.40,928
252.48,927
252.57,926
252.66,925
252.75,924
252.83,923
252.92,922
253.01,921
253.10,920
253.19,919
253.27,918
253.36,917
253.45,916
253.54,915
253.63,914
253.71,913
253.80,912
253.89,911
253.98,910
254.07,909
254.16,908
254.25,907
254.33,906
254.42,905
254.51,904
254.60,903
254.69,902
254.78,901
254.87,900
254.96,899
255.04,898
255.13,897
255.22,896
255.31,895
255.40,894
255.49,893
255.58,892
255.67,891
255.76,890
255.85,889
255.94,888
256.03,887
256.12,886
256.21,885
256.30,884
256.39,883
256.48,882
256.57,881
256.66,880
256.75,879
256.84,878
256.93,877
257.02,876
257.11,875
257.20,874
257.29,873
257.38,872
257.47,871
257.56,870
257.65,869
257.74,868
257.83,867
257.92,866
258.01,865
258.10,864
258.19,863
258.28,862
258.37,861
258.47,860
258.56,859
258.65,858
258.74,857
258.83,856
258.92,855
259.01,854
259.10,853
259.20,852
259.29,851
259.38,850
259.47,849
259.56,848
259.65,847
259.74,846
259.84,845
259.93,844
260.02,843
260.11,842
260.20,841
260.30,840
260.39,839
260.48,838
260.57,837
260.67,836
260.76,835
260.85,834
260.94,833
261.03,832
261.13,831
261.22,830
261.31,829
261.41,828
261.50,827
261.59,826
261.68,825
261.78,824
261.87,823
261.96,822
262.06,821
262.15,820
262.24,819
262.34,818
262.43,817
262.52,816
262.62,815
262.71,814
262.80,813
262.90,812
262.99,811
263.08,810
263.18,809
263.27,808
263.37,807
263.46,806
263.55,805
263.65,804
263.74,803
263.84,802
263.93,801
264.02,800
264.12,799
264.21,798
264.31,797
264.40,796
264.50,795
264.59,794
264.69,793
264.78,792
264.88,791
264.97,790
265.07,789
265.16,788
265.26,787
265.35,786
265.45,785
265.54,784
265.64,783
265.73,782
265.83,781
265.92,780
266.02,779
266.12,778
266.21,777
266.31,776
266.40,775
266.50,774
266.59,773
266.69,772
266.79,771
266.88,770
266.98,769
267.07,768
267.17,767
267.27,766
267.36,765
267.46,764
267.56,763
267.65,762
267.75,761
267.85,760
267.94,759
268.04,758
268.14,757
268.24,756
268.33,755
268.43,754
268.53,753
268.62,752
268.72,751
268.82,750
268.92,749
269.01,748
269.11,747
269.21,746
269.31,745
269.40,744
269.50,743
269.60,742
269.70,741
269.80,740
269.89,739
269.99,738
270.09,737
270.19,736
270.29,735
270.39,734
270.48,733
270.58,732
270.68,731
270.78,730
270.88,729
270.98,728
271.08,727
271.18,726
271.28,725
271.37,724
271.47,723
271.57,722
271.67,721
271.77,720
271.87,719
271.97,718
272.07,717
272.17,716
272.27,715
272.37,714
272.47,713
272.57,712
272.67,711
272.77,710
272.87,709
272.97,708
273.07,707
273.17,706
273.27,705
273.37,704
273.47,703
273.57,702
273.67,701
273.78,700
273.88,699
273.98,698
274.08,697
274.18,696
274.28,695
274.38,694
274.48,693
274.58,692
274.69,691
274.79,690
