performance,points
1.16,1
1.17,4
1.18,6
1.19,9
1.20,11
1.21,14
1.22,16
1.23,19
1.24,21
1.25,24
1.26,26
1.27,29
1.28,31
1.29,34
1.30,36
1.31,39
1.32,41
1.33,43
1.34,46
1.35,48
1.36,51
1.37,53
1.38,56
1.39,58
1.40,61
1.41,63
1.42,66
1.43,68
1.44,71
1.45,73
1.46,76
1.47,78
1.48,81
1.49,83
1.50,86
1.51,88
1.52,91
1.53,93
1.54,96
1.55,98
1.56,101
1.57,103
1.58,106
1.59,108
1.60,111
1.61,113
1.62,116
1.63,118
1.64,121
1.65,123
1.66,126
1.67,128
1.68,131
1.69,133
1.70,136
1.71,138
1.72,141
1.73,143
1.74,146
1.75,148
1.76,151
1.77,153
1.78,156
1.79,158
1.80,161
1.81,163
1.82,166
1.83,168
1.84,171
1.85,173
1.86,176
1.87,178
1.88,181
1.89,183
1.90,186
1.91,188
1.92,191
1.93,193
1.94,196
1.95,198
1.96,201
1.97,203
1.98,206
1.99,208
2.00,211
2.01,213
2.02,216
2.03,218
2.04,221
2.05,223
2.06,226
2.07,228
2.08,231
2.09,234
2.10,236
2.11,239
2.12,241
2.13,244
2.14,246
2.15,249
2.16,251
2.17,254
2.18,256
2.19,259
2.20,261
2.21,264
2.22,266
2.23,269
2.24,271
2.25,274
2.26,277
2.27,279
2.28,282
2.29,284
2.30,287
2.31,289
2.32,292
2.33,294
2.34,297
2.35,299
2.36,302
2.37,304
2.38,307
2.39,310
2.40,312
2.41,315
2.42,317
2.43,320
2.44,322
2.45,325
2.46,327
2.47,330
2.48,332
2.49,335
2.50,338
2.51,340
2.52,343
2.53,345
2.54,348
2.55,350
2.56,353
2.57,355
2.58,358
2.59,360
2.60,363
2.61,366
2.62,368
2.63,371
2.64,373
2.65,376
2.66,378
2.67,381
2.68,383
2.69,386
2.70,389
2.71,391
2.72,394
2.73,396
2.74,399
2.75,401
2.76,404
2.77,407
2.78,409
2.79,412
2.80,414
2.81,417
2.82,419
2.83,422
2.84,425
2.85,427
2.86,430
2.87,432
2.88,435
2.89,437
2.90,440
2.91,443
2.92,445
2.93,448
2.94,450
2.95,453
2.96,455
2.97,458
2.98,461
2.99,463
3.00,466
3.01,468
3.02,471
3.03,473
3.04,476
3.05,479
3.06,481
3.07,484
3.08,486
3.09,489
3.10,492
3.11,494
3.12,497
3.13,499
3.14,502
3.15,504
3.16,507
3.17,510
3.18,512
3.19,515
3.20,517
3.21,520
3.22,523
3.23,525
3.24,528
3.25,530
3.26,533
3.27,536
3.28,538
3.29,541
3.30,543
3.31,546
3.32,549
3.33,551
3.34,554
3.35,556
3.36,559
3.37,562
3.38,564
3.39,567
3.40,569
3.41,572
3.42,575
3.43,577
3.44,580
3.45,582
3.46,585
3.47,588
3.48,590
3.49,593
3.50,595
3.51,598
3.52,601
3.53,603
3.54,606
3.55,608
3.56,611
3.57,614
3.58,616
3.59,619
3.60,622
3.61,624
3.62,627
3.63,629
3.64,632
3.65,635
3.66,637
3.67,640
3.68,642
3.69,645
3.70,648
3.71,650
3.72,653
3.73,656
3.74,658
3.75,661
3.76,663
3.77,666
3.78,669
3.79,671
3.80,674
3.81,677
3.82,679
3.83,682
3.84,684
3.85,687
3.86,690
3.87,692
3.88,695
3.89,698
3.90,700
3.91,703
3.92,706
3.93,708
3.94,711
3.95,713
3.96,716
3.97,719
3.98,721
3.99,724
4.00,727
4.01,729
4.02,732
4.03,735
4.04,737
4.05,740
4.06,742
4.07,745
4.08,748
4.09,750
4.10,753
4.11,756
4.12,758
4.13,761
4.14,764
4.15,766
4.16,769
4.17,772
4.18,774
4.19,777
4.20,780
4.21,782
4.22,785
4.23,788
4.24,790
4.25,793
4.26,795
4.27,798
4.28,801
4.29,803
4.30,806
4.31,809
4.32,811
4.33,814
4.34,817
4.35,819
4.36,822
4.37,825
4.38,827
4.39,830
4.40,833
4.41,835
4.42,838
4.43,841
4.44,843
4.45,846
4.46,849
4.47,851
4.48,854
4.49,857
4.50,859
4.51,862
4.52,865
4.53,867
4.54,870
4.55,873
4.56,875
4.57,878
4.58,881
4.59,883
4.60,886
4.61,889
4.62,891
4.63,894
4.64,897
4.65,900
4.66,902
4.67,905
4.68,908
4.69,910
4.70,913
4.71,916
4.72,918
4.73,921
4.74,924
4.75,926
4.76,929
4.77,932
4.78,934
4.79,937
4.80,940
4.81,942
4.82,945
4.83,948
4.84,951
4.85,953
4.86,956
4.87,959
4.88,961
4.89,964
4.90,967
4.91,969
4.92,972
4.93,975
4.94,977
4.95,980
4.96,983
4.97,986
4.98,988
4.99,991
5.00,994
5.01,996
5.02,999
5.03,1002
5.04,1004
5.05,1007
5.06,1010
5.07,1013
5.08,1015
5.09,1018
5.10,1021
5.11,1023
5.12,1026
5.13,1029
5.14,1032
5.15,1034
5.16,1037
5.17,1040
5.18,1042
5.19,1045
5.20,1048
5.21,1051
5.22,1053
5.23,1056
5.24,1059
5.25,1061
5.26,1064
5.27,1067
5.28,1070
5.29,1072
5.30,1075
5.31,1078
5.32,1080
5.33,1083
5.34,1086
5.35,1089
5.36,1091
5.37,1094
5.38,1097
5.39,1099
5.40,1102
5.41,1105
5.42,1108
5.43,1110
5.44,1113
5.45,1116
5.46,1119
5.47,1121
5.48,1124
5.49,1127
5.50,1129
5.51,1132
5.52,1135
5.53,1138
5.54,1140
5.55,1143
5.56,1146
5.57,1149
5.58,1151
5.59,1154
5.60,1157
5.61,1160
5.62,1162
5.63,1165
5.64,1168
5.65,1171
5.66,1173
5.67,1176
5.68,1179
5.69,1181
5.70,1184
5.71,1187
5.72,1190
5.73,1192
5.74,1195
5.75,1198
5.76,1201
5.77,1203
5.78,1206
5.79,1209
5.80,1212
5.81,1214
5.82,1217
5.83,1220
5.84,1223
5.85,1225
5.86,1228
5.87,1231
5.88,1234
5.89,1236
5.90,1239
5.91,1242
5.92,1245
5.93,1247
5.94,1250
5.95,1253
5.96,1256
5.97,1259
5.98,1261
5.99,1264
6.00,1267
6.01,1270
6.02,1272
6.03,1275
6.04,1278
6.05,1281
6.06,1283
6.07,1286
6.08,1289
6.09,1292
6.10,1294
6.11,1297
6.12,1300
6.13,1303
6.14,1306
6.15,1308
6.16,1311
6.17,1314
6.18,1317
6.19,1319
6.20,1322
6.21,1325
6.22,1328
6.23,1330
6.24,1333
6.25,1336
6.26,1339
6.27,1342
6.28,1344
6.29,1347
6.30,1350
6.31,1353
6.32,1355
6.33,1358
6.34,1361
6.35,1364
6.36,1367
6.37,1369
6.38,1372
6.39,1375
6.40,1378
6.41,1381
6.42,1383
6.43,1386
6.44,1389
6.45,1392
6.46,1394
6.47,1397
6.48,1400
